asn,nb_hostnames
395747,2861
21664,938
213120,683
394192,315
394507,287
8075,129
39572,92
204915,77
19551,76
62567,70
35540,59
31936,53
2635,44
7979,44
26496,44
46606,37
215859,36
14853,29
141470,28
15317,27
45349,26
4738,26
53824,26
40824,26
30148,23
19969,23
214455,22
47846,22
401200,22
63293,21
38442,21
133795,20
27589,20
37963,17
12178,16
60781,15
14907,14
136921,14
60068,14
3457,13
14441,11
45179,10
200325,10
139341,9
10480,9
215740,9
22612,9
38369,9
199524,9
38719,8
59692,8
10753,8
204800,8
397849,7
9280,7
55293,7
45355,7
32338,7
132680,7
8195,7
141995,7
17025,7
395458,7
26347,6
55081,6
15699,6
50989,6
6496,6
58061,6
58521,6
214124,6
42567,6
17668,6
24600,6
47422,6
36420,5
26666,5
19648,5
36066,5
4258,5
328832,5
38544,5
137409,5
5761,5
200019,5
134433,5
56696,5
54994,4
6185,4
54641,4
56898,4
3844,4
28398,4
18881,4
12956,4
263945,4
6057,4
62768,4
132337,4
19653,4
6762,4
328137,4
41722,4
28320,4
37662,4
15605,4
19422,4
1916,4
50482,4
55532,4
44907,4
6698,4
46844,4
30083,4
20264,4
202425,4
64437,4
17984,4
24482,4
8560,4
45090,4
27267,4
23576,4
17477,4
40009,3
3920,3
53667,3
206264,3
6427,3
50980,3
7941,3
9009,3
215300,3
400754,3
34655,3
49714,3
44534,3
12322,3
40021,3
49981,3
39896,3
31586,3
63240,3
52468,3
45352,3
136373,3
6327,3
52320,3
9015,3
49287,3
19782,3
61568,3
29169,3
200039,3
132045,3
20764,3
2027,3
13786,3
51530,3
196753,3
64475,3
207841,3
270014,3
44684,3
35589,3
23520,3
48641,3
35360,3
8708,3
7589,3
15958,3
2614,3
14016,3
35600,3
38726,3
1031,3
29049,3
4134,3
35598,3
264409,3
52025,3
50628,3
14537,3
205920,3
15802,3
13442,3
33265,3
398256,3
133159,3
38365,3
213232,3
4768,2
3387,2
22560,2
33191,2
139828,2
132692,2
27223,2
60144,2
51852,2
30109,2
17649,2
3768,2
133096,2
210250,2
23470,2
7393,2
138341,2
211922,2
9552,2
35916,2
203639,2
62243,2
4822,2
14555,2
13830,2
27647,2
15149,2
200449,2
63199,2
133050,2
24572,2
23816,2
132224,2
198610,2
23352,2
148000,2
1746,2
36459,2
150078,2
49352,2
44009,2
56163,2
22720,2
9764,2
61976,1
44160,1
216071,1
211864,1
9788,1
12678,1
202053,1
14466,1
29066,1
41000,1
398787,1
41690,1
62563,1
4872,1
62856,1
28917,1
393299,1
32494,1
201106,1
14117,1
49665,1
13030,1
1273,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
37251,1
329356,1
132602,1
9730,1
214744,1
200083,1
395532,1
9752,1
16839,1
23522,1
136107,1
212490,1
399566,1
24961,1
30209,1
59565,1
28839,1
35280,1
216154,1
9431,1
200195,1
213438,1
60592,1
133104,1
208488,1
10578,1
215845,1
24611,1
42465,1
54118,1
49612,1
24282,1
399358,1
56038,1
131640,1
9688,1
199218,1
201755,1
133162,1
46475,1
2832,1
136557,1
62068,1
53850,1
208216,1
21787,1
38185,1
393689,1
214685,1
200596,1
55960,1
26277,1
44094,1
147303,1
58182,1
36352,1
18945,1
14992,1
131965,1
7506,1
48669,1
400797,1
4770,1
55470,1
151817,1
58003,1
7859,1
7203,1
63410,1
15685,1
399937,1
58294,1
63362,1
135423,1
401764,1
32097,1
44477,1
55286,1
31408,1
58051,1
48040,1
14113,1
13535,1
132335,1
44803,1
33091,1
31713,1
394230,1
56872,1
395412,1
62755,1
23916,1
397273,1
205193,1
40651,1
208561,1
38881,1
214390,1
215402,1
207970,1
17409,1
18905,1
134688,1
59467,1
60114,1
36080,1
56128,1
9123,1
210976,1
24971,1
37153,1
12092,1
139057,1
139144,1
48729,1
29182,1
393874,1
45474,1
9145,1
24398,1
36850,1
40539,1
61144,1
18563,1
132856,1
20068,1
394695,1
135647,1
55017,1
6360,1
9797,1
31727,1
24226,1
394603,1
44128,1
62082,1
133299,1
34931,1
2514,1
134465,1
13984,1
30361,1
39686,1
45894,1
11773,1
45215,1
1624,1
22653,1
54290,1
27522,1
53332,1
136252,1
38220,1
6192,1
24192,1
11106,1
3361,1
207728,1
212224,1
51433,1
11281,1
398743,1
140688,1
141518,1
4792,1
63444,1
35425,1
55914,1
38586,1
28753,1
10929,1
200000,1
136521,1
