asn,nb_hostnames
395747,176
21664,67
213120,59
394507,42
394192,24
39572,23
62567,16
31936,12
45193,8
214455,7
14853,7
26496,6
63293,6
7979,6
8075,5
50989,4
133795,3
46606,2
199524,2
6185,2
2635,2
35540,2
14907,2
54641,2
60781,1
44907,1
36420,1
138341,1
32692,1
34655,1
53824,1
9009,1
64437,1
46475,1
395400,1
58061,1
32338,1
3920,1
200019,1
7941,1
4258,1
215859,1
400754,1
8560,1
204915,1
50980,1
393874,1
200195,1
213438,1
6698,1
208561,1
62659,1
6360,1
11281,1
36459,1
33265,1
41690,1
