asn,nb_hostnames
395747,403
21664,242
213120,156
394192,100
202816,96
394507,92
62567,70
8075,53
15389,38
206928,29
215859,28
14907,17
5381,11
51008,9
63293,9
2635,9
39572,9
14853,9
12617,8
43167,8
133795,7
19551,6
59795,6
51468,6
30961,5
31936,5
196724,5
20963,5
57030,5
204915,4
62248,4
5761,3
1835,3
26666,3
46844,3
6496,3
3240,3
24676,3
15474,2
31441,2
12929,2
24853,2
214455,2
7589,2
16276,2
401200,2
31590,2
7941,2
60781,2
211612,2
26496,2
201595,1
41690,1
49309,1
202053,1
209175,1
12483,1
52130,1
11281,1
42422,1
203581,1
31264,1
6185,1
6724,1
216017,1
205373,1
2603,1
211187,1
12178,1
48669,1
52011,1
12306,1
59701,1
36420,1
6834,1
34655,1
13442,1
35425,1
209214,1
8523,1
16282,1
198901,1
213232,1
211316,1
44907,1
44644,1
15688,1
36459,1
393874,1
43948,1
55081,1
33083,1
397273,1
400797,1
64437,1
8839,1
7979,1
34941,1
33157,1
214813,1
50783,1
214233,1
39787,1
30151,1
200325,1
