asn,nb_hostnames
395747,3621
35540,1202
21664,1070
213120,733
394192,278
394507,269
12322,190
8075,151
50474,115
24600,96
2057,95
19551,83
39572,74
215859,57
8228,53
8195,47
29222,45
6656,45
209349,45
57633,40
8560,38
62567,38
40824,35
15317,31
25117,30
8839,30
53589,28
8304,28
31936,24
14907,24
60855,23
29169,21
60362,20
60781,19
199636,19
13193,18
60068,18
14853,18
204915,16
63293,15
199758,15
199777,15
34993,14
2635,14
59692,14
15826,14
15401,14
45666,13
6738,13
7979,13
21409,13
47195,13
213232,13
214455,12
27589,12
205585,12
12640,12
210770,12
200325,11
39104,11
50624,11
64437,11
35280,11
41653,11
201896,11
13273,11
133795,10
47447,10
197696,10
61205,10
49981,10
48140,10
9159,9
6496,9
14489,9
25540,9
48809,9
10753,9
200356,9
62979,9
50446,8
197562,8
34235,8
20529,8
12565,8
49612,8
51433,8
213394,8
35344,8
33157,7
44297,7
32338,7
3457,7
48744,7
31178,7
30148,7
49676,7
58061,7
34863,7
30961,6
41233,6
202425,6
201085,6
48613,6
52130,6
207100,6
39241,6
197883,6
207970,6
216353,6
20989,6
200019,6
48703,6
205461,6
47833,6
199167,5
210403,5
41405,5
205876,5
49714,5
44534,5
42567,5
50989,5
5410,5
208058,5
51888,5
54994,5
56898,5
39542,5
399566,5
7203,5
61098,4
39116,4
210032,4
29608,4
202368,4
1897,4
16236,4
43311,4
208353,4
39162,4
208128,4
44907,4
38926,4
60248,4
34920,4
216014,4
43142,4
204601,4
209928,4
57809,4
6427,4
199218,4
51025,3
26666,3
48729,3
41191,3
61136,3
8309,3
204050,3
3920,3
203984,3
53667,3
6698,3
59467,3
197816,3
205762,3
207728,3
3259,3
30818,3
25593,3
22612,3
9180,3
197540,3
36420,3
6185,3
8708,3
35744,3
199441,3
4200000021,3
15685,3
8565,3
204544,3
215300,3
206379,3
208704,3
209567,3
206264,3
44141,3
141995,3
43424,2
59413,2
37963,2
34369,2
24776,2
39444,2
62018,2
20994,2
48434,2
20546,2
398256,2
5761,2
46475,2
24482,2
47608,2
197161,2
44696,2
6,2
39931,2
42845,2
15456,2
44527,2
15149,2
204835,2
14576,2
212216,2
10480,2
212562,2
8362,2
48426,2
51038,2
202242,2
52120,2
47543,2
33191,2
7941,2
56798,2
44932,2
34809,2
38369,2
24961,2
21000,2
197778,2
34309,2
12678,2
28753,2
65115,2
43858,2
31080,2
200324,2
63199,2
51664,2
44477,2
211922,2
211187,2
201012,2
30109,2
200339,2
31586,2
49494,2
62243,2
201939,2
327712,2
14824,2
12353,2
31577,2
200386,2
23576,2
198875,2
39495,2
137409,2
14537,2
62068,2
43641,2
200102,2
49287,2
9764,2
17025,2
15489,2
35589,2
395458,2
47422,2
136264,1
6696,1
215402,1
39286,1
49099,1
39072,1
199236,1
51586,1
47300,1
203495,1
133409,1
213466,1
394432,1
12696,1
42970,1
6724,1
62000,1
8361,1
28707,1
199360,1
50583,1
34171,1
211068,1
31708,1
1301,1
213205,1
29110,1
197485,1
57694,1
20900,1
45898,1
21581,1
29301,1
44901,1
