asn,nb_hostnames
395747,3919
21664,1010
213120,674
394507,640
16276,530
394192,366
204915,157
8075,137
62567,135
215859,109
39572,100
210403,99
12322,92
37582,70
50474,66
7979,63
31936,59
36420,58
19551,54
214455,52
8560,43
53589,40
37963,38
29222,34
38369,30
40824,28
24600,28
5545,27
47846,27
63293,27
141995,25
26496,24
133795,23
2057,23
29169,22
395458,22
204450,22
2635,21
49981,19
22612,19
49287,19
14853,19
60781,18
57633,18
14907,17
211612,17
6496,17
8839,15
12178,14
10753,14
54994,13
54641,13
328832,13
34993,13
46606,12
137409,12
24482,12
14537,12
139341,12
17025,12
30148,11
26666,11
50482,11
63240,11
52468,11
45352,11
136373,11
6327,11
37662,11
41722,11
52320,11
62768,11
12956,11
17984,11
8919,11
396390,11
328137,11
61568,11
52167,11
45517,11
20764,11
2027,11
19653,11
13786,11
51530,11
196753,11
28320,11
64475,11
6762,11
207841,11
270014,11
136620,11
18881,11
5381,11
23520,11
56696,11
48641,11
35360,11
8708,11
7589,11
17668,11
132337,11
15958,11
2614,11
14016,11
15605,11
28398,11
35600,11
19422,11
38726,11
1031,11
3844,11
29049,11
36678,11
35598,11
1916,11
264409,11
52025,11
50628,11
8195,11
205920,11
6057,11
263945,11
15802,11
202492,11
25117,11
16058,11
48254,10
59692,10
36666,10
199524,10
200019,9
8228,9
36057,9
60362,9
210770,8
200325,8
58061,8
27589,8
44907,8
58521,8
214124,8
64437,8
45090,8
14441,7
200356,7
44976,7
33837,7
8304,7
6698,7
204800,7
55293,6
4200000021,6
60855,6
23352,6
138341,6
62068,6
151373,6
28683,6
65001,6
9009,6
201896,6
209349,6
13238,5
49714,5
26347,5
60144,5
10480,5
12640,5
36924,5
6185,5
401200,5
53667,5
200107,5
4258,5
39241,5
35744,4
3457,4
40021,4
5761,4
200449,4
48744,4
397273,4
50446,4
34655,4
31586,4
61976,4
65002,4
41653,4
207208,4
48729,4
39072,4
216154,4
199636,4
9123,4
139144,4
13442,4
51888,4
150078,4
44009,4
53824,4
50583,4
63410,4
199777,4
6656,4
48040,4
62243,3
13193,3
14489,3
7941,3
205585,3
202242,3
61098,3
45666,3
3387,3
32338,3
28753,3
12678,3
35425,3
201936,3
47836,3
30961,3
49352,3
199758,3
24961,3
42567,3
139057,3
3920,3
2665,3
50980,3
206264,3
202425,3
48703,3
43311,3
215300,3
202053,3
397849,3
56898,3
199218,3
36352,3
22720,3
62979,3
33956,2
47524,2
29691,2
21409,2
12565,2
58087,2
203639,2
30983,2
42845,2
398256,2
14315,2
212815,2
213394,2
201706,2
58487,2
29182,2
36786,2
202321,2
25540,2
15699,2
24611,2
212490,2
33191,2
34788,2
51269,2
29264,2
208128,2
52148,2
205461,2
696,2
40699,2
26277,2
36459,2
14466,2
36884,2
150436,2
23576,2
376,2
6724,2
34119,2
44160,2
15964,2
18905,2
2611,2
15456,2
56341,2
4835,2
57724,2
46475,2
34699,2
33157,2
55688,2
11807,2
34931,2
57809,2
31178,2
51430,2
6939,2
48809,2
29066,2
205215,2
209042,2
14472,2
27223,2
7203,2
42240,2
213232,2
211522,1
210644,1
11019,1
203976,1
41410,1
50517,1
28810,1
53976,1
24898,1
12696,1
208789,1
37649,1
393845,1
395092,1
57687,1
15966,1
22653,1
6738,1
59467,1
210274,1
61306,1
40651,1
20546,1
39444,1
48614,1
216194,1
42656,1
198913,1
10578,1
21449,1
43641,1
13830,1
208353,1
48669,1
34920,1
61168,1
201085,1
27647,1
51433,1
62856,1
43424,1
37153,1
15318,1
328853,1
208488,1
63760,1
40034,1
152880,1
39134,1
203178,1
398017,1
17363,1
44066,1
207809,1
208276,1
40539,1
47300,1
20068,1
53332,1
46864,1
215845,1
48684,1
327712,1
55081,1
37037,1
36891,1
23470,1
39506,1
42745,1
50198,1
32,1
59253,1
8705,1
215730,1
37087,1
211922,1
49127,1
50624,1
22953,1
208813,1
48813,1
32903,1
55470,1
59689,1
34304,1
197540,1
48426,1
39104,1
62082,1
20580,1
31727,1
9688,1
680,1
13122,1
19983,1
15826,1
60922,1
199167,1
20900,1
197712,1
9752,1
14824,1
49282,1
23421,1
51468,1
35280,1
30083,1
8517,1
328654,1
24863,1
328147,1
216014,1
15480,1
198610,1
24691,1
213737,1
133409,1
23393,1
131138,1
63199,1
34146,1
37054,1
202368,1
63837,1
61251,1
61144,1
53303,1
24971,1
34222,1
9121,1
202397,1
8262,1
12993,1
18945,1
17841,1
393689,1
400797,1
400130,1
44477,1
57580,1
216353,1
42422,1
204145,1
62016,1
6713,1
30058,1
206192,1
39896,1
42442,1
63362,1
13571,1
3296,1
1152,1
51091,1
140688,1
35507,1
9038,1
60592,1
16128,1
49835,1
49677,1
29104,1
210976,1
41231,1
40994,1
328252,1
55569,1
204846,1
17561,1
25593,1
142592,1
198792,1
13627,1
29608,1
200532,1
59796,1
41191,1
55960,1
208561,1
33676,1
8069,1
328840,1
20986,1
328193,1
214390,1
33930,1
14576,1
204601,1
51038,1
41003,1
21217,1
23522,1
60550,1
8921,1
2602,1
329523,1
54913,1
396073,1
34619,1
39686,1
36850,1
62744,1
393874,1
42389,1
207728,1
36818,1
56798,1
15703,1
205762,1
35344,1
204050,1
30361,1
36912,1
11281,1
399358,1
41690,1
27264,1
4150,1
30600,1
137718,1
207970,1
29110,1
57168,1
134926,1
9159,1
210250,1
46844,1
2514,1
31892,1
394230,1
8739,1
57352,1
34235,1
45420,1
205312,1
36066,1
200000,1
786,1
198993,1
23299,1
47160,1
203417,1
48594,1
200195,1
213438,1
12926,1
43142,1
197161,1
