asn,nb_hostnames
395747,4262
21664,1529
213120,856
394192,498
8075,431
394507,268
35425,144
19551,140
35540,129
62567,81
215859,66
8560,58
39572,54
2635,44
786,43
12641,41
35280,31
61323,30
14853,30
399566,26
31936,25
12488,23
14907,23
40824,23
49025,22
204915,20
214455,20
60068,19
30148,18
60781,17
27589,17
15317,17
44009,16
63293,16
59692,15
133795,15
62016,14
204800,14
31080,14
60885,13
57168,13
205585,12
200325,12
3457,12
6496,11
64437,11
51433,11
52130,11
56682,10
395458,10
208176,10
49612,9
208058,9
33157,9
50300,9
51905,9
8195,9
10753,9
31727,8
31708,8
7979,8
36420,8
215740,8
25577,8
17668,8
47422,8
32338,7
202425,7
55532,7
58061,7
200039,7
215322,7
49676,7
17025,7
44684,7
32780,6
48254,6
3844,6
28398,6
18881,6
12956,6
263945,6
328832,6
6057,6
62768,6
132337,6
19653,6
6762,6
328137,6
41722,6
28320,6
37662,6
24600,6
15605,6
19422,6
56696,6
1916,6
50482,6
44646,6
34282,6
8535,6
8708,6
39202,6
26666,6
63410,6
6698,6
28673,6
60248,5
1273,5
53667,5
12640,5
56898,5
49714,5
44534,5
205434,5
12322,5
214073,5
207970,5
137409,5
24482,5
7589,5
48729,5
47351,5
49287,5
46130,5
26496,5
199218,5
5761,4
56595,4
47474,4
13601,4
215300,4
6427,4
401200,4
63240,4
52468,4
45352,4
136373,4
6327,4
52320,4
17984,4
9015,4
19782,4
61568,4
29169,4
132045,4
20764,4
2027,4
13786,4
51530,4
196753,4
64475,4
207841,4
270014,4
35589,4
23520,4
48641,4
35360,4
15958,4
2614,4
14016,4
35600,4
38726,4
1031,4
29049,4
4134,4
35598,4
264409,4
52025,4
50628,4
14537,4
205920,4
15802,4
44907,4
202368,4
13037,4
200019,4
12859,4
8622,4
49981,4
200083,4
141995,4
36080,4
34309,4
53824,4
204601,4
59467,4
6185,4
60257,4
47447,3
54290,3
27223,3
207728,3
15149,3
59524,3
216014,3
3920,3
200651,3
46606,3
41960,3
205860,3
206264,3
204648,3
54994,3
202053,3
34369,3
43037,3
10480,3
36516,3
5564,3
56655,3
21369,3
204544,3
213232,3
212216,3
7859,3
43937,3
147168,3
12525,3
43641,3
197651,3
50292,3
19324,3
45090,3
42656,3
38365,3
32903,3
204548,3
58102,2
24675,2
205072,2
393299,2
32494,2
201106,2
14117,2
49665,2
13030,2
61049,2
61573,2
8231,2
48571,2
8529,2
64126,2
1000,2
131073,2
18377,2
262427,2
37251,2
329356,2
132602,2
9730,2
14824,2
200449,2
8001,2
31586,2
42567,2
25180,2
34931,2
60602,2
50432,2
7203,2
30058,2
62068,2
54641,2
201744,2
