asn,nb_hostnames
395747,861
213120,354
21664,331
394192,154
394507,150
39572,40
62567,40
8075,39
31936,25
2635,24
7979,16
204915,16
14853,15
63293,13
214455,13
19551,12
215859,12
46606,9
26496,9
133795,8
14441,8
10753,7
16276,6
60781,6
6496,5
33265,5
22720,5
5545,5
54641,5
401200,4
200325,4
8560,4
26666,4
33837,4
14907,4
36420,4
22612,4
211612,4
199524,4
215740,3
33191,3
44907,3
30148,3
5761,3
59692,3
54994,3
36066,3
6185,3
35280,3
55033,3
214124,2
4258,2
27589,2
40824,2
7859,2
6698,2
12178,2
34655,2
5639,2
46650,2
36352,2
19720,2
7941,2
3728,2
13238,2
49714,2
51852,2
26347,2
20033,2
27665,1
38369,1
23470,1
10480,1
32338,1
393689,1
40021,1
41690,1
14432,1
24611,1
26752,1
133050,1
19785,1
213232,1
64437,1
31586,1
200195,1
213438,1
397849,1
4373,1
48669,1
62082,1
6717,1
22418,1
46562,1
393874,1
208561,1
62243,1
23576,1
15699,1
11584,1
61144,1
58061,1
63410,1
61976,1
46475,1
200019,1
9009,1
63362,1
140688,1
30109,1
13450,1
137870,1
56898,1
42612,1
205373,1
62856,1
25697,1
36459,1
54913,1
53824,1
202425,1
12641,1
35425,1
400797,1
18945,1
45090,1
55081,1
21624,1
50980,1
60114,1
398743,1
28067,1
398787,1
24482,1
37963,1
13601,1
53303,1
53332,1
702,1
27264,1
4150,1
30600,1
397060,1
11281,1
11139,1
36057,1
203178,1
22653,1
55293,1
19853,1
399358,1
9059,1
48729,1
26569,1
139341,1
19969,1
3387,1
214390,1
