asn,nb_hostnames
395747,3374
21664,674
213120,496
47810,344
215859,293
394507,262
394192,233
16276,214
49297,199
61976,158
20771,140
62567,138
57724,125
20545,125
59467,99
204915,98
39572,83
207728,74
58061,71
204601,68
49352,65
29182,61
8075,58
49981,55
13238,48
49714,48
42082,48
59692,47
198610,45
9123,44
60781,44
14907,39
207970,39
201706,35
5545,35
214455,34
31936,33
210656,33
198561,33
40824,31
43298,29
25249,29
210850,28
57473,27
2635,26
19551,25
49665,24
200019,23
197229,21
6697,21
44310,21
63293,21
210079,20
48040,20
203310,20
7979,19
210756,18
26496,18
211381,17
209064,17
201174,16
44696,16
205312,16
51010,15
29066,15
141995,14
48393,14
12322,14
211612,14
37963,14
198874,13
56341,13
51852,13
52130,13
212398,13
204039,13
14853,13
30818,12
208744,12
39134,11
214744,11
38369,11
44477,11
46606,11
58185,11
204800,11
395458,11
56694,10
32338,10
22612,10
50482,10
44907,10
204450,10
200325,9
24961,9
55293,9
60144,9
41722,8
6496,8
209332,8
64437,8
133795,8
215463,8
59939,8
200449,8
212484,8
206980,8
44128,8
42240,8
199524,8
206264,7
201141,7
44327,7
328832,7
44901,7
57352,7
26666,7
199867,7
215300,7
24600,7
17668,7
12178,7
7203,7
14441,6
17025,6
37662,6
10753,6
62768,6
12956,6
49287,6
328137,6
52167,6
137409,6
19653,6
24482,6
28320,6
6762,6
18881,6
56696,6
8708,6
132337,6
15605,6
28398,6
19422,6
3844,6
1916,6
8195,6
6057,6
263945,6
57768,6
36420,6
212490,6
60330,6
42745,6
59601,6
50514,6
33837,6
62243,6
42223,6
202425,6
8560,6
57881,6
200000,6
210976,6
213232,6
206407,5
60922,5
34147,5
14576,5
198876,5
63240,5
52468,5
45352,5
136373,5
6327,5
52320,5
17984,5
8919,5
396390,5
61568,5
29169,5
45517,5
20764,5
2027,5
13786,5
51530,5
196753,5
64475,5
207841,5
270014,5
136620,5
5381,5
23520,5
48641,5
35360,5
7589,5
15958,5
2614,5
14016,5
35600,5
38726,5
1031,5
29049,5
36678,5
35598,5
264409,5
52025,5
50628,5
14537,5
205920,5
15802,5
8920,5
205585,5
54994,5
60602,5
44386,5
44112,5
6698,5
202223,5
215740,5
139341,5
29289,5
31080,5
45090,5
57354,4
51841,4
62252,4
49129,4
201512,4
6185,4
204770,4
14956,4
204706,4
34222,4
62082,4
209030,4
212136,4
58112,4
62160,4
43037,4
207208,4
27589,4
199045,4
3223,4
216071,4
401200,4
50257,4
61400,4
205865,4
46844,4
44094,4
200532,4
211642,4
199218,4
210644,4
41976,4
48287,4
215498,3
3920,3
56682,3
42216,3
2514,3
56650,3
32632,3
64999,3
25393,3
25532,3
197553,3
62068,3
214653,3
47577,3
21245,3
61306,3
209046,3
35425,3
21051,3
20848,3
13442,3
8705,3
200488,3
51433,3
205820,3
205173,3
27647,3
34797,3
201201,3
48282,3
201119,3
30148,3
214881,3
216139,3
204343,3
20661,3
8856,3
9121,3
32780,3
211611,3
42632,3
199872,3
200568,3
52148,3
211922,3
397849,3
202090,3
50979,3
48729,3
19969,3
61424,3
9009,2
29208,2
214927,2
42657,2
140688,2
213737,2
48684,2
47478,2
8901,2
201651,2
42910,2
202376,2
52030,2
50647,2
201499,2
54290,2
197482,2
6724,2
42848,2
206871,2
211522,2
201744,2
209012,2
42567,2
44880,2
34699,2
59840,2
214822,2
42179,2
12678,2
206584,2
30058,2
47890,2
39678,2
23576,2
142592,2
56898,2
42775,2
62563,2
199274,2
16262,2
7941,2
61210,2
202492,2
34702,2
203962,2
8069,2
3387,2
36459,2
49604,2
12525,2
201598,2
216206,2
43362,2
50448,2
47524,2
25106,2
14824,2
205634,2
8535,2
59524,2
39392,2
43247,2
57580,2
28917,2
201012,2
51248,2
41738,2
58031,2
33191,2
53824,2
50053,2
33993,2
26347,2
205696,2
48254,2
35080,2
56811,2
216154,2
6799,2
213166,2
209786,2
53755,2
28753,2
34662,2
398256,2
203444,2
205954,2
48415,2
29628,2
52000,2
34300,2
208795,2
12400,2
5761,2
39452,2
200195,2
30968,2
42656,2
12578,2
22720,2
204424,2
51278,2
201200,2
9764,2
12543,2
212247,1
216127,1
134926,1
13830,1
213212,1
30081,1
397666,1
210512,1
57363,1
203448,1
200883,1
34309,1
204720,1
394437,1
215730,1
24824,1
6656,1
60248,1
11281,1
30758,1
48757,1
200804,1
44670,1
205762,1
65115,1
139144,1
50341,1
205193,1
41965,1
201186,1
23421,1
61251,1
7859,1
205559,1
65535,1
205516,1
131965,1
21581,1
21214,1
200186,1
48753,1
201498,1
51520,1
35506,1
209361,1
215845,1
399250,1
214798,1
3361,1
209847,1
65302,1
202696,1
59504,1
393689,1
8304,1
48763,1
10480,1
139057,1
13041,1
215625,1
215840,1
198993,1
207104,1
39896,1
3320,1
211426,1
31200,1
51011,1
34798,1
27223,1
199669,1
61272,1
42121,1
53332,1
202053,1
49800,1
59796,1
214573,1
53667,1
44812,1
56864,1
58010,1
150436,1
50474,1
205701,1
63410,1
207983,1
42422,1
57375,1
138650,1
15699,1
50980,1
203417,1
8515,1
36850,1
205373,1
205216,1
201936,1
57629,1
42849,1
5386,1
43896,1
200904,1
20847,1
198913,1
211143,1
35744,1
8440,1
12365,1
42532,1
48008,1
208603,1
8312,1
49016,1
31674,1
52184,1
215846,1
51954,1
26752,1
200044,1
49535,1
204159,1
216365,1
30083,1
205567,1
207304,1
59441,1
23816,1
24572,1
39787,1
133777,1
51765,1
60357,1
43091,1
214308,1
216475,1
34666,1
200651,1
212531,1
60580,1
44704,1
399358,1
48018,1
208128,1
29549,1
200928,1
48314,1
35673,1
395409,1
200784,1
47917,1
44932,1
8991,1
58227,1
49675,1
53589,1
212264,1
39686,1
29389,1
43641,1
32413,1
393299,1
32494,1
201106,1
14117,1
13030,1
1273,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
6939,1
262427,1
37251,1
327788,1
132602,1
9730,1
214390,1
54641,1
7684,1
20523,1
42371,1
151373,1
34655,1
42938,1
60591,1
399566,1
30456,1
207640,1
210,1
200487,1
13182,1
24971,1
199414,1
393874,1
61144,1
62904,1
202816,1
205125,1
50214,1
204194,1
58212,1
12555,1
50113,1
63362,1
40728,1
49676,1
34369,1
23352,1
34947,1
213877,1
206817,1
51225,1
50313,1
38952,1
207697,1
208906,1
44903,1
59684,1
9760,1
31577,1
43211,1
56128,1
16182,1
59967,1
57530,1
45420,1
198032,1
9752,1
12993,1
202368,1
48922,1
33083,1
40994,1
201589,1
47954,1
2057,1
50090,1
19853,1
8203,1
33157,1
58143,1
48061,1
201848,1
215402,1
56851,1
57344,1
3457,1
48096,1
208488,1
64427,1
27264,1
4150,1
30600,1
208450,1
63760,1
49127,1
32903,1
400754,1
18310,1
42106,1
57152,1
44014,1
197686,1
211871,1
44256,1
138341,1
30109,1
210390,1
400797,1
213995,1
207573,1
208058,1
400992,1
35594,1
213220,1
207362,1
57088,1
207986,1
212422,1
42846,1
47447,1
205961,1
24611,1
60592,1
37936,1
43278,1
41690,1
24851,1
206972,1
41077,1
212792,1
196752,1
9074,1
213438,1
34342,1
56322,1
42165,1
47111,1
47416,1
12997,1
58210,1
