asn,nb_hostnames
395747,1733
21664,601
213120,514
35540,424
394507,225
394192,131
12322,89
2057,79
8075,76
24600,75
50474,72
39572,51
19551,47
62567,43
45666,31
204915,30
7979,29
215859,28
8560,27
8228,27
57633,25
31936,22
8839,21
60855,20
29222,19
15317,19
25117,19
214455,17
40824,15
2635,14
63293,14
8304,12
52580,12
209349,12
14853,12
6656,11
14489,10
50583,10
48140,10
50624,10
54994,9
205461,9
216353,9
14907,9
3457,9
60781,9
29169,9
53589,8
20776,8
34993,8
60068,7
48703,7
15699,7
35280,7
213232,7
58061,6
213394,6
201085,6
60362,6
199636,6
15401,6
48744,5
30148,5
50446,5
28604,5
12640,5
39162,5
199777,5
6738,5
10954,5
141995,5
33157,5
3259,4
199758,4
12565,4
39241,4
200325,4
44907,4
133795,4
208128,4
200356,4
41233,4
38369,4
48613,4
208353,4
39104,4
201896,4
51888,4
51110,4
210770,4
20264,3
27589,3
39534,3
50980,3
43311,3
5761,3
41653,3
36420,3
57809,3
39072,3
9159,3
31178,3
200019,3
401200,3
47494,3
6185,3
22612,3
210403,3
204050,3
199524,3
62979,3
49981,2
43142,2
34235,2
53824,2
62068,2
199167,2
200102,2
34655,2
50989,2
7941,2
32338,2
25593,2
139341,2
214124,2
47846,2
15201,2
15826,2
204601,2
44527,2
1301,2
38926,2
13193,2
204835,2
21000,2
23576,2
12678,2
12178,2
138341,2
62856,2
37963,2
197505,2
44534,2
49714,2
197562,2
28753,2
51468,2
33191,2
4200000021,2
64437,2
48594,2
59692,2
197161,1
46606,1
202321,1
35344,1
46844,1
209227,1
39239,1
39444,1
200596,1
393874,1
42845,1
8554,1
51269,1
210243,1
53055,1
52034,1
198066,1
213466,1
398851,1
30109,1
200062,1
214390,1
1916,1
5410,1
8565,1
202425,1
139144,1
48809,1
14537,1
24482,1
58521,1
62243,1
15703,1
60550,1
35101,1
49612,1
15685,1
51038,1
31586,1
16839,1
42567,1
9180,1
266390,1
202757,1
2514,1
46475,1
14340,1
50618,1
212815,1
9009,1
208276,1
30961,1
48426,1
31727,1
11281,1
140688,1
61168,1
61976,1
41191,1
137409,1
204657,1
8069,1
48669,1
22653,1
59877,1
30361,1
210250,1
204371,1
207970,1
394277,1
53332,1
200339,1
197696,1
7203,1
29605,1
53107,1
209928,1
29608,1
209097,1
24611,1
13571,1
6427,1
30277,1
44477,1
29110,1
36786,1
14840,1
56341,1
44160,1
199218,1
399358,1
59689,1
44880,1
50818,1
44297,1
20900,1
197883,1
20546,1
133409,1
270424,1
10480,1
55081,1
57173,1
208789,1
41690,1
63362,1
15456,1
16001,1
40244,1
28774,1
13273,1
40021,1
55293,1
63410,1
204142,1
35744,1
36459,1
44932,1
61098,1
56798,1
696,1
42970,1
20253,1
198792,1
34920,1
211068,1
198610,1
43424,1
206264,1
21217,1
59253,1
28299,1
207809,1
14576,1
27806,1
201425,1
48729,1
47835,1
6496,1
199006,1
198095,1
21409,1
6,1
12926,1
197540,1
