asn,nb_hostnames
395747,523
21664,306
213120,271
394192,153
394507,114
8075,44
62567,29
2635,25
8681,25
19551,20
14853,17
12488,16
35425,16
401200,11
63293,10
34026,10
133795,9
8560,9
215859,8
204800,8
48254,7
14907,6
214455,5
39572,5
30148,5
31727,5
204915,5
7979,4
60068,4
31936,4
6496,4
12641,4
200325,3
5761,3
8839,3
6185,3
46606,3
7941,2
45666,2
21345,2
147168,2
26496,2
196745,2
6427,2
52148,2
215322,2
35540,2
58102,2
50957,2
8680,2
34309,2
207087,2
702,2
41000,2
33157,2
22720,2
31708,2
42849,2
17668,2
10753,2
395458,2
47422,2
57168,2
200596,1
49025,1
393689,1
151847,1
41690,1
14415,1
36420,1
34282,1
15685,1
12775,1
55081,1
62016,1
30109,1
50300,1
2818,1
393299,1
32494,1
3844,1
201106,1
14117,1
49665,1
13030,1
28398,1
1273,1
61049,1
61573,1
18881,1
12956,1
8231,1
48571,1
263945,1
8529,1
64126,1
328832,1
8195,1
6057,1
62768,1
17025,1
132337,1
19653,1
1000,1
6762,1
131073,1
328137,1
41722,1
28320,1
18377,1
37662,1
24600,1
262427,1
37251,1
15605,1
19422,1
56696,1
329356,1
1916,1
132602,1
50482,1
9730,1
63240,1
52468,1
45352,1
136373,1
6327,1
52320,1
17984,1
9015,1
49287,1
19782,1
61568,1
29169,1
200039,1
132045,1
20764,1
137409,1
2027,1
13786,1
51530,1
196753,1
24482,1
64475,1
207841,1
270014,1
44684,1
35589,1
23520,1
48641,1
35360,1
8708,1
7589,1
15958,1
2614,1
14016,1
35600,1
38726,1
1031,1
29049,1
4134,1
35598,1
264409,1
52025,1
50628,1
14537,1
205920,1
15802,1
64437,1
47351,1
17156,1
11281,1
54641,1
44239,1
39122,1
60781,1
21221,1
40021,1
48669,1
36516,1
33191,1
30864,1
16072,1
39651,1
44009,1
44907,1
213232,1
49868,1
205696,1
3352,1
24611,1
133096,1
30827,1
21369,1
400797,1
39072,1
393874,1
201085,1
26666,1
197651,1
36459,1
12178,1
205373,1
60945,1
53589,1
34655,1
12322,1
