asn,nb_hostnames
395747,3977
21664,1317
213120,671
394507,394
394192,333
204915,304
22612,186
8075,167
62567,147
215859,140
16276,113
19551,80
26666,71
23470,64
46606,64
39572,59
37313,57
37963,52
141995,48
2635,41
26496,41
214455,36
31936,33
204800,29
14441,27
37074,26
30148,25
48254,25
14853,25
63293,23
328212,23
786,22
133795,20
29614,20
38369,20
55293,19
30986,19
327947,19
12178,19
7979,18
54641,18
60781,17
8560,16
14907,16
26347,16
3457,16
211612,15
59692,14
40824,14
53824,12
12322,12
28753,11
53667,11
37153,11
33157,11
202492,10
44907,10
36420,10
37263,10
6698,10
55532,9
58294,9
328571,9
200325,9
215740,9
139341,9
45090,9
328797,8
54994,8
44009,8
397273,8
200019,8
13442,8
5545,8
139144,8
58061,7
399250,7
27589,7
46844,7
398256,7
202425,7
7203,7
6496,6
215846,6
35280,6
33837,6
329184,6
397849,6
52130,6
60885,6
10753,6
213232,6
6185,6
199524,6
200449,5
30475,5
64437,5
133210,5
135360,5
32338,5
47846,5
23576,5
10480,5
135377,5
1152,5
35425,5
215300,4
34119,4
60144,4
5761,4
150078,4
696,4
63410,4
53850,4
57724,4
18945,4
202053,4
40021,4
19648,4
328890,4
14555,4
14466,4
46475,4
51468,4
51852,4
37087,4
22950,4
41000,4
3920,4
17025,4
24600,4
400275,4
36352,4
199218,4
22720,4
9764,4
210544,3
137,3
62068,3
13601,3
24961,3
30277,3
328832,3
328439,3
13238,3
49714,3
9123,3
7941,3
214124,3
49287,3
36459,3
210250,3
394625,3
3387,3
205435,3
12678,3
215322,3
680,3
33265,3
53755,3
328854,3
328224,3
2611,3
30988,3
39832,3
50980,3
48729,3
9059,3
199729,3
151373,3
400754,3
17668,3
395458,3
197540,3
6428,2
329023,2
14315,2
142594,2
400940,2
327928,2
328054,2
33191,2
211922,2
802,2
51433,2
3844,2
28398,2
18881,2
12956,2
263945,2
8195,2
6057,2
62768,2
132337,2
19653,2
6762,2
328137,2
41722,2
28320,2
37662,2
6939,2
15605,2
19422,2
56696,2
1916,2
50482,2
45420,2
30083,2
37691,2
3296,2
137409,2
328076,2
56322,2
393874,2
216154,2
198032,2
37212,2
34309,2
12005,2
24482,2
49981,2
327886,2
15430,2
24971,2
36818,2
329278,2
60230,2
206264,2
20,2
9009,2
63760,2
19853,2
26277,2
56898,2
150436,2
37392,2
141518,2
213737,2
29066,2
23421,2
11807,2
200000,2
138341,2
36066,2
36080,2
51905,2
42848,2
327992,2
207970,2
46549,2
61976,2
59939,2
13830,2
201755,2
2514,2
200195,2
142592,2
29182,2
33091,2
58521,2
37350,2
7859,2
54467,2
198993,2
59253,2
329154,2
31586,2
328174,2
47002,2
2018,2
328752,2
196645,2
328252,2
12488,2
34222,2
199867,2
44477,2
7393,2
52148,2
24691,2
206672,2
3361,2
204450,2
42240,2
32903,2
37140,2
61098,1
21581,1
8960,1
199636,1
46184,1
44386,1
328494,1
11700,1
11105,1
327848,1
26569,1
45894,1
43641,1
3768,1
4258,1
62138,1
207208,1
37570,1
42585,1
22991,1
9752,1
14115,1
14472,1
208488,1
1741,1
61144,1
11106,1
59674,1
35091,1
3851,1
14834,1
211942,1
393299,1
32494,1
201106,1
14117,1
49665,1
13030,1
1273,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
37251,1
327788,1
132602,1
9730,1
48763,1
12046,1
51304,1
26996,1
200514,1
7658,1
62243,1
152194,1
224,1
202499,1
22887,1
11281,1
3728,1
376,1
201744,1
