asn,nb_hostnames
395747,314
213120,221
21664,201
394507,125
394192,113
8075,26
8301,18
14853,11
2635,10
60068,10
63293,9
26496,9
35425,9
62567,9
39572,8
215859,8
214455,7
19551,6
35540,6
31936,5
8560,5
200083,4
14907,4
204915,4
35280,3
34803,3
3352,3
6496,2
46606,2
49025,2
204773,2
7941,2
44907,2
141995,2
7979,2
393874,2
196745,2
199802,2
31727,2
36516,1
20546,1
52148,1
49635,1
15699,1
15685,1
30961,1
200325,1
12641,1
10753,1
401200,1
22194,1
12640,1
11281,1
200596,1
42612,1
399358,1
6185,1
57633,1
39020,1
204811,1
41690,1
31627,1
34655,1
44009,1
36459,1
400797,1
60781,1
34285,1
33157,1
21345,1
208036,1
5761,1
34941,1
200521,1
31577,1
215322,1
50989,1
205193,1
39263,1
16371,1
12178,1
3273,1
41233,1
139144,1
64437,1
33876,1
202087,1
34026,1
54641,1
30109,1
205072,1
205373,1
26666,1
24611,1
15937,1
