asn,nb_hostnames
395747,325
213120,147
21664,142
394192,75
8075,74
202816,74
394507,64
8818,42
215859,35
39572,23
62567,20
12617,13
31936,11
35540,11
35589,11
63293,10
51008,10
51468,9
14853,8
196724,7
30961,7
14907,7
62248,7
57030,7
59795,6
43167,6
12929,5
8523,4
48254,4
401200,4
214455,4
2635,4
58282,4
19551,4
12483,4
49309,3
3240,3
6185,3
48295,3
1835,3
133795,3
5761,3
60781,3
44907,2
64437,2
202053,2
24853,2
204607,2
12178,2
42876,2
3342,2
26496,2
52011,1
34670,1
200997,1
40824,1
48763,1
15317,1
203581,1
35744,1
200195,1
213438,1
6698,1
24611,1
214813,1
207818,1
30148,1
50783,1
36459,1
12306,1
7979,1
210465,1
213232,1
31590,1
201503,1
41690,1
6793,1
204915,1
55293,1
54641,1
12322,1
201078,1
54994,1
133409,1
7941,1
15474,1
59692,1
208310,1
215052,1
20616,1
46606,1
32338,1
55081,1
9009,1
42422,1
196752,1
213340,1
34655,1
52130,1
12640,1
8560,1
200596,1
33083,1
31264,1
60068,1
397273,1
197308,1
42400,1
393874,1
11281,1
206264,1
