asn,nb_hostnames
395747,1551
21664,477
213120,347
394507,230
394192,167
62567,102
8075,71
214455,62
39572,61
395458,58
204450,58
204915,53
215859,41
10753,32
49287,32
6496,32
24600,31
24482,30
328832,30
5381,30
17025,29
50482,29
63240,29
52468,29
45352,29
136373,29
6327,29
37662,29
41722,29
52320,29
62768,29
12956,29
17984,29
8919,29
396390,29
328137,29
61568,29
29169,29
52167,29
45517,29
20764,29
137409,29
2027,29
19653,29
13786,29
51530,29
196753,29
28320,29
64475,29
6762,29
207841,29
270014,29
136620,29
18881,29
23520,29
56696,29
48641,29
35360,29
8708,29
7589,29
17668,29
132337,29
15958,29
2614,29
14016,29
15605,29
28398,29
35600,29
19422,29
38726,29
1031,29
3844,29
29049,29
36678,29
35598,29
1916,29
264409,29
52025,29
50628,29
14537,29
8195,29
205920,29
6057,29
263945,29
15802,29
19551,27
31936,27
47846,27
16276,21
7979,20
22612,19
2635,18
63293,17
26496,17
133795,15
14853,13
60781,12
14907,11
37963,10
25250,9
141995,9
38369,9
211612,9
12178,8
58061,7
44907,7
36420,7
40824,7
46606,6
3457,6
8560,6
199524,6
27589,5
202492,5
28753,5
49610,5
48254,5
9009,5
5545,5
26666,4
3920,4
200325,4
5761,4
6185,4
48040,4
200019,4
150078,4
786,4
62068,4
55470,4
23352,4
30148,4
54994,4
215846,4
55293,3
200449,3
139341,3
37309,3
44009,3
50980,3
45090,3
36080,3
14441,3
401200,3
199729,3
22720,3
6698,3
32338,2
17561,2
203639,2
49714,2
13238,2
202425,2
33837,2
35280,2
214124,2
29222,2
40021,2
7941,2
10480,2
49981,2
202242,2
207208,2
26347,2
47002,2
8705,2
328147,2
36066,2
37153,2
42848,2
205435,2
329184,2
328252,2
62243,2
55960,2
12322,2
11807,2
15699,2
31586,2
4258,2
3387,2
58294,2
151373,2
34655,2
56898,2
54641,2
52148,2
216154,2
18945,2
3320,1
36057,1
9752,1
205585,1
139144,1
136165,1
213232,1
137,1
14555,1
19853,1
393689,1
8622,1
15897,1
34931,1
17363,1
14466,1
203461,1
198610,1
51392,1
53850,1
198913,1
34222,1
200532,1
34996,1
216014,1
46475,1
206264,1
200928,1
56341,1
38185,1
55684,1
13830,1
48894,1
210250,1
22653,1
20740,1
12833,1
3296,1
14315,1
207697,1
51433,1
139057,1
26277,1
44066,1
63760,1
20559,1
35425,1
50474,1
202368,1
61144,1
29302,1
51888,1
207970,1
394695,1
8523,1
53332,1
50517,1
57344,1
11281,1
9121,1
24611,1
40539,1
9059,1
34119,1
203976,1
39134,1
399358,1
215300,1
8739,1
29066,1
44160,1
38913,1
64437,1
44477,1
61098,1
2665,1
41690,1
150436,1
23470,1
33265,1
35080,1
57168,1
398256,1
14472,1
215322,1
51545,1
198032,1
18905,1
140688,1
37524,1
13442,1
15318,1
51269,1
53824,1
24961,1
329023,1
45894,1
8346,1
132856,1
42846,1
8839,1
14340,1
29465,1
57687,1
393874,1
9605,1
55081,1
196645,1
36459,1
204800,1
24971,1
398743,1
13984,1
12064,1
55569,1
12678,1
9370,1
51970,1
201936,1
208160,1
208561,1
48669,1
211316,1
48729,1
400797,1
49635,1
9688,1
59253,1
208488,1
39825,1
8473,1
214685,1
200195,1
213438,1
10098,1
7040,1
