asn,nb_hostnames
395747,3303
21664,984
394507,728
213120,649
16276,388
394192,261
8075,132
204915,129
62567,119
395458,113
204450,108
39572,106
215859,104
214455,97
24600,90
50474,84
36420,74
12322,70
6496,69
10753,64
210403,64
17668,64
49287,62
328832,61
17025,60
56696,60
50482,59
37662,59
41722,59
62768,59
12956,59
328137,59
19653,59
28320,59
6762,59
18881,59
132337,59
15605,59
28398,59
19422,59
3844,59
1916,59
8195,59
6057,59
263945,59
29169,59
36678,56
137409,55
24482,55
14537,55
31936,54
63240,54
52468,54
45352,54
136373,54
6327,54
52320,54
17984,54
8919,54
396390,54
61568,54
52167,54
45517,54
20764,54
2027,54
13786,54
51530,54
196753,54
64475,54
207841,54
270014,54
136620,54
5381,54
23520,54
48641,54
35360,54
8708,54
7589,54
15958,54
2614,54
14016,54
35600,54
38726,54
1031,54
29049,54
35598,54
264409,54
52025,54
50628,54
205920,54
15802,54
19551,49
7979,43
47846,43
46606,37
53589,37
37963,34
8560,31
29222,31
22612,29
63293,29
2057,28
14907,27
38369,27
49981,25
5545,22
141995,21
2635,19
60781,19
14853,19
12178,18
40824,17
133795,16
26496,16
54994,14
30148,14
8839,14
211612,14
57633,13
202492,13
139341,12
58061,12
55293,11
200356,11
25117,10
2611,10
4200000021,10
60362,10
210770,9
44976,9
8228,9
3457,9
44907,8
34993,8
15699,8
6656,8
37461,8
6185,8
54641,8
34119,7
36057,7
6939,7
28753,7
151373,7
27589,7
214124,7
199524,7
21409,6
139144,6
376,6
49610,6
45090,6
64437,6
26666,6
23352,6
53824,5
44009,5
329509,5
2665,5
393299,5
32494,5
201106,5
14117,5
49665,5
13030,5
1273,5
61049,5
61573,5
8231,5
48571,5
8529,5
64126,5
1000,5
131073,5
18377,5
262427,5
37251,5
327788,5
132602,5
9730,5
200019,5
37141,5
328923,5
5761,5
31586,5
200107,5
41653,5
150078,5
131138,5
204800,5
199729,4
48744,4
216154,4
8304,4
3920,4
51468,4
3387,4
39241,4
9009,4
49714,4
13238,4
52148,4
8346,4
208353,4
34863,4
39072,4
50446,4
26347,4
50980,4
14466,4
213232,4
28683,3
65001,3
30961,3
10480,3
209349,3
40699,3
45666,3
9644,3
202242,3
208520,3
29066,3
201936,3
63199,3
202053,3
7941,3
29264,3
696,3
35425,3
199777,3
63410,3
24611,3
215300,3
13442,3
51888,3
52130,3
4258,3
14441,3
139057,3
12640,3
59692,3
207970,3
62068,3
56898,3
43311,3
328252,3
48813,3
3296,3
198610,3
61098,3
36786,3
6713,3
205585,3
201896,3
22720,3
62979,3
42567,2
23576,2
8069,2
36352,2
34920,2
