asn,nb_hostnames
395747,3065
35540,1367
21664,1152
213120,755
394507,455
394192,243
50474,226
12322,170
8075,162
24600,125
2057,125
204915,98
8560,91
19551,87
29222,71
39572,69
62567,61
215859,56
57633,52
53589,51
8228,40
29169,37
15317,33
40824,31
60855,29
8839,28
6656,28
209349,28
60068,26
25117,24
8304,23
60362,22
210403,21
2635,20
31936,20
7979,19
50624,18
214455,18
21409,18
14489,18
34993,17
63293,16
200325,16
199777,16
210770,16
50446,15
213394,15
12640,15
14853,15
133795,14
14907,14
50583,14
213232,14
199636,13
6496,13
48140,13
45666,13
200356,13
28753,12
6738,12
401200,12
21351,12
216353,12
15401,12
60781,11
54994,11
20776,10
26496,10
8195,10
201085,9
34235,9
39104,9
30148,9
199758,9
62979,9
48703,8
39241,8
205461,8
9159,8
22612,8
35280,8
41653,7
199167,7
141995,7
48744,7
20529,7
41233,7
33157,7
1301,7
48613,6
43858,6
43142,6
58061,6
25540,6
4200000021,6
57809,6
197696,6
3457,6
64437,5
50989,5
3259,5
20989,5
27589,5
26666,5
53824,5
39162,5
49981,5
30961,5
43311,5
9009,5
59692,5
200019,5
206002,5
44297,5
12565,5
36420,5
15699,5
201896,5
13273,5
199218,5
48252,4
203461,4
51468,4
51888,4
37963,4
197883,4
46606,4
44907,4
38369,4
39072,4
31178,4
208128,4
208353,4
31586,4
17025,4
6185,4
204835,3
47846,3
61168,3
61098,3
48594,3
39534,3
215300,3
202425,3
50980,3
47836,3
5410,3
9180,3
56898,3
6,3
200102,3
198610,3
6427,3
43424,3
10753,3
5761,3
42845,3
203596,3
52034,3
42567,3
204050,3
399566,3
33930,3
328832,3
7941,3
17668,3
395458,3
7203,3
34863,2
49612,2
40699,2
200339,2
206619,2
205193,2
47160,2
214744,2
204371,2
204601,2
36666,2
36459,2
211068,2
8921,2
16839,2
32338,2
2780,2
20994,2
55293,2
14537,2
206264,2
44527,2
46475,2
26347,2
12178,2
15685,2
62856,2
15456,2
25593,2
214124,2
39542,2
23576,2
211187,2
33191,2
13601,2
8399,2
202757,2
21000,2
44534,2
49714,2
199968,2
197540,2
21217,2
3844,2
28398,2
18881,2
12956,2
263945,2
6057,2
62768,2
132337,2
19653,2
6762,2
328137,2
41722,2
28320,2
37662,2
15605,2
19422,2
56696,2
1916,2
50482,2
32903,2
59877,2
210032,2
35744,2
24482,2
48130,2
39686,2
46844,2
16128,2
197562,2
62243,2
33392,2
36511,2
48809,2
14824,2
216154,2
8554,2
13193,2
47543,2
12678,2
202321,2
51110,2
197505,2
35589,2
15489,2
20033,2
204800,2
49287,2
47422,2
13733,1
40034,1
133409,1
209928,1
48426,1
29104,1
24776,1
198875,1
393845,1
60331,1
60230,1
16236,1
206972,1
198095,1
394277,1
44880,1
28774,1
39292,1
198792,1
34306,1
29110,1
213441,1
398851,1
34655,1
34788,1
201425,1
44407,1
212815,1
39931,1
41191,1
14340,1
8069,1
44477,1
199712,1
54290,1
27264,1
4150,1
30600,1
35425,1
47300,1
39781,1
200435,1
397569,1
400513,1
20847,1
397849,1
8362,1
3920,1
44160,1
328853,1
201140,1
36818,1
208789,1
40994,1
200960,1
9036,1
42656,1
204648,1
399358,1
142592,1
39040,1
52120,1
8705,1
61251,1
24611,1
63473,1
22653,1
28768,1
27647,1
204142,1
213466,1
394230,1
34920,1
14472,1
63362,1
51038,1
23470,1
198032,1
201939,1
198978,1
59689,1
16001,1
131248,1
29608,1
57173,1
14466,1
36786,1
39896,1
204561,1
393874,1
329523,1
203984,1
210250,1
214390,1
35344,1
197161,1
198184,1
49494,1
204657,1
48729,1
51269,1
210274,1
205762,1
13571,1
197816,1
60592,1
205860,1
56798,1
47608,1
33322,1
207809,1
208382,1
31727,1
200979,1
48669,1
43532,1
376,1
393299,1
32494,1
201106,1
14117,1
49665,1
13030,1
1273,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
37251,1
329356,1
132602,1
9730,1
202213,1
60620,1
58521,1
29066,1
400754,1
199383,1
214742,1
45090,1
20546,1
63240,1
52468,1
45352,1
136373,1
6327,1
52320,1
17984,1
9015,1
19782,1
61568,1
200039,1
132045,1
20764,1
137409,1
2027,1
13786,1
51530,1
196753,1
64475,1
207841,1
270014,1
44684,1
23520,1
48641,1
35360,1
8708,1
7589,1
15958,1
2614,1
14016,1
35600,1
38726,1
1031,1
29049,1
4134,1
35598,1
264409,1
52025,1
50628,1
205920,1
15802,1
394432,1
199006,1
203437,1
61144,1
56341,1
62119,1
42194,1
42970,1
60368,1
62068,1
61136,1
60550,1
32831,1
208276,1
21449,1
202242,1
54641,1
208226,1
2514,1
40021,1
39444,1
3129,1
44141,1
206484,1
45420,1
39495,1
50198,1
15826,1
138627,1
202669,1
47447,1
57168,1
139144,1
199997,1
197690,1
39506,1
8768,1
50982,1
24971,1
139341,1
20900,1
24898,1
16265,1
40244,1
209567,1
48684,1
29691,1
204145,1
30109,1
47833,1
49566,1
264645,1
2665,1
198340,1
198066,1
200107,1
15703,1
206874,1
210879,1
29605,1
37002,1
55081,1
197551,1
11281,1
39239,1
199524,1
48314,1
38926,1
201744,1
12696,1
14576,1
22953,1
212562,1
61976,1
209097,1
42585,1
53332,1
41690,1
696,1
207970,1
211922,1
