asn,nb_hostnames
395747,645
213120,215
21664,188
394507,93
394192,91
39572,38
16276,32
8075,31
62567,22
211612,17
214455,17
7979,15
63293,12
215859,10
31936,10
204915,10
14907,8
14853,8
60781,7
133795,6
5545,6
2635,6
19551,6
8288,5
31577,5
38369,5
39020,5
40824,5
200521,4
37963,4
58061,4
37529,4
12178,4
15630,4
57910,4
139341,4
22612,4
36420,4
44907,4
199524,4
6185,3
26666,3
49635,3
150078,3
49981,3
202492,3
54994,3
328311,2
13238,2
49714,2
32338,2
13442,2
6496,2
57724,2
3352,2
10480,2
8560,2
30148,2
205193,2
28753,2
26496,2
16984,2
200019,2
61098,2
3457,2
37337,2
139144,2
50474,2
200325,2
23470,1
56341,1
200928,1
7941,1
33837,1
26347,1
34655,1
14466,1
41690,1
210403,1
207970,1
49287,1
45090,1
44009,1
31586,1
203639,1
24961,1
65002,1
53824,1
15699,1
25285,1
400797,1
205796,1
11281,1
8839,1
55293,1
23352,1
198066,1
215300,1
48348,1
44160,1
39134,1
33676,1
29222,1
22653,1
214124,1
328252,1
207208,1
39263,1
9752,1
5761,1
24611,1
52438,1
47577,1
41976,1
44477,1
51888,1
44453,1
25354,1
29182,1
36459,1
46606,1
31627,1
24600,1
398743,1
214390,1
41653,1
62068,1
198792,1
205585,1
44436,1
64437,1
62243,1
48669,1
150694,1
51433,1
211611,1
30961,1
12678,1
29264,1
9009,1
216154,1
47846,1
393874,1
