asn,nb_hostnames
395747,3686
215859,1494
213120,673
21664,522
394507,323
8075,192
394192,186
30961,166
35540,152
49968,117
35506,108
47521,107
209150,92
6744,85
62567,77
5408,74
19551,72
60781,69
39572,69
197746,66
12713,64
204915,52
35425,46
33676,42
25472,41
60342,39
14907,38
141995,36
12361,33
35816,31
40824,31
35280,29
31936,28
8280,28
15317,27
2635,24
50520,23
51392,23
214455,20
59692,20
133795,18
15544,17
63293,17
50919,16
55293,16
46844,15
8560,15
12322,15
14853,15
26496,15
60068,13
29066,13
200128,12
5470,12
28753,12
7979,11
202053,11
216285,10
30148,10
47195,10
58061,10
8643,10
201200,10
49981,9
49612,9
32338,9
64437,9
208058,9
52130,9
31080,9
8400,8
27589,8
200325,8
43037,8
51859,8
39896,7
8253,7
215322,7
207970,7
212531,7
12178,7
35432,6
50989,6
63410,6
6496,6
50501,6
31586,6
202425,6
8708,6
56682,5
60047,5
6867,5
200314,5
215740,5
8866,5
3323,5
31083,5
20546,5
8262,5
48729,5
204800,5
395458,5
48254,4
41722,4
198477,4
46606,4
7203,4
36420,4
8611,4
14441,4
26666,4
24971,4
44696,4
34788,4
19969,4
215300,4
3457,4
59467,4
44534,4
49714,4
10753,4
328832,4
50311,4
51025,4
216014,4
207728,4
197540,4
6698,4
24600,4
17668,4
771,4
47422,4
15958,3
8762,3
202242,3
197216,3
206264,3
8839,3
205067,3
53667,3
41697,3
42848,3
29162,3
5403,3
37963,3
56898,3
9009,3
28953,3
7859,3
57788,3
43641,3
34772,3
53824,3
213306,3
137409,3
207953,3
204601,3
42567,3
44066,3
17025,3
50482,3
37662,3
62768,3
12956,3
328137,3
19653,3
24482,3
28320,3
6762,3
18881,3
56696,3
132337,3
15605,3
28398,3
19422,3
3844,3
1916,3
8195,3
6057,3
263945,3
10480,3
48314,3
9069,3
401200,3
30818,3
20813,3
24961,3
44907,3
34222,3
12402,3
31563,3
48040,3
61976,3
54641,3
204548,3
34432,3
62243,2
198203,2
42422,2
7941,2
36080,2
211922,2
33157,2
15685,2
60114,2
200019,2
200449,2
60602,2
54290,2
44477,2
205644,2
205544,2
8396,2
51577,2
200195,2
206566,2
27647,2
207697,2
6427,2
29222,2
47616,2
202492,2
50148,2
61098,2
20068,2
60597,2
49683,2
204932,2
12364,2
205111,2
398256,2
30475,2
212792,2
42106,2
63240,2
52468,2
45352,2
136373,2
6327,2
52320,2
17984,2
9015,2
49287,2
19782,2
61568,2
29169,2
200039,2
132045,2
20764,2
2027,2
13786,2
51530,2
196753,2
64475,2
207841,2
270014,2
44684,2
35589,2
23520,2
48641,2
35360,2
7589,2
2614,2
14016,2
35600,2
38726,2
1031,2
29049,2
4134,2
35598,2
264409,2
52025,2
50628,2
14537,2
205920,2
15802,2
393874,2
8991,2
201744,2
205762,2
8739,2
8278,2
59939,2
39392,2
12306,2
49352,2
5576,2
60550,2
62068,2
209617,2
14340,2
8535,2
44901,2
23576,2
58212,2
207809,2
41528,2
32780,2
14576,2
8581,2
12678,2
202521,2
12954,2
20264,1
207362,1
39020,1
29389,1
62370,1
20522,1
47917,1
27223,1
205865,1
49815,1
29024,1
207704,1
399566,1
42216,1
60117,1
15690,1
39796,1
61065,1
39292,1
209847,1
20771,1
36459,1
49127,1
51852,1
400797,1
215393,1
208128,1
213438,1
54994,1
213784,1
8544,1
44112,1
60368,1
21245,1
16075,1
22612,1
199370,1
42532,1
399358,1
13147,1
51954,1
208443,1
56655,1
214124,1
202448,1
41008,1
20799,1
8669,1
18945,1
57352,1
39104,1
62134,1
38952,1
13442,1
61144,1
3330,1
56582,1
61323,1
22560,1
214653,1
8069,1
196724,1
16013,1
33853,1
23522,1
8288,1
202816,1
20523,1
42371,1
196752,1
30456,1
207481,1
48164,1
34798,1
22653,1
197816,1
20677,1
3920,1
50980,1
20616,1
36850,1
200736,1
19084,1
55045,1
139144,1
5489,1
29052,1
15149,1
47287,1
201293,1
33083,1
200000,1
213205,1
24676,1
42165,1
200386,1
19853,1
2780,1
215845,1
201079,1
197534,1
56771,1
12437,1
209922,1
205585,1
34309,1
3223,1
42681,1
33191,1
216194,1
13326,1
35744,1
56864,1
58010,1
44160,1
61400,1
136264,1
6185,1
210756,1
8618,1
32632,1
64999,1
57344,1
202223,1
201706,1
21288,1
55532,1
51605,1
202115,1
205072,1
47577,1
12824,1
41690,1
34989,1
214308,1
15512,1
39686,1
15456,1
21345,1
35446,1
11281,1
34594,1
60592,1
205193,1
13830,1
199524,1
39737,1
33956,1
39790,1
52011,1
9070,1
31440,1
41000,1
200514,1
213737,1
208488,1
213980,1
39239,1
207540,1
21581,1
44880,1
31727,1
42656,1
53755,1
35779,1
62160,1
393299,1
32494,1
201106,1
14117,1
49665,1
13030,1
1273,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
37251,1
329356,1
132602,1
9730,1
208096,1
53332,1
43091,1
8751,1
203444,1
205373,1
60230,1
215161,1
5761,1
26347,1
30083,1
40994,1
44932,1
200651,1
51304,1
147168,1
65115,1
41537,1
198884,1
31577,1
393689,1
45090,1
30109,1
207640,1
34282,1
12859,1
34655,1
204039,1
59524,1
211768,1
47524,1
42680,1
214390,1
56837,1
198627,1
46475,1
200356,1
61272,1
39787,1
199375,1
211809,1
19225,1
210711,1
395162,1
24611,1
206548,1
12640,1
44386,1
32903,1
51008,1
215402,1
134963,1
6724,1
