asn,nb_hostnames
395747,3820
21664,1324
213120,707
394507,541
394192,309
8075,229
16276,199
62567,182
19551,145
204915,145
23352,141
215859,87
26496,86
46606,82
14754,75
39572,60
139144,60
8560,47
22612,45
14441,39
204800,37
31936,36
2635,36
26617,34
23243,34
211612,34
53824,34
40021,31
263761,30
30148,28
273041,26
48254,25
3457,24
269923,23
10480,23
5545,23
14555,23
63293,23
23470,21
133795,21
14853,21
26347,20
60781,20
26666,20
214455,19
401200,19
12178,18
52286,18
7979,18
54641,18
141995,17
205193,16
36420,16
40699,16
264764,16
263781,14
400754,14
59692,14
14907,13
55293,13
53667,13
39020,13
40824,13
13601,12
52468,12
400175,12
213232,12
22720,12
63410,11
37963,11
200019,10
27589,10
38369,9
31577,9
28087,9
52148,9
57724,9
200325,8
139341,8
20299,8
262191,8
33182,8
42612,8
58521,8
27933,8
58061,7
400275,7
215300,7
33837,6
397849,6
263763,6
206264,6
10439,6
54994,6
18747,6
199524,6
49287,6
10753,5
150078,5
36080,5
25354,5
202425,5
19648,5
263218,5
44907,5
64437,5
42532,5
17668,5
18881,5
6698,5
7203,4
45090,4
12322,4
328832,4
6939,4
42567,4
19373,4
203178,4
56958,4
30083,4
23576,4
27910,4
13442,4
61976,4
53755,4
29066,4
46844,4
5761,4
30455,4
395458,4
24600,4
6185,4
9764,4
200521,3
3844,3
28398,3
12956,3
263945,3
8195,3
6057,3
62768,3
17025,3
132337,3
19653,3
6762,3
328137,3
41722,3
28320,3
6496,3
37662,3
15605,3
19422,3
56696,3
1916,3
50482,3
62068,3
197712,3
34119,3
29169,3
3387,3
24961,3
30961,3
36066,3
36776,3
207970,3
264637,3
27823,3
205796,3
56898,3
16371,3
399566,3
211922,3
30058,3
27223,3
216154,3
214124,3
60526,3
40476,3
49635,3
13238,3
49714,3
5381,3
10929,3
200960,3
9094,3
46475,2
3352,2
60550,2
64231,2
393299,2
32494,2
201106,2
14117,2
49665,2
13030,2
1273,2
61049,2
61573,2
8231,2
48571,2
8529,2
64126,2
1000,2
131073,2
18377,2
262427,2
37251,2
327788,2
132602,2
9730,2
50980,2
18945,2
63760,2
32338,2
24572,2
44128,2
399250,2
27716,2
24971,2
216014,2
25970,2
137409,2
24482,2
23520,2
139057,2
33191,2
22560,2
199968,2
278,2
8069,2
262207,2
53303,2
5377,2
31586,2
200320,2
9009,2
215845,2
30340,2
4258,2
200449,2
14340,2
48040,2
270155,2
263714,2
215322,2
397423,2
27651,2
13440,2
58182,2
138341,2
42220,2
23522,2
27263,2
14576,2
27647,2
267739,2
33157,2
215740,2
30109,2
24611,2
12640,2
207809,2
201744,2
7941,2
264713,2
393874,2
63018,2
18450,2
52335,2
771,2
204450,2
26978,2
42240,2
398256,2
20033,2
13348,2
47846,1
55593,1
36356,1
214308,1
13506,1
51468,1
9353,1
33512,1
29014,1
14466,1
33664,1
203976,1
23816,1
265652,1
203417,1
42160,1
11432,1
40651,1
41976,1
21581,1
29182,1
394303,1
34222,1
63240,1
45352,1
136373,1
6327,1
52320,1
17984,1
8919,1
396390,1
61568,1
52167,1
45517,1
20764,1
2027,1
13786,1
51530,1
196753,1
64475,1
207841,1
270014,1
136620,1
48641,1
35360,1
8708,1
7589,1
15958,1
2614,1
14016,1
35600,1
38726,1
1031,1
29049,1
36678,1
35598,1
264409,1
52025,1
50628,1
14537,1
205920,1
15802,1
7859,1
18905,1
23383,1
59253,1
40065,1
3816,1
52438,1
39134,1
200514,1
198032,1
4694,1
27264,1
4150,1
30600,1
39686,1
200107,1
395226,1
212332,1
53930,1
55081,1
6724,1
60362,1
60527,1
3782,1
48729,1
26752,1
57542,1
202054,1
267828,1
8473,1
39825,1
200386,1
17055,1
55569,1
25697,1
51025,1
20849,1
6656,1
23876,1
52488,1
29757,1
30246,1
22185,1
33322,1
196713,1
20068,1
43641,1
44239,1
19969,1
132111,1
11807,1
8739,1
27828,1
3790,1
56872,1
60922,1
211864,1
262168,1
200651,1
400513,1
28526,1
18310,1
267797,1
44998,1
200532,1
62243,1
13830,1
58487,1
22445,1
26277,1
51852,1
400724,1
395412,1
11664,1
23421,1
205762,1
65115,1
49352,1
215402,1
63199,1
273584,1
202242,1
54288,1
13324,1
39560,1
46505,1
14821,1
22625,1
42649,1
211522,1
33676,1
33083,1
198610,1
2496,1
2514,1
200195,1
213438,1
131965,1
212096,1
32097,1
206980,1
4149,1
63362,1
28049,1
208488,1
27522,1
12064,1
36850,1
25799,1
208561,1
393689,1
34655,1
2665,1
14000,1
271803,1
45420,1
53107,1
200719,1
14824,1
396356,1
31617,1
200928,1
56341,1
16814,1
26441,1
210630,1
34309,1
42730,1
33387,1
266688,1
9752,1
61098,1
15699,1
152194,1
17216,1
12993,1
152880,1
44477,1
23140,1
269824,1
52489,1
263173,1
42422,1
25234,1
28103,1
9760,1
207728,1
262199,1
63068,1
12678,1
11281,1
35280,1
207569,1
49981,1
202053,1
151373,1
57352,1
54913,1
8065,1
61210,1
22653,1
12357,1
36459,1
212792,1
397273,1
214390,1
11014,1
198066,1
60144,1
9059,1
204770,1
52423,1
3209,1
58212,1
61144,1
3920,1
269840,1
398743,1
204601,1
198792,1
41690,1
53332,1
62563,1
399358,1
35744,1
48763,1
