asn,nb_hostnames
395747,1381
21664,771
213120,728
394192,290
394507,210
8075,71
62567,48
2635,46
39572,45
19551,43
23576,40
54641,34
204915,28
7979,25
31936,25
14853,25
16276,20
7131,19
63293,17
215859,16
9764,16
131965,14
9760,14
24572,14
214455,13
401200,13
53824,13
46606,12
14907,12
23816,12
27647,11
26496,11
211612,11
9246,10
30148,10
133795,10
2497,10
5545,9
3605,8
55293,8
5852,8
200325,8
26347,7
60781,6
9688,6
29992,6
6185,6
40824,6
26666,5
9059,5
15699,5
7684,5
8560,5
12178,5
33837,5
17456,5
59692,4
22414,4
27064,4
3457,4
62659,4
36420,4
14441,4
21787,4
33265,4
22720,4
367,3
9644,3
10389,3
54994,3
9370,3
139341,3
17881,3
5972,3
9605,3
62856,3
8070,3
5761,3
19110,3
6939,3
7941,3
38369,3
44907,3
18310,3
131138,3
27522,3
64437,2
17686,2
30109,2
399566,2
17841,2
137409,2
206264,2
61969,2
62755,2
13442,2
13788,2
6698,2
396176,2
4694,2
4792,2
33157,2
9371,2
132193,2
138341,2
3387,2
32645,2
65099,2
38631,2
6360,2
214124,2
37963,2
4258,2
9952,2
34655,2
398851,2
17252,2
33191,2
400754,2
17289,2
199524,2
11273,2
62082,1
54552,1
13450,1
6181,1
40783,1
30340,1
57724,1
23908,1
19973,1
46475,1
40034,1
398743,1
200019,1
5182,1
58182,1
5982,1
42567,1
401764,1
7506,1
399301,1
45474,1
81,1
35280,1
23522,1
9009,1
36066,1
24482,1
61144,1
17589,1
214390,1
53332,1
22033,1
41690,1
40021,1
32338,1
200195,1
213438,1
55081,1
32888,1
26752,1
19324,1
24971,1
12097,1
48669,1
22625,1
22653,1
3768,1
9607,1
30361,1
25764,1
30246,1
797,1
512,1
23421,1
17604,1
26569,1
14304,1
3920,1
23033,1
36850,1
7203,1
9530,1
55017,1
9858,1
63362,1
7859,1
45894,1
63410,1
22049,1
40428,1
14821,1
22194,1
11281,1
6352,1
18982,1
8361,1
49714,1
13238,1
32726,1
50980,1
397497,1
62243,1
53667,1
665,1
49287,1
7671,1
63199,1
213232,1
58061,1
393689,1
60114,1
14197,1
399358,1
8076,1
13506,1
18945,1
4713,1
2514,1
14113,1
36459,1
6724,1
399740,1
56898,1
15147,1
40532,1
14340,1
46841,1
63444,1
22612,1
393874,1
202425,1
27264,1
4150,1
30600,1
395400,1
1590,1
207970,1
53303,1
216071,1
24611,1
13536,1
