asn,nb_hostnames
395747,731
21664,223
213120,190
394507,135
394192,67
39572,49
8075,38
62567,38
35540,29
214455,28
12833,25
47846,24
31936,22
1897,20
204915,17
63293,17
395458,16
47422,16
8657,15
215859,14
28604,13
1916,13
2635,12
7979,12
24600,12
52580,11
10753,10
49287,9
15201,9
14907,9
17025,9
50482,8
63240,8
52468,8
45352,8
136373,8
6327,8
37662,8
41722,8
52320,8
62768,8
12956,8
17984,8
9015,8
19782,8
328137,8
61568,8
29169,8
200039,8
132045,8
20764,8
137409,8
2027,8
19653,8
13786,8
51530,8
196753,8
24482,8
28320,8
64475,8
6762,8
207841,8
270014,8
44684,8
18881,8
35589,8
23520,8
56696,8
48641,8
35360,8
8708,8
7589,8
17668,8
132337,8
15958,8
2614,8
14016,8
15605,8
28398,8
35600,8
19422,8
38726,8
1031,8
3844,8
29049,8
4134,8
35598,8
264409,8
52025,8
50628,8
14537,8
8195,8
205920,8
328832,8
6496,8
6057,8
263945,8
15802,8
14853,8
14441,7
60781,7
58061,6
24768,6
38369,6
37559,6
30148,5
3457,5
12322,5
44907,5
33876,5
36420,5
62416,5
23352,4
12926,4
39384,4
133795,4
150078,4
199524,4
26496,3
19551,3
139341,3
12178,3
63410,3
8839,3
327769,3
6185,3
266444,3
22612,3
396356,2
200019,2
32780,2
3920,2
12353,2
32338,2
9009,2
44534,2
49714,2
20264,2
62068,2
29003,2
199729,2
60230,2
200532,2
328252,2
54994,2
4258,2
46606,2
202492,2
138341,2
60068,2
50980,2
11807,2
37963,2
58521,2
10480,2
270424,2
27715,2
10954,2
5626,2
140688,1
55569,1
23470,1
5761,1
197664,1
393874,1
54552,1
41690,1
39444,1
22653,1
64437,1
37096,1
54641,1
48669,1
44477,1
203178,1
28753,1
55960,1
7941,1
40824,1
47242,1
57633,1
51433,1
60550,1
22720,1
11281,1
201936,1
30277,1
18450,1
51888,1
271232,1
32903,1
212087,1
39134,1
42848,1
28299,1
57687,1
33182,1
8560,1
2057,1
200325,1
26347,1
8346,1
50474,1
6656,1
59787,1
37153,1
36459,1
34788,1
52130,1
204800,1
24611,1
61323,1
44009,1
34309,1
28629,1
50517,1
50989,1
328147,1
207208,1
15317,1
34222,1
8262,1
55081,1
49941,1
15817,1
53038,1
34655,1
29222,1
55293,1
61098,1
