asn,nb_hostnames
395747,3483
21664,1039
213120,848
394507,450
394192,436
8075,155
204915,115
35540,98
39572,97
62567,95
2635,73
31936,63
7979,60
215859,59
19551,55
46606,53
214455,36
14853,33
26496,31
30148,30
47846,30
40824,30
15317,28
27589,26
23352,23
63293,22
60068,22
38369,21
14441,19
22612,19
60781,17
133795,16
12178,16
54641,15
14907,14
401200,14
15699,13
55293,13
37963,13
8560,12
139341,11
26666,11
200325,11
10480,10
8739,10
58521,10
214124,10
22720,10
59692,9
36066,9
53824,9
10753,9
3457,8
20264,8
36420,8
264694,8
6185,8
6698,8
395458,8
47422,8
54994,7
44907,7
19863,7
200019,6
215300,6
215740,6
4258,6
45090,6
397849,6
58061,6
50989,6
64437,6
52580,6
33265,5
32338,5
29066,5
150078,5
202425,5
328832,5
6496,5
49981,5
137409,5
24482,5
39020,5
13442,5
138341,5
9123,5
42567,5
199524,5
26347,4
400754,4
211922,4
5761,4
141995,4
200449,4
17025,4
50482,4
63240,4
52468,4
45352,4
136373,4
6327,4
37662,4
41722,4
52320,4
62768,4
12956,4
17984,4
9015,4
49287,4
19782,4
328137,4
61568,4
29169,4
200039,4
132045,4
20764,4
2027,4
19653,4
13786,4
51530,4
196753,4
24600,4
28320,4
64475,4
6762,4
207841,4
270014,4
44684,4
18881,4
35589,4
23520,4
56696,4
48641,4
35360,4
8708,4
7589,4
17668,4
132337,4
15958,4
2614,4
14016,4
15605,4
28398,4
35600,4
19422,4
38726,4
1031,4
3844,4
29049,4
4134,4
35598,4
1916,4
264409,4
52025,4
50628,4
14537,4
8195,4
205920,4
6057,4
263945,4
15802,4
50980,4
28753,4
56898,4
52253,4
51852,4
204800,4
36080,3
63410,3
3387,3
7941,3
398256,3
5639,3
40021,3
60144,3
48254,3
62243,3
264713,3
23576,3
8048,3
49612,3
24961,3
27647,3
206264,3
44534,3
49714,3
3920,3
12322,3
27223,3
199218,3
55033,3
38365,3
62979,3
49352,2
54913,2
59467,2
200195,2
14576,2
14113,2
22194,2
10954,2
19225,2
33191,2
36459,2
207728,2
53667,2
51468,2
14555,2
13601,2
50474,2
32097,2
200651,2
38913,2
11139,2
398787,2
399566,2
151373,2
202492,2
63199,2
11807,2
24611,2
44009,2
2516,2
3768,2
15149,2
13830,2
34655,2
2514,2
62068,2
14340,2
150436,2
139144,2
397966,2
34119,2
216154,2
36850,2
198610,2
36352,2
31586,2
7203,2
2665,2
210250,2
23522,2
48729,2
202053,2
9009,2
31727,2
14824,2
34920,2
18905,2
53850,2
26978,2
771,2
213232,2
48040,2
264645,2
4872,1
40699,1
14813,1
26277,1
46844,1
133050,1
7678,1
6724,1
31782,1
52438,1
11041,1
14315,1
27715,1
398017,1
18747,1
49025,1
202368,1
30361,1
200532,1
34222,1
199414,1
52148,1
13506,1
216071,1
61144,1
9430,1
213737,1
213692,1
201706,1
22075,1
33676,1
10578,1
26752,1
197216,1
57030,1
18229,1
205373,1
44239,1
205275,1
55081,1
205193,1
18945,1
26996,1
9752,1
30456,1
43641,1
398743,1
52000,1
132856,1
27665,1
9371,1
786,1
46864,1
63173,1
27264,1
4150,1
30600,1
35744,1
205796,1
213438,1
196752,1
44066,1
21221,1
12859,1
18621,1
61306,1
30109,1
152880,1
205585,1
58212,1
63444,1
28067,1
24282,1
702,1
395412,1
53861,1
60527,1
28917,1
200000,1
27522,1
204601,1
214685,1
35916,1
62082,1
28604,1
30340,1
7393,1
207970,1
137718,1
4835,1
54552,1
399358,1
53332,1
8312,1
27862,1
62744,1
198792,1
12678,1
25697,1
44160,1
28838,1
20522,1
40651,1
59939,1
42422,1
6427,1
37153,1
394230,1
397273,1
6700,1
6192,1
398402,1
33664,1
215730,1
399250,1
8920,1
200928,1
56341,1
203639,1
62856,1
396356,1
23470,1
214390,1
14745,1
138650,1
11584,1
394625,1
401764,1
27889,1
45894,1
197540,1
328174,1
30689,1
44477,1
53755,1
215402,1
40539,1
7506,1
32632,1
55569,1
56872,1
141518,1
46562,1
32780,1
393689,1
12641,1
207328,1
397569,1
46981,1
13984,1
61976,1
14415,1
46475,1
11556,1
394303,1
132224,1
8987,1
4694,1
210848,1
393874,1
11773,1
39686,1
20,1
23033,1
11878,1
63362,1
22653,1
49635,1
8361,1
396176,1
7859,1
207660,1
60114,1
16839,1
11281,1
200521,1
19110,1
139057,1
142592,1
41000,1
48669,1
51433,1
212792,1
208561,1
45644,1
55470,1
30083,1
200044,1
400797,1
131965,1
41690,1
4837,1
203976,1
24971,1
395532,1
210976,1
