asn,nb_hostnames
395747,3608
21664,1167
213120,768
37963,415
394507,332
45090,318
394192,218
38369,185
139341,165
8075,149
201106,93
4837,75
140290,75
54994,70
16276,68
40065,68
4515,66
133849,63
36678,62
9732,59
4835,54
38019,51
394432,50
19551,49
63521,47
135054,46
13442,45
58441,44
24600,41
62567,38
131138,38
9505,37
139144,37
4808,34
140688,33
39572,31
63139,30
134963,30
133905,29
8739,28
9440,28
14853,27
4528,26
14907,25
150436,25
396986,25
395458,25
204450,24
23724,23
906,22
7650,22
215859,21
35908,21
214455,20
31936,20
4641,20
23881,18
132363,18
6496,17
25820,17
2635,17
63293,17
4538,16
8796,16
59692,16
5545,15
37936,15
4760,15
131659,15
136959,15
137409,14
53667,14
36420,14
17668,14
26496,14
204915,13
17025,13
50482,13
37662,13
41722,13
10753,13
62768,13
12956,13
328137,13
52167,13
19653,13
24482,13
28320,13
6762,13
18881,13
56696,13
132337,13
15605,13
28398,13
19422,13
3844,13
1916,13
8195,13
328832,13
6057,13
263945,13
47384,13
23576,13
63199,13
7979,13
24572,13
49287,13
3204,13
63240,12
52468,12
45352,12
136373,12
6327,12
52320,12
17984,12
8919,12
396390,12
61568,12
29169,12
45517,12
20764,12
2027,12
13786,12
51530,12
196753,12
64475,12
207841,12
270014,12
136620,12
5381,12
23520,12
48641,12
35360,12
8708,12
7589,12
15958,12
2614,12
14016,12
35600,12
38726,12
1031,12
29049,12
35598,12
264409,12
52025,12
50628,12
14537,12
205920,12
15802,12
3363,12
38277,12
4616,12
23816,12
132056,11
4694,11
60781,11
58540,11
3457,10
35280,10
10099,10
211612,10
134542,10
9764,10
45474,9
133795,9
2497,9
63838,8
133777,8
8069,8
18182,8
7684,8
200019,8
9729,8
24161,7
137718,7
32780,7
9293,7
135377,7
138341,7
139057,7
152194,7
136190,7
33837,7
7203,7
137539,7
4847,6
63210,6
9370,6
58466,6
24396,6
44907,6
6939,6
137697,6
23820,6
42532,6
23875,6
35916,6
30148,6
17506,6
26666,6
6185,6
6698,6
40824,6
32097,5
136800,5
45753,5
13238,5
49714,5
202425,5
57724,5
9906,5
400619,5
18978,5
37944,5
38731,5
10032,5
9688,5
46606,5
9584,5
64437,5
131965,5
138415,5
38631,5
7506,5
58461,5
53850,5
133775,5
10232,5
33157,5
55960,5
131188,4
9924,4
63837,4
58563,4
401696,4
210110,4
10098,4
17764,4
55334,4
63993,4
45898,4
135905,4
200325,4
33387,4
18310,4
9826,4
134768,4
38283,4
4605,4
5761,4
30058,4
1659,4
9371,4
17794,4
134760,4
49304,4
36352,4
151616,4
197540,4
141995,4
140224,4
45576,3
7617,3
38042,3
7532,3
4780,3
132252,3
17622,3
59025,3
136191,3
151373,3
41608,3
9760,3
213232,3
35112,3
139659,3
17630,3
134774,3
55992,3
207809,3
63835,3
963,3
146817,3
62243,3
40021,3
132499,3
27589,3
397273,3
54801,3
786,3
131660,3
134238,3
46844,3
24449,3
9444,3
134762,3
59371,3
58541,3
133776,3
199524,3
133861,3
199218,3
134176,3
205184,3
55576,2
58061,2
401200,2
36080,2
206888,2
134481,2
131073,2
399358,2
24357,2
44386,2
63902,2
201670,2
328543,2
4713,2
61210,2
399566,2
131603,2
400275,2
149625,2
24349,2
134379,2
134770,2
207970,2
137798,2
131657,2
58791,2
152712,2
12640,2
59019,2
398256,2
5377,2
42567,2
31586,2
136188,2
393689,2
54467,2
134771,2
131106,2
46475,2
62563,2
7941,2
45894,2
149656,2
132193,2
211316,2
49981,2
134773,2
17841,2
17511,2
36459,2
206264,2
33191,2
133752,2
55639,2
63905,2
54641,2
58593,2
59796,2
34309,2
10480,2
138997,2
56059,2
20068,2
209554,2
40850,2
23338,2
134766,2
201512,2
58539,2
24282,2
59467,2
7514,2
152128,2
9802,2
12678,1
23784,1
134365,1
40738,1
7393,1
55720,1
136891,1
137699,1
62325,1
29680,1
205762,1
52130,1
137887,1
206848,1
11878,1
204601,1
60550,1
63629,1
7715,1
211922,1
137872,1
7538,1
55106,1
57088,1
137280,1
134370,1
9952,1
33121,1
50313,1
204039,1
131623,1
393874,1
133926,1
42656,1
54913,1
215300,1
55593,1
150149,1
139138,1
14441,1
12322,1
131224,1
2832,1
24364,1
59073,1
41231,1
138647,1
7859,1
10389,1
205373,1
133201,1
56771,1
23620,1
62517,1
29014,1
400653,1
139293,1
211392,1
23470,1
211413,1
29066,1
58519,1
63362,1
137918,1
24284,1
50980,1
215740,1
63228,1
201773,1
55532,1
205193,1
32338,1
7544,1
26042,1
207640,1
14627,1
152644,1
208488,1
6352,1
22194,1
9986,1
139180,1
147060,1
137687,1
59078,1
63410,1
142036,1
48326,1
22560,1
46010,1
61221,1
24367,1
37907,1
202917,1
36642,1
577,1
55750,1
201012,1
17428,1
63473,1
59524,1
62838,1
18403,1
135391,1
142052,1
56190,1
17623,1
44932,1
395162,1
131516,1
680,1
41107,1
46597,1
4642,1
200928,1
56341,1
16556,1
4658,1
14824,1
138152,1
397849,1
200195,1
213438,1
26752,1
45370,1
3387,1
27223,1
216047,1
393299,1
32494,1
14117,1
49665,1
13030,1
1273,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
18377,1
262427,1
37251,1
327788,1
132602,1
9730,1
210644,1
23910,1
51008,1
63700,1
62068,1
131616,1
11281,1
61144,1
138627,1
55858,1
63655,1
38475,1
4158,1
400464,1
47002,1
131921,1
8001,1
63614,1
7671,1
206924,1
140766,1
9597,1
46,1
205585,1
3129,1
9513,1
46440,1
24109,1
54288,1
131723,1
42106,1
36516,1
24961,1
27647,1
205960,1
54914,1
399804,1
152711,1
215402,1
213737,1
63572,1
2514,1
51852,1
17775,1
40244,1
24355,1
3768,1
24462,1
41690,1
16034,1
24611,1
212792,1
23522,1
24971,1
200651,1
137693,1
136194,1
132153,1
137698,1
131325,1
3778,1
9159,1
21581,1
45974,1
8560,1
39020,1
53824,1
198032,1
137933,1
214390,1
4792,1
201744,1
58543,1
17686,1
40430,1
23421,1
11106,1
3361,1
203444,1
33676,1
206300,1
7524,1
47846,1
63444,1
20799,1
201755,1
58879,1
150706,1
152450,1
44696,1
17554,1
200449,1
133774,1
151487,1
53587,1
131495,1
33083,1
4290010055,1
9735,1
30083,1
