asn,nb_hostnames
395747,3963
21664,1408
213120,795
394507,480
394192,414
8075,212
16276,187
23352,145
62567,128
204915,122
19551,107
46606,81
215859,80
39572,75
26496,71
22612,60
263794,51
14754,48
2635,45
31936,43
23383,40
211612,40
14441,31
8560,31
5545,29
63293,29
60781,28
214455,27
37963,26
14853,25
30148,24
7979,22
36420,21
3457,21
10480,19
133795,19
27696,19
53824,19
267739,18
205193,17
48254,17
59692,16
204800,16
40824,16
54641,16
401200,15
14907,14
40021,14
39020,13
27932,13
26666,13
200019,12
400754,12
12178,12
139144,12
397849,12
400275,12
38369,12
53667,11
139341,11
17668,11
141995,10
27589,10
55293,10
6496,10
200325,9
263234,9
23470,9
54994,9
28084,9
10753,9
49981,8
58061,8
273189,8
57724,8
58521,8
31577,8
6939,8
6698,8
42612,7
214124,7
52468,7
328832,7
26347,7
8195,7
206264,7
215300,7
200521,7
45090,7
395458,7
24600,7
22720,7
61976,6
398787,6
3352,6
19648,6
63410,6
262234,6
150078,6
44907,6
263725,6
36080,6
3844,6
28398,6
18881,6
12956,6
263945,6
6057,6
62768,6
17025,6
132337,6
19653,6
6762,6
328137,6
41722,6
28320,6
37662,6
15605,6
19422,6
56696,6
1916,6
50482,6
13442,6
64437,6
33837,6
7203,6
42532,6
30961,5
393299,5
32494,5
201106,5
14117,5
49665,5
13030,5
1273,5
61049,5
61573,5
8231,5
48571,5
8529,5
64126,5
1000,5
131073,5
18377,5
262427,5
37251,5
327788,5
132602,5
9730,5
46844,5
202425,5
5761,5
197712,5
213232,5
27716,5
30340,4
205796,4
19373,4
12322,4
200960,4
264773,4
29066,4
16371,4
24961,4
53303,4
28088,4
62068,4
25354,4
199524,4
49287,4
6185,4
771,4
4258,3
46864,3
56958,3
139057,3
42567,3
33157,3
215740,3
62243,3
27223,3
30083,3
56898,3
216154,3
33182,3
49635,3
265820,3
23576,3
26978,3
30109,3
207809,3
7941,3
14576,3
262185,3
13238,3
49714,3
9094,3
11807,2
3387,2
399566,2
46475,2
207970,2
18747,2
200508,2
201744,2
1251,2
7859,2
53107,2
53755,2
137409,2
9760,2
200651,2
278,2
264661,2
272991,2
138650,2
203976,2
34222,2
54913,2
29169,2
212027,2
6724,2
52148,2
200449,2
60144,2
9123,2
22653,2
211922,2
399250,2
398256,2
27647,2
14555,2
14824,2
262146,2
30058,2
25970,2
27823,2
7393,2
203178,2
14315,2
207208,2
32338,2
151373,2
204601,2
44128,2
271803,2
200320,2
35280,2
215845,2
31586,2
199968,2
52286,2
33191,2
24611,2
24482,2
27263,2
270155,2
24971,2
28753,2
393874,2
264713,2
23243,2
50980,2
263714,2
60550,2
23520,2
33676,2
9764,2
10929,2
199218,2
36352,2
20033,2
13348,2
42240,2
204450,2
797,1
262168,1
208176,1
22414,1
206102,1
33512,1
9505,1
57542,1
52423,1
208488,1
12824,1
400513,1
47242,1
52489,1
263173,1
14000,1
48040,1
23033,1
23816,1
24572,1
400940,1
59711,1
26441,1
39560,1
32097,1
36850,1
36057,1
6147,1
53976,1
34309,1
62856,1
53264,1
12064,1
43641,1
142592,1
63068,1
14472,1
4129,1
10778,1
13601,1
26617,1
205544,1
18779,1
4149,1
30361,1
51852,1
200000,1
52422,1
33265,1
13767,1
394303,1
15130,1
400175,1
36818,1
53850,1
48729,1
28008,1
63467,1
22560,1
131965,1
140688,1
53038,1
264847,1
55569,1
3768,1
265839,1
60527,1
39686,1
60362,1
27651,1
34119,1
35699,1
205762,1
65115,1
58487,1
208769,1
9524,1
28299,1
59253,1
264819,1
41231,1
269925,1
263783,1
17079,1
40651,1
206980,1
203417,1
51894,1
44160,1
8048,1
14340,1
210250,1
15699,1
200107,1
198934,1
13360,1
56803,1
198032,1
202368,1
23140,1
200784,1
31424,1
43962,1
267797,1
41976,1
44386,1
3816,1
39936,1
29757,1
8361,1
395412,1
53673,1
22169,1
212332,1
198993,1
45420,1
40699,1
30880,1
265652,1
47846,1
44998,1
53332,1
27552,1
30246,1
61098,1
54290,1
11106,1
3361,1
58212,1
200195,1
213438,1
41690,1
35744,1
2665,1
23421,1
9059,1
9009,1
12357,1
215402,1
61144,1
25697,1
52438,1
32824,1
212096,1
207728,1
51468,1
23522,1
201706,1
27184,1
42585,1
42730,1
32866,1
152880,1
18945,1
63362,1
51433,1
273584,1
12993,1
26277,1
214390,1
42422,1
210630,1
60922,1
198610,1
12640,1
28526,1
36459,1
19969,1
11281,1
61210,1
29222,1
396356,1
44477,1
8473,1
39825,1
53861,1
57352,1
200928,1
56341,1
399358,1
207569,1
63760,1
12678,1
214677,1
26752,1
395226,1
48763,1
52488,1
27264,1
4150,1
30600,1
37936,1
21581,1
48221,1
22445,1
39134,1
3920,1
14197,1
11432,1
55081,1
28103,1
49127,1
397273,1
57088,1
133104,1
212792,1
263761,1
4566,1
63993,1
212363,1
42220,1
2514,1
58182,1
397497,1
262191,1
202242,1
8069,1
14415,1
393689,1
398743,1
50474,1
198792,1
397423,1
40238,1
13324,1
57,1
63240,1
45352,1
136373,1
6327,1
52320,1
17984,1
8919,1
396390,1
61568,1
52167,1
45517,1
20764,1
2027,1
13786,1
51530,1
196753,1
64475,1
207841,1
270014,1
136620,1
5381,1
48641,1
35360,1
8708,1
7589,1
15958,1
2614,1
14016,1
35600,1
38726,1
1031,1
29049,1
36678,1
35598,1
264409,1
52025,1
50628,1
14537,1
205920,1
15802,1
36066,1
48324,1
3790,1
200514,1
56872,1
271971,1
