asn,nb_hostnames
395747,3254
215859,865
21664,652
213120,605
12417,558
394507,280
394192,231
201563,165
2108,157
35540,151
60009,151
200440,148
35648,143
62567,121
41336,118
8075,113
39572,68
34594,61
31012,55
60114,48
141995,45
12322,41
204915,35
14907,35
51025,35
48894,35
60781,33
31936,30
198785,29
43128,27
15317,27
39392,26
19551,26
60068,26
41828,26
40824,26
133795,25
55293,24
8560,22
2635,22
24971,22
59692,21
51577,21
214455,21
200698,20
25277,19
51859,19
200325,19
31080,18
43037,17
214308,17
63293,17
206575,16
49981,16
57788,16
8400,16
26496,16
34788,15
6794,15
51013,14
42681,14
5403,14
198627,14
52130,14
8288,13
56682,12
58061,12
216416,12
20546,12
14853,12
15685,11
29066,11
199401,11
206566,11
197540,11
42656,11
29085,10
208764,10
204800,10
200514,9
20522,9
60047,9
8535,9
34779,9
196622,9
34362,9
47948,8
39210,8
202115,8
200386,8
3457,8
20523,7
49612,7
64437,7
27589,7
197664,7
9009,7
2107,6
22612,6
42371,6
30961,6
202242,6
203463,6
197248,6
50989,6
202425,6
213306,6
6698,6
25467,6
2780,6
48314,6
7979,6
47381,6
43927,5
26666,5
6496,5
58046,5
206808,5
36420,5
207517,5
52030,5
26347,5
52152,5
63410,5
14441,5
28682,5
53667,5
24961,5
29405,5
215740,5
47447,5
48256,5
44880,5
12178,5
50815,4
30818,4
214744,4
43614,4
35779,4
59866,4
29015,4
49714,4
44534,4
204601,4
57344,4
205762,4
207970,4
28834,4
34222,4
207604,4
199524,4
48164,4
39387,4
44696,4
215300,4
10480,4
38952,4
46606,4
32338,4
48689,4
7203,4
206344,4
212531,4
57854,4
17668,4
44306,3
42848,3
39566,3
211922,3
41121,3
209174,3
12488,3
204163,3
28838,3
44477,3
41722,3
6427,3
57352,3
200449,3
49025,3
35128,3
49818,3
25393,3
50537,3
31577,3
30905,3
207746,3
200019,3
47917,3
3209,3
21323,3
61065,3
51852,3
47195,3
43953,3
12678,3
30841,3
207697,3
47544,3
59786,3
44066,3
12437,3
59524,3
206264,3
202632,3
44907,3
204949,3
197642,3
57499,3
39896,3
213980,3
201200,3
15554,3
24600,3
205316,2
60435,2
34309,2
51989,2
35744,2
25234,2
14576,2
210250,2
65115,2
211187,2
398256,2
8839,2
56341,2
8856,2
207255,2
41075,2
8708,2
6764,2
200651,2
44460,2
64999,2
32632,2
212548,2
393299,2
32494,2
3844,2
201106,2
14117,2
49665,2
13030,2
28398,2
1273,2
61049,2
61573,2
18881,2
12956,2
8231,2
48571,2
263945,2
8529,2
64126,2
328832,2
8195,2
10753,2
6057,2
62768,2
17025,2
395458,2
132337,2
19653,2
1000,2
6762,2
131073,2
328137,2
28320,2
18377,2
37662,2
262427,2
37251,2
15605,2
19422,2
56696,2
329356,2
1916,2
132602,2
50482,2
9730,2
6656,2
42567,2
5761,2
200195,2
30148,2
62243,2
19969,2
211133,2
211864,2
60368,2
15149,2
210579,2
196645,2
39790,2
57554,2
20875,2
33157,2
399566,2
207325,2
50825,2
24676,2
7941,2
39416,2
201744,2
49494,2
56452,2
56635,2
9146,2
213737,2
62068,2
34772,2
8692,2
59448,2
6724,2
61098,2
1764,2
7859,2
43948,2
12640,2
16163,2
29686,2
203417,2
207728,2
35280,2
43394,2
196818,2
20616,2
59467,2
9001,2
24898,2
24641,2
64427,2
38955,2
62120,2
15456,2
51586,2
12306,2
59905,2
35416,2
56898,2
23576,2
24690,2
208057,2
48040,2
54641,2
34342,2
202521,2
45090,2
44386,1
393689,1
214390,1
21581,1
39020,1
62083,1
215206,1
196724,1
35785,1
2852,1
204984,1
53824,1
43359,1
208128,1
41233,1
50840,1
200928,1
39478,1
204039,1
23522,1
42432,1
393874,1
42593,1
36850,1
29222,1
203444,1
205948,1
197019,1
209847,1
48797,1
41824,1
15512,1
15393,1
21360,1
31083,1
198203,1
30880,1
34275,1
208488,1
49604,1
213438,1
209394,1
60762,1
8585,1
57868,1
44453,1
47777,1
213115,1
43351,1
36352,1
206997,1
42532,1
50198,1
29389,1
213205,1
49127,1
202492,1
210379,1
50410,1
3223,1
48326,1
51605,1
41182,1
62297,1
43612,1
205453,1
44260,1
29166,1
398787,1
62035,1
198524,1
25365,1
205373,1
60592,1
33918,1
41543,1
215402,1
49659,1
