asn,nb_hostnames
395747,3847
21664,1235
213120,831
394192,504
394507,439
16276,399
204915,201
8075,134
62567,130
215859,87
39572,73
12322,72
50474,62
46606,57
2635,53
8560,52
47846,52
19551,49
31936,44
22612,41
26496,36
214455,34
37963,33
2057,32
60781,29
29222,29
63293,29
14853,25
30148,23
14441,22
210403,22
54641,22
7979,21
53824,21
376,20
14907,20
133795,19
24600,19
58521,18
38369,18
5545,18
3457,18
211612,18
8839,17
40824,17
53589,16
52260,14
401200,13
49981,13
12178,13
204800,13
26347,12
139341,12
49287,12
29169,12
44907,11
36420,11
10753,11
36786,10
55293,10
25117,10
6496,10
27653,10
395458,10
204450,10
2665,9
57633,9
200325,9
200019,9
48254,9
58061,8
34993,8
27589,7
6185,7
8228,7
14555,7
26666,7
60362,7
54994,7
210770,7
8304,7
59692,7
45090,7
397273,7
150078,7
328832,7
40699,6
10881,6
33837,6
23352,6
9123,6
17025,6
2611,6
202492,6
137409,6
24482,6
1916,6
5381,6
6698,6
151373,5
200449,5
202242,5
28753,5
41653,5
21409,5
62068,5
31586,5
5761,5
29691,5
64437,5
36066,5
215300,5
40021,5
36666,5
50482,5
63240,5
52468,5
45352,5
136373,5
6327,5
37662,5
41722,5
52320,5
62768,5
12956,5
17984,5
8919,5
396390,5
328137,5
61568,5
52167,5
45517,5
20764,5
2027,5
19653,5
13786,5
51530,5
196753,5
28320,5
64475,5
6762,5
207841,5
270014,5
136620,5
18881,5
23520,5
56696,5
48641,5
35360,5
8708,5
7589,5
17668,5
132337,5
15958,5
2614,5
14016,5
15605,5
28398,5
35600,5
19422,5
38726,5
1031,5
3844,5
29049,5
36678,5
35598,5
264409,5
52025,5
50628,5
14537,5
8195,5
205920,5
6057,5
263945,5
15802,5
399566,5
199524,5
13571,5
213232,5
10954,4
611,4
56898,4
3920,4
30961,4
202425,4
60144,4
205585,4
32097,4
46844,4
63410,4
13442,4
35744,4
141995,4
19648,4
199777,4
15817,4
138341,4
50446,4
55470,4
34863,4
201896,4
199218,4
199636,3
55960,3
29066,3
400754,3
53667,3
10480,3
13238,3
49714,3
48744,3
46864,3
15146,3
61098,3
51468,3
60855,3
6656,3
24961,3
46475,3
44160,3
22878,3
23576,3
36057,3
32338,3
200356,3
7941,3
139057,3
45666,3
397849,3
4258,3
6738,3
12640,3
696,3
39241,3
51888,3
50980,3
198610,3
22720,3
7203,3
16972,2
14315,2
60550,2
42845,2
34655,2
15699,2
15967,2
27223,2
216154,2
24611,2
8014,2
207208,2
28178,2
6724,2
37219,2
34920,2
209349,2
14472,2
44312,2
26277,2
13830,2
139144,2
206264,2
35280,2
27759,2
14745,2
51970,2
23522,2
49635,2
133719,2
59467,2
211922,2
202321,2
33157,2
43962,2
62243,2
23299,2
29182,2
42567,2
37153,2
197696,2
205762,2
57809,2
397423,2
205072,2
3387,2
48729,2
18905,2
33191,2
36459,2
61976,2
214124,2
201085,2
140688,2
265839,2
12565,2
215845,2
199167,2
204846,2
150436,2
4200000021,2
36080,2
14466,2
6939,2
15456,2
394277,2
11807,2
204601,2
28977,2
9009,2
43311,2
213394,2
2675,2
28513,2
210848,2
34788,2
34432,2
51806,1
43641,1
59253,1
14824,1
9752,1
3,1
41528,1
208128,1
26752,1
20580,1
210341,1
34222,1
239,1
42422,1
2514,1
214390,1
8481,1
196810,1
63760,1
35344,1
44297,1
152880,1
142592,1
133050,1
61251,1
11915,1
203417,1
13041,1
4769,1
197712,1
138627,1
201936,1
30689,1
57687,1
61969,1
7859,1
209042,1
9059,1
12678,1
22653,1
57344,1
200107,1
4608,1
395048,1
36818,1
680,1
59939,1
54913,1
3209,1
15318,1
24971,1
51852,1
51091,1
400797,1
61168,1
209853,1
55569,1
13371,1
200532,1
202368,1
208813,1
27264,1
4150,1
30600,1
22169,1
53264,1
39134,1
19853,1
51430,1
37385,1
196763,1
8921,1
12779,1
33387,1
36352,1
203412,1
23470,1
264648,1
198993,1
55017,1
44112,1
13193,1
25540,1
20529,1
62744,1
56798,1
54606,1
55272,1
23393,1
393845,1
200195,1
213438,1
28683,1
65001,1
14489,1
25826,1
51038,1
39444,1
34309,1
44009,1
21449,1
34235,1
394230,1
1764,1
48426,1
212815,1
12993,1
135905,1
17363,1
40009,1
30361,1
29264,1
25697,1
200960,1
16784,1
55688,1
12843,1
39560,1
15489,1
2609,1
65060,1
20068,1
133409,1
18779,1
40539,1
11106,1
29110,1
328853,1
39599,1
41410,1
20847,1
43142,1
200514,1
61144,1
10578,1
11242,1
30798,1
33083,1
395839,1
48040,1
19969,1
7765,1
40994,1
577,1
36850,1
207970,1
57724,1
18945,1
39781,1
39896,1
62563,1
14113,1
40509,1
27647,1
53237,1
27500,1
15966,1
46440,1
17147,1
212490,1
398043,1
138415,1
205193,1
199758,1
1048,1
33602,1
205215,1
44477,1
19377,1
30983,1
55992,1
329523,1
11280,1
39072,1
58112,1
32780,1
49835,1
58487,1
202053,1
22414,1
45420,1
13273,1
216071,1
34119,1
29104,1
208353,1
399250,1
204544,1
213737,1
60922,1
28839,1
20986,1
214744,1
30246,1
208789,1
203639,1
17561,1
60592,1
63362,1
58010,1
31178,1
201706,1
48669,1
210250,1
8739,1
216194,1
8262,1
398017,1
22953,1
61306,1
34619,1
210032,1
26042,1
18229,1
2602,1
198913,1
28810,1
63447,1
47160,1
41231,1
41690,1
55081,1
202669,1
212216,1
5386,1
47195,1
9760,1
12059,1
215322,1
198792,1
6356,1
15826,1
14415,1
393689,1
6848,1
207809,1
43424,1
702,1
32903,1
11806,1
40651,1
48813,1
21633,1
30277,1
395092,1
1152,1
13601,1
57651,1
786,1
55045,1
36891,1
208276,1
54456,1
53303,1
15685,1
8705,1
199867,1
264694,1
33930,1
57168,1
39686,1
59689,1
197648,1
27824,1
53332,1
62856,1
205435,1
11281,1
26441,1
14576,1
59796,1
15138,1
47836,1
400130,1
393874,1
398256,1
205010,1
48083,1
22075,1
56341,1
205461,1
206484,1
212792,1
327712,1
52012,1
149098,1
399358,1
196645,1
