asn,nb_hostnames
395747,2376
214308,1489
21664,699
213120,394
49818,389
202115,336
215859,301
394507,246
20523,225
43359,223
51013,193
47381,189
210579,154
35540,149
394192,144
44460,143
1955,132
8075,127
30904,125
62567,108
197248,102
41075,86
51025,76
28924,71
62449,63
39572,56
198627,50
204530,45
21334,34
204915,32
42964,32
51275,29
141995,28
42864,27
31936,27
24971,26
60071,26
206892,25
15317,25
47169,24
30836,23
14907,22
42371,22
19551,21
2012,21
15685,20
20568,19
12322,18
39392,18
40824,18
63293,17
60781,17
214455,17
24806,17
211595,17
210772,16
59692,16
209061,15
2819,15
20510,14
61998,14
6711,14
210966,13
60068,13
208058,13
60047,12
8448,12
34360,12
206566,11
34222,11
3457,11
49857,10
200325,9
52130,9
2635,9
14853,9
30917,8
133795,8
47625,8
50031,8
8288,8
211864,8
26496,8
197540,8
64437,7
207255,7
8560,7
2547,7
47195,7
29405,7
7979,7
204800,7
59448,6
52148,6
58061,6
202425,6
29085,6
215904,6
20546,6
6427,6
50989,6
27589,6
58153,6
17668,6
30942,5
32338,5
9009,5
15566,5
43928,5
29066,5
199524,5
6496,5
205275,5
205316,5
207970,5
49612,5
53667,5
43037,5
57788,5
213980,5
49981,5
197019,5
36080,4
202242,4
200964,4
202492,4
25234,4
207728,4
45090,4
8692,4
39679,4
44302,4
55293,4
328832,4
6698,4
8462,4
7203,4
12824,4
136264,4
24641,4
28834,4
30818,4
26666,4
15512,4
24600,4
42656,4
49025,3
44534,3
49714,3
204949,3
201450,3
24822,3
200651,3
44907,3
215300,3
393299,3
32494,3
3844,3
201106,3
14117,3
49665,3
13030,3
28398,3
1273,3
61049,3
61573,3
18881,3
12956,3
8231,3
48571,3
263945,3
8529,3
64126,3
8195,3
10753,3
6057,3
62768,3
17025,3
395458,3
132337,3
19653,3
1000,3
6762,3
131073,3
328137,3
41722,3
28320,3
18377,3
37662,3
262427,3
37251,3
15605,3
19422,3
56696,3
329356,3
1916,3
132602,3
50482,3
9730,3
34788,3
203417,3
49494,3
47136,3
51852,3
212229,3
36420,3
20616,3
24961,3
48689,3
24991,3
60955,3
16161,3
202053,3
39210,3
31080,3
44133,3
197886,3
34342,3
12929,3
34432,3
12178,3
34119,2
202062,2
22612,2
42848,2
200449,2
29686,2
197862,2
24690,2
203053,2
5761,2
43860,2
29182,2
60114,2
35280,2
30725,2
206548,2
23576,2
12417,2
34798,2
3219,2
56682,2
199218,2
29657,2
34766,2
47159,2
56771,2
39020,2
207325,2
60230,2
35311,2
15953,2
60368,2
214124,2
57389,2
56898,2
6185,2
48040,2
14441,2
209052,2
12678,2
47477,2
48894,2
44094,2
38952,2
7941,2
200900,2
31586,2
8708,2
14576,2
3330,2
14340,2
204601,2
14824,2
54994,2
59467,2
42160,2
30961,2
197523,2
39790,2
48314,2
198281,2
34275,2
214890,2
197750,2
51008,2
47544,2
211187,2
206264,2
31083,2
199236,2
61065,2
200019,2
62243,2
12589,2
209455,2
41694,2
8257,2
9764,2
201200,2
44672,2
35648,2
33157,1
198913,1
10480,1
211490,1
201936,1
200000,1
212098,1
24909,1
36066,1
42567,1
31590,1
58175,1
49127,1
48896,1
205948,1
42681,1
34563,1
30148,1
205193,1
12437,1
8361,1
30880,1
29624,1
203444,1
52011,1
197889,1
203331,1
56864,1
58010,1
400513,1
215402,1
197112,1
39478,1
25373,1
211071,1
56837,1
213205,1
20847,1
206575,1
7859,1
200844,1
51096,1
61210,1
401200,1
44386,1
209108,1
14744,1
59939,1
56566,1
24611,1
43091,1
20522,1
45420,1
214744,1
21413,1
203178,1
8400,1
198610,1
49659,1
34309,1
39456,1
207006,1
35112,1
44696,1
196724,1
35704,1
207809,1
6784,1
39686,1
208408,1
41690,1
204394,1
201744,1
51577,1
213306,1
210379,1
6656,1
38369,1
53755,1
46844,1
2108,1
52000,1
59524,1
207208,1
35634,1
399647,1
41828,1
200088,1
41303,1
200195,1
213438,1
197431,1
197216,1
212792,1
60550,1
62563,1
205081,1
21288,1
30723,1
42422,1
399566,1
36459,1
51586,1
39737,1
30083,1
197664,1
202302,1
200386,1
196944,1
29222,1
199636,1
21581,1
5403,1
50090,1
14466,1
15554,1
8535,1
50689,1
33191,1
49287,1
46606,1
200356,1
61400,1
8520,1
209001,1
44136,1
15699,1
205373,1
13791,1
56324,1
211922,1
211971,1
200076,1
142594,1
35425,1
28952,1
60619,1
399358,1
13101,1
25393,1
205585,1
53332,1
38913,1
49206,1
11281,1
2780,1
51605,1
63199,1
9022,1
3920,1
35744,1
31440,1
25248,1
8069,1
47447,1
393874,1
215740,1
13830,1
15456,1
44880,1
42532,1
3209,1
48326,1
214390,1
60715,1
27223,1
43351,1
15629,1
40994,1
137409,1
43896,1
44477,1
42179,1
49352,1
35785,1
205762,1
65115,1
26347,1
215366,1
213737,1
34655,1
32097,1
33083,1
29389,1
47577,1
214175,1
9370,1
12954,1
43529,1
28704,1
12642,1
14627,1
25011,1
51920,1
213830,1
49672,1
214279,1
16379,1
207640,1
9145,1
56655,1
41018,1
207560,1
15149,1
213340,1
216014,1
12640,1
25539,1
18310,1
50980,1
24824,1
208443,1
24482,1
134963,1
9025,1
44486,1
213155,1
213643,1
62068,1
215845,1
207697,1
45894,1
213232,1
57352,1
61053,1
41183,1
8856,1
208488,1
29208,1
212531,1
