asn,nb_hostnames
395747,6796
21664,626
394507,269
213120,183
22612,92
394192,80
62567,77
16276,59
39572,55
204915,49
8075,49
37963,49
211612,45
200325,39
7713,38
19551,36
18051,34
38369,31
7979,24
20068,21
59253,19
132634,18
139144,17
131693,17
214455,15
136080,15
63293,15
9341,15
133795,14
215859,13
3457,13
31936,11
55656,11
136098,11
4800,11
59692,10
45732,10
24211,10
134659,10
60781,10
138341,9
54994,9
141995,9
4761,9
64298,8
30148,8
131704,8
139341,8
14853,8
58476,7
151373,7
55688,7
131111,7
133807,7
46034,7
45634,7
133843,6
14907,6
135473,6
49714,6
13238,6
136170,6
17451,6
136052,6
5545,6
2635,5
139456,5
58487,5
63499,5
44907,5
133210,5
135360,5
46059,5
45708,5
6698,5
131709,4
136111,4
63500,4
11878,4
153075,4
38764,4
23693,4
46016,4
33837,4
202053,4
13442,4
45721,4
132644,4
9905,4
18059,4
58521,4
38142,4
45090,4
45705,4
133336,4
40824,4
24520,4
58397,3
38331,3
55674,3
23576,3
46042,3
63866,3
18394,3
35280,3
45293,3
133826,3
24572,3
58061,3
133752,3
136087,3
38755,3
138050,3
64437,3
58381,3
131765,3
32338,3
63510,3
132678,3
398256,3
139057,3
140024,3
202425,2
137409,2
138124,2
3382,2
61976,2
55691,2
58824,2
137289,2
131723,2
140389,2
57724,2
36420,2
46039,2
46049,2
55684,2
136091,2
131754,2
64050,2
140456,2
23816,2
58488,2
132046,2
150959,2
134612,2
138115,2
150510,2
53667,2
63760,2
200019,2
133357,2
58822,2
46025,2
26496,2
46018,2
53755,2
38240,2
7941,2
17553,2
55672,2
24482,2
6496,2
46019,2
204800,2
135453,2
207970,2
136067,2
131781,2
63879,2
397849,2
38765,2
45703,2
57344,2
132676,2
63473,2
58495,2
141892,2
45770,2
7506,2
134633,2
133798,2
9764,2
395458,2
204450,2
394432,2
138853,1
141594,1
33191,1
55658,1
132643,1
18310,1
399358,1
215300,1
24611,1
136085,1
138066,1
23820,1
23949,1
136058,1
59134,1
12926,1
42567,1
29182,1
63872,1
136842,1
42532,1
24523,1
63199,1
202242,1
140431,1
38320,1
138078,1
149393,1
141968,1
141635,1
30880,1
139375,1
14956,1
133825,1
132637,1
9251,1
142160,1
11281,1
137331,1
45420,1
137312,1
56237,1
134963,1
139445,1
38750,1
138131,1
133337,1
24526,1
149735,1
141587,1
142384,1
393689,1
138897,1
55683,1
58400,1
58492,1
133335,1
151592,1
138093,1
8069,1
45302,1
135482,1
45324,1
63505,1
46052,1
137363,1
140386,1
133347,1
133361,1
23352,1
56259,1
141107,1
138805,1
139441,1
38526,1
12678,1
152074,1
62068,1
40728,1
140433,1
141201,1
46055,1
62370,1
138136,1
17025,1
50482,1
63240,1
52468,1
45352,1
136373,1
6327,1
37662,1
41722,1
52320,1
10753,1
62768,1
12956,1
17984,1
8919,1
49287,1
396390,1
328137,1
61568,1
29169,1
52167,1
45517,1
20764,1
2027,1
19653,1
13786,1
51530,1
196753,1
24600,1
28320,1
64475,1
6762,1
207841,1
270014,1
136620,1
18881,1
5381,1
23520,1
56696,1
48641,1
35360,1
8708,1
7589,1
17668,1
132337,1
15958,1
2614,1
14016,1
15605,1
28398,1
35600,1
19422,1
38726,1
1031,1
3844,1
29049,1
36678,1
35598,1
1916,1
264409,1
52025,1
50628,1
14537,1
8195,1
205920,1
328832,1
6057,1
263945,1
15802,1
41690,1
24961,1
59149,1
149669,1
133810,1
55695,1
152016,1
136883,1
215171,1
36459,1
37936,1
139447,1
7203,1
46050,1
133844,1
149342,1
139400,1
150988,1
59467,1
5761,1
45305,1
23945,1
12640,1
142320,1
136869,1
62243,1
139932,1
9009,1
133166,1
38482,1
131106,1
133824,1
24207,1
139442,1
137361,1
206264,1
132200,1
138836,1
55697,1
135451,1
131775,1
133354,1
131703,1
56898,1
136877,1
197540,1
138045,1
393874,1
18377,1
131745,1
141649,1
64316,1
4694,1
134639,1
45697,1
135445,1
136077,1
24213,1
133822,1
200651,1
137287,1
394695,1
141120,1
55654,1
135444,1
135387,1
142367,1
139959,1
152372,1
152645,1
139457,1
152355,1
35179,1
137302,1
8560,1
149176,1
132642,1
137832,1
63513,1
46606,1
150546,1
150492,1
139454,1
134627,1
63859,1
14315,1
41441,1
63362,1
208770,1
131734,1
38606,1
54913,1
149332,1
56239,1
2514,1
139880,1
149662,1
150987,1
61210,1
131724,1
142329,1
9707,1
9505,1
214390,1
54641,1
55532,1
134640,1
59142,1
58404,1
149318,1
136833,1
40021,1
12178,1
200195,1
213438,1
138071,1
58818,1
152075,1
59160,1
55680,1
44477,1
141124,1
141578,1
216014,1
150968,1
141898,1
133840,1
138806,1
211922,1
26666,1
46044,1
47846,1
397273,1
137299,1
58479,1
134629,1
138123,1
138144,1
38760,1
209696,1
153119,1
7678,1
