asn,nb_hostnames
395747,4029
21664,1536
213120,837
394192,463
394507,427
8075,333
16276,150
39122,138
215859,130
62567,84
19551,83
2635,62
24675,59
35425,50
44009,49
30148,48
39572,46
34920,35
8560,30
399566,30
14907,29
14853,29
196745,28
31936,27
204915,26
50837,25
31458,24
59692,22
33157,22
133795,21
401200,21
16032,19
214455,19
31080,19
32903,18
211612,17
205587,16
63293,16
215846,16
5466,16
56682,15
1213,15
200386,15
61323,15
60781,14
57724,14
5545,14
52130,13
8622,13
200325,12
40824,12
34282,11
3457,11
197731,11
12488,11
8535,11
213232,11
47720,11
31641,10
16282,10
22720,10
53824,10
12640,9
27589,9
48254,9
215740,9
200083,8
205967,8
7979,8
207970,8
56410,8
55293,8
202521,8
64437,7
12931,7
36420,7
32780,7
6496,7
58061,7
207728,7
49981,7
33837,7
12178,7
8195,7
61976,7
26496,7
2110,6
202425,6
43037,6
205585,6
397433,6
59776,6
12641,6
12322,6
54641,6
20546,5
51852,5
30818,5
64407,5
26666,5
6698,5
35280,5
51433,5
53667,5
49714,4
13238,4
215322,4
44696,4
205434,4
200449,4
12525,4
27647,4
204601,4
46606,4
30961,4
3223,4
141995,4
36516,4
6758,4
10480,4
49676,4
57788,4
10753,4
42656,4
48760,4
6185,4
395458,4
202368,3
36080,3
26347,3
205654,3
198753,3
8856,3
54994,3
1273,3
41722,3
6939,3
39202,3
44477,3
14441,3
27223,3
34699,3
212531,3
59524,3
7941,3
204800,3
59467,3
5761,3
23421,3
62755,3
8708,3
199524,3
24958,3
62016,3
203461,3
60248,3
137409,3
51677,3
34309,3
51577,3
57775,3
39392,3
34222,3
147168,3
206264,3
200019,3
204648,3
44907,3
398385,3
17668,3
208176,3
29169,3
1897,2
7859,2
44880,2
56898,2
18905,2
4,2
39896,2
31577,2
14824,2
8400,2
3844,2
28398,2
18881,2
12956,2
263945,2
328832,2
6057,2
62768,2
17025,2
132337,2
19653,2
6762,2
328137,2
28320,2
37662,2
24600,2
15605,2
19422,2
56696,2
1916,2
50482,2
21513,2
60945,2
211922,2
51954,2
34931,2
211187,2
47447,2
52148,2
10954,2
196818,2
62243,2
208036,2
786,2
46844,2
215300,2
328174,2
6656,2
212216,2
13280,2
47351,2
215402,2
200195,2
63410,2
51905,2
31708,2
23576,2
62068,2
7393,2
205544,2
31727,2
133096,2
7589,2
63199,2
24482,2
5381,2
14537,2
34369,2
200651,2
62856,2
60602,2
30058,2
201744,2
212792,2
204544,2
33191,2
59939,2
61098,2
204436,2
205696,2
41097,2
8884,2
210756,2
14340,2
51025,2
48729,2
29182,2
39292,2
400797,2
57168,2
199218,2
42848,2
205111,2
60426,2
197540,2
42849,2
49287,2
204450,2
136620,2
9764,2
204770,2
771,2
139144,1
29389,1
400275,1
14744,1
16182,1
206972,1
4694,1
46130,1
12578,1
13450,1
204545,1
19969,1
43896,1
393299,1
32494,1
201106,1
14117,1
49665,1
13030,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
37251,1
327788,1
132602,1
9730,1
209847,1
38952,1
42532,1
43211,1
213980,1
43091,1
56694,1
36352,1
202635,1
53755,1
24611,1
196724,1
61210,1
203444,1
60368,1
13442,1
50993,1
200500,1
46864,1
204039,1
48040,1
398743,1
28673,1
198993,1
21787,1
33083,1
211551,1
198547,1
63444,1
7203,1
9059,1
31083,1
8839,1
50088,1
51430,1
62563,1
214308,1
59441,1
19084,1
132420,1
20799,1
393874,1
210379,1
25180,1
42567,1
213438,1
8304,1
205193,1
44239,1
56958,1
62160,1
48105,1
202053,1
210250,1
133409,1
210728,1
197248,1
30083,1
200320,1
989,1
49535,1
134963,1
15430,1
56864,1
58010,1
41000,1
15685,1
32888,1
398787,1
50979,1
63240,1
52468,1
45352,1
136373,1
6327,1
52320,1
17984,1
8919,1
396390,1
61568,1
52167,1
45517,1
20764,1
2027,1
13786,1
51530,1
196753,1
64475,1
207841,1
270014,1
23520,1
48641,1
35360,1
15958,1
2614,1
14016,1
35600,1
38726,1
1031,1
29049,1
36678,1
35598,1
264409,1
52025,1
50628,1
205920,1
15802,1
205644,1
24971,1
8262,1
9752,1
209230,1
61400,1
21221,1
205865,1
52030,1
35665,1
28604,1
31411,1
21581,1
44901,1
47524,1
64422,1
36057,1
49127,1
32338,1
46475,1
213737,1
36818,1
20522,1
44646,1
133100,1
50300,1
16072,1
202816,1
208128,1
51008,1
131138,1
63362,1
44112,1
207087,1
3352,1
14576,1
33956,1
40699,1
25393,1
40728,1
205275,1
201936,1
214685,1
197651,1
208096,1
8657,1
31270,1
8001,1
8698,1
197816,1
38927,1
47381,1
202997,1
19905,1
44386,1
18229,1
207697,1
215467,1
6717,1
25506,1
395412,1
49494,1
202529,1
207569,1
198849,1
214073,1
132680,1
24226,1
29003,1
9123,1
201201,1
58003,1
44932,1
18310,1
61065,1
41018,1
207560,1
14956,1
398256,1
55175,1
48706,1
196640,1
41690,1
207108,1
44066,1
41973,1
12678,1
19324,1
3920,1
53332,1
21345,1
39241,1
43108,1
202115,1
26277,1
49604,1
36850,1
25577,1
15512,1
201085,1
20616,1
47577,1
202242,1
47777,1
47890,1
133050,1
201289,1
200324,1
11281,1
29405,1
36459,1
209594,1
44644,1
209082,1
212422,1
59796,1
23522,1
42612,1
31586,1
57352,1
203315,1
131283,1
196646,1
44780,1
45894,1
215845,1
39737,1
207809,1
61194,1
54290,1
215206,1
48428,1
20523,1
42371,1
207208,1
35634,1
399647,1
200928,1
56341,1
61144,1
208161,1
205373,1
62428,1
200514,1
31441,1
216071,1
394437,1
13037,1
9371,1
207640,1
39020,1
47948,1
43948,1
211058,1
38369,1
41468,1
203417,1
34989,1
201959,1
34342,1
44297,1
17436,1
202492,1
60114,1
33676,1
62217,1
211316,1
12437,1
15703,1
22194,1
40021,1
208209,1
395162,1
3387,1
201706,1
60257,1
45090,1
3361,1
34918,1
33265,1
47002,1
62416,1
30109,1
393689,1
49352,1
51043,1
203185,1
22612,1
57866,1
48690,1
6724,1
45644,1
399358,1
57629,1
43955,1
205762,1
65115,1
39686,1
214390,1
14127,1
9009,1
6352,1
29644,1
207481,1
