asn,nb_hostnames
395747,4287
21664,1024
213120,496
394507,391
204548,350
19551,238
12400,220
394192,206
209622,192
8203,190
213232,190
215859,154
8075,152
8584,139
62567,124
16276,85
39572,65
61976,56
50463,46
378,43
34309,42
204915,40
8867,36
57724,33
35280,32
14907,29
133795,29
59467,26
30148,26
59692,25
5545,24
49352,23
31936,22
60781,22
2635,21
61102,21
207970,20
207605,20
215107,19
141995,18
49665,18
63293,18
207728,17
58061,17
201415,17
206446,15
6810,15
214455,14
201857,14
25125,13
9123,13
213038,13
60960,13
26496,13
43842,12
49981,12
13238,12
49714,12
29182,12
3457,11
44310,11
210656,11
199391,11
44696,10
14853,10
12322,9
12849,9
198610,9
37963,8
32338,8
6697,8
204601,8
40824,8
210756,7
211329,7
26666,7
8560,7
51852,7
204039,7
30818,6
55293,6
200019,6
202425,6
26347,6
63410,6
7979,6
211612,6
12178,6
39134,5
64437,5
62243,5
211381,5
41923,5
33837,5
199867,5
48040,5
42925,5
6496,5
200325,5
44907,5
50979,4
44477,4
36420,4
207591,4
6698,4
27589,4
31408,4
60330,4
24961,4
42567,4
397849,4
216162,3
206264,3
205865,3
53824,3
52130,3
56596,3
14441,3
43298,3
200449,3
62160,3
50448,3
36066,3
28753,3
3288,3
16061,3
56898,3
42994,3
215300,3
59939,3
46606,3
13284,3
50482,3
198114,3
29066,3
205312,3
204257,3
201706,3
53667,3
50454,3
41722,3
52167,3
6185,3
21450,3
48729,3
56694,3
206980,3
10480,3
212136,3
8839,3
48287,3
200651,2
201512,2
41116,2
51954,2
7715,2
399358,2
46844,2
44060,2
197797,2
137409,2
7616,2
138160,2
14340,2
197553,2
47577,2
36459,2
199989,2
14824,2
202940,2
41346,2
200195,2
62082,2
205696,2
5761,2
60602,2
211642,2
210644,2
61400,2
12619,2
32632,2
62068,2
57352,2
8920,2
44386,2
23576,2
61306,2
211922,2
47890,2
33993,2
38369,2
44880,2
44901,2
24482,2
328832,2
201012,2
33191,2
25532,2
7941,2
139144,2
19969,2
397273,2
205425,2
215840,2
7203,2
54641,2
45090,2
42240,2
204770,2
395458,2
204450,2
61969,1
43641,1
6939,1
201692,1
204800,1
34702,1
15976,1
47111,1
12578,1
8767,1
24572,1
35916,1
11831,1
61098,1
215846,1
42422,1
30968,1
24971,1
59648,1
212792,1
205701,1
44256,1
3387,1
3320,1
52489,1
263173,1
12678,1
21051,1
210079,1
215322,1
40699,1
198425,1
24611,1
42632,1
196763,1
57580,1
52184,1
201744,1
23004,1
34852,1
25003,1
31200,1
22612,1
15685,1
53589,1
48130,1
60144,1
31727,1
208096,1
19225,1
63993,1
8738,1
16501,1
198913,1
215467,1
51008,1
214073,1
148000,1
50517,1
398256,1
44576,1
202223,1
50214,1
23522,1
25237,1
64999,1
201499,1
7859,1
13073,1
60357,1
207362,1
9752,1
197816,1
39274,1
34699,1
46475,1
42849,1
60945,1
12491,1
21350,1
199524,1
42179,1
60922,1
20799,1
59504,1
61144,1
214744,1
205762,1
65115,1
19084,1
33157,1
52148,1
33956,1
8856,1
206243,1
393874,1
53332,1
30475,1
213737,1
13627,1
50237,1
149640,1
48018,1
207640,1
139341,1
6352,1
397569,1
202356,1
33083,1
216014,1
63444,1
44112,1
23421,1
21581,1
14956,1
208128,1
22194,1
29389,1
203444,1
208795,1
44128,1
14555,1
3204,1
47195,1
209514,1
58212,1
27473,1
401479,1
17025,1
63240,1
52468,1
45352,1
136373,1
6327,1
37662,1
52320,1
10753,1
62768,1
12956,1
17984,1
8919,1
49287,1
396390,1
328137,1
61568,1
29169,1
45517,1
20764,1
2027,1
19653,1
13786,1
51530,1
196753,1
24600,1
28320,1
64475,1
6762,1
207841,1
270014,1
136620,1
18881,1
5381,1
23520,1
56696,1
48641,1
35360,1
8708,1
7589,1
17668,1
132337,1
15958,1
2614,1
14016,1
15605,1
28398,1
35600,1
19422,1
38726,1
1031,1
3844,1
29049,1
36678,1
35598,1
1916,1
264409,1
52025,1
50628,1
14537,1
8195,1
205920,1
6057,1
263945,1
15802,1
214390,1
44704,1
43871,1
202090,1
42106,1
27647,1
212307,1
11281,1
205193,1
26752,1
393689,1
63473,1
44094,1
214822,1
56341,1
39020,1
30083,1
35080,1
213205,1
34222,1
50313,1
36080,1
16262,1
213168,1
8705,1
42506,1
49501,1
208905,1
12365,1
8948,1
209847,1
20984,1
54994,1
41653,1
32780,1
215402,1
56864,1
58010,1
43896,1
215845,1
51605,1
3768,1
27223,1
8440,1
207697,1
197540,1
59524,1
25586,1
207304,1
57629,1
42532,1
41690,1
214308,1
59796,1
42745,1
14576,1
31083,1
215740,1
205373,1
34342,1
36666,1
61272,1
989,1
131173,1
35392,1
50980,1
10297,1
216154,1
52030,1
212490,1
205209,1
12525,1
20545,1
36850,1
210390,1
213438,1
46864,1
48753,1
210976,1
200532,1
