asn,nb_hostnames
395747,987
21664,572
213120,470
394192,233
394507,136
8075,77
48254,46
19551,43
2635,37
35280,36
8560,30
35425,30
62567,22
14853,21
14907,14
63293,13
39572,13
15766,13
215859,12
213232,12
35540,11
401200,11
214455,9
133795,9
204915,8
12488,8
60068,7
22612,7
61323,7
60426,6
31936,6
200325,6
12400,6
12641,6
60144,6
8680,5
44009,5
49025,5
57168,5
13122,4
7979,4
34309,4
399566,3
34931,3
14537,3
205860,3
5761,3
34655,3
62016,3
6496,3
204800,3
26666,3
6185,3
204548,3
26496,3
31727,2
50989,2
209622,2
30148,2
46606,2
60781,2
7859,2
39202,2
42455,2
200083,2
33157,2
62856,2
12178,2
213340,2
31708,2
199218,2
9009,2
214073,2
15317,2
786,2
8203,2
64437,2
60945,2
44907,2
52148,2
21345,2
215322,2
27647,2
45666,2
33191,2
7941,2
3457,1
56595,1
23816,1
24572,1
21369,1
46475,1
10480,1
16282,1
61144,1
24611,1
215467,1
8698,1
49868,1
44901,1
206972,1
204018,1
48669,1
24971,1
131283,1
63410,1
49714,1
44534,1
393689,1
2818,1
20546,1
204050,1
203444,1
207087,1
60885,1
26347,1
20760,1
12775,1
24482,1
32338,1
33953,1
201415,1
57344,1
205072,1
200596,1
53824,1
11281,1
54290,1
40824,1
41230,1
702,1
400797,1
214390,1
8069,1
55532,1
60047,1
41690,1
1273,1
30109,1
16072,1
36459,1
33083,1
27267,1
39215,1
204544,1
8681,1
51468,1
8867,1
6724,1
208488,1
36420,1
44880,1
54641,1
8584,1
2571,1
51561,1
399358,1
60114,1
14441,1
199524,1
55293,1
15149,1
50300,1
205373,1
197651,1
133096,1
10753,1
214685,1
27589,1
196752,1
19905,1
393874,1
141995,1
3352,1
56655,1
43415,1
12257,1
44932,1
34282,1
13037,1
395162,1
34920,1
16034,1
199391,1
42656,1
49318,1
47577,1
61969,1
13601,1
200195,1
213438,1
6698,1
133050,1
55081,1
45894,1
62243,1
12619,1
198032,1
50432,1
47625,1
