asn,nb_hostnames
395747,3944
21664,1552
213120,716
148000,504
394507,345
204915,329
8075,195
394192,137
62567,109
39572,92
395458,88
9829,80
16276,74
24186,61
18229,58
9730,55
215859,50
26496,48
5545,44
137661,43
214455,31
138727,30
133260,30
55741,30
3457,29
38617,27
9583,27
19551,26
140641,26
45596,25
45815,25
64049,24
35280,22
132224,21
136291,21
133037,20
40824,20
204450,20
137671,19
2635,18
204800,18
63293,17
17668,16
60781,15
32338,15
55470,15
40009,15
132420,15
14907,14
133666,14
10753,14
133274,14
394695,14
46606,14
141995,14
133795,13
45644,13
54994,13
7979,13
6496,13
328832,13
17025,13
141504,13
22612,13
142538,12
3844,12
28398,12
18881,12
12956,12
263945,12
8195,12
6057,12
62768,12
132337,12
19653,12
6762,12
328137,12
41722,12
28320,12
37662,12
24600,12
15605,12
19422,12
56696,12
1916,12
50482,12
30148,12
31936,12
52167,12
37963,12
14853,12
38185,11
17762,11
49287,11
24482,11
397849,11
12322,10
45117,10
27589,10
26666,10
63240,10
52468,10
45352,10
136373,10
6327,10
52320,10
17984,10
8919,10
396390,10
61568,10
29169,10
45517,10
20764,10
137409,10
2027,10
13786,10
51530,10
196753,10
64475,10
207841,10
270014,10
136620,10
5381,10
23520,10
48641,10
35360,10
8708,10
7589,10
15958,10
2614,10
14016,10
35600,10
38726,10
1031,10
29049,10
36678,10
35598,10
264409,10
52025,10
50628,10
14537,10
205920,10
15802,10
136656,10
213232,10
59189,9
136659,9
38369,9
38224,9
211612,9
36420,8
59692,8
17488,7
55847,7
44907,7
137130,7
141004,7
45090,7
200325,7
9752,7
141416,7
14441,7
150078,6
131283,6
139341,6
141477,6
58061,6
38799,6
56898,5
146943,5
59177,5
17436,5
134251,5
6939,5
13442,5
133231,5
133661,5
58521,5
200019,5
132717,5
53824,5
17625,5
199524,5
12178,5
134286,4
59188,4
215300,4
152510,4
136252,4
3920,4
140163,4
393299,4
32494,4
201106,4
14117,4
49665,4
13030,4
1273,4
61049,4
61573,4
8231,4
48571,4
8529,4
64126,4
1000,4
131073,4
18377,4
262427,4
37251,4
327788,4
132602,4
137590,4
29066,4
49981,4
137670,4
40021,4
140621,4
132043,4
150044,4
23470,4
133256,4
38529,4
33182,4
132272,4
26347,3
7633,3
33837,3
7941,3
132335,3
138233,3
17917,3
64437,3
137108,3
132322,3
46844,3
63993,3
46475,3
8560,3
64236,3
200449,3
135086,3
54641,3
147237,3
210250,3
56272,3
204601,3
18209,3
59796,2
138270,2
64611,2
136336,2
133992,2
45829,2
8069,2
202492,2
398256,2
397273,2
13238,2
49714,2
149580,2
17665,2
134888,2
55293,2
137035,2
140114,2
137104,2
135193,2
211922,2
8960,2
57724,2
17465,2
45264,2
59191,2
23820,2
133000,2
132771,2
23421,2
141018,2
45985,2
43641,2
14466,2
63593,2
61976,2
58909,2
142002,2
206264,2
65544,2
141476,2
58590,2
2571,2
202425,2
207728,2
146918,2
59194,2
133005,2
132779,2
149600,2
136324,2
133278,2
23033,2
47846,2
141464,2
134926,2
137646,2
138754,2
6185,2
133694,2
23576,2
6698,2
149528,2
22720,2
135422,1
138755,1
140170,1
58700,1
51852,1
20068,1
132720,1
52012,1
149202,1
133982,1
205193,1
211864,1
32780,1
140165,1
19969,1
150436,1
139195,1
132680,1
132343,1
211942,1
14113,1
147258,1
31458,1
134877,1
33676,1
400754,1
18945,1
45916,1
142470,1
153250,1
397423,1
134922,1
132937,1
207970,1
55479,1
215402,1
63362,1
9223,1
42567,1
135872,1
140200,1
31586,1
216071,1
14555,1
135745,1
3387,1
35179,1
36459,1
55569,1
30083,1
132557,1
28753,1
147257,1
136696,1
140912,1
396032,1
12129,1
139539,1
197540,1
138202,1
5761,1
397966,1
135175,1
26042,1
63760,1
13101,1
62068,1
33191,1
7859,1
55446,1
61144,1
45927,1
19720,1
32903,1
399358,1
39560,1
40699,1
136306,1
24971,1
400275,1
31727,1
10029,1
216395,1
11281,1
211611,1
132943,1
207809,1
62243,1
137000,1
137634,1
210275,1
41690,1
10480,1
135856,1
59163,1
26978,1
50300,1
153203,1
33387,1
133032,1
393689,1
25820,1
133719,1
14340,1
39134,1
55705,1
150008,1
13984,1
151704,1
132135,1
9123,1
134909,1
135822,1
138650,1
34788,1
13830,1
56872,1
133265,1
135682,1
9430,1
23352,1
398493,1
135222,1
136325,1
328206,1
30058,1
17913,1
394432,1
53755,1
141388,1
17813,1
35425,1
138341,1
132527,1
135377,1
48254,1
44477,1
141793,1
132946,1
18978,1
38476,1
212792,1
58702,1
393874,1
213166,1
131787,1
22194,1
215845,1
215322,1
151373,1
30340,1
62563,1
35908,1
204770,1
24611,1
9836,1
15273,1
53667,1
63473,1
200195,1
213438,1
135905,1
138767,1
209003,1
140688,1
133024,1
135152,1
32097,1
151734,1
55106,1
198792,1
57629,1
133285,1
135247,1
138155,1
17426,1
214390,1
135801,1
46401,1
36850,1
135752,1
200000,1
132351,1
63410,1
216014,1
133643,1
48763,1
53332,1
