asn,nb_hostnames
395747,5139
21664,699
213120,402
16276,361
394507,347
394192,344
39572,192
215859,157
204915,141
8075,92
62567,86
5545,72
7979,50
40824,47
205585,46
31936,43
26496,43
214455,42
51433,36
32338,36
27589,30
22612,29
141995,28
37963,28
216346,27
203214,27
60781,27
38369,26
30148,26
133795,25
19551,25
14907,23
63293,23
139341,23
59692,21
395458,21
29066,19
49981,18
204450,18
46606,17
58061,17
207728,16
10753,16
211612,15
36420,15
17668,15
14441,14
43358,13
57724,13
54994,13
6496,13
204800,13
2635,12
17025,12
50482,12
37662,12
41722,12
62768,12
12956,12
328137,12
19653,12
24600,12
28320,12
6762,12
18881,12
56696,12
132337,12
15605,12
28398,12
19422,12
3844,12
1916,12
8195,12
328832,12
6057,12
263945,12
49676,12
44907,12
12322,12
26666,11
49287,11
204601,10
52167,10
137409,10
24482,10
215300,10
202368,10
45090,10
35425,10
3457,9
200019,9
60976,9
63240,9
52468,9
45352,9
136373,9
6327,9
52320,9
17984,9
8919,9
396390,9
61568,9
29169,9
45517,9
20764,9
2027,9
13786,9
51530,9
196753,9
64475,9
207841,9
270014,9
136620,9
5381,9
23520,9
48641,9
35360,9
8708,9
7589,9
15958,9
2614,9
14016,9
35600,9
38726,9
1031,9
29049,9
36678,9
35598,9
264409,9
52025,9
50628,9
14537,9
205920,9
15802,9
211505,9
43641,9
56898,9
6698,9
24961,8
62068,8
55293,8
48434,8
59796,8
8560,8
200325,8
53667,8
61976,8
14853,8
13442,7
60248,7
21277,7
64437,7
202425,7
62048,7
42567,7
58521,7
53824,7
7203,7
199524,7
49714,6
13238,6
134926,6
202492,6
207208,6
207970,6
212216,6
216014,6
58219,6
33837,6
398256,6
36780,6
51468,5
212692,5
206264,5
208161,5
59441,5
10297,5
60077,5
48729,5
151373,5
139144,5
214124,5
49352,5
42532,5
50722,5
34369,4
31586,4
200651,4
25184,4
198610,4
204544,4
59587,4
399566,4
9121,4
211922,4
6185,4
51905,4
401200,4
205889,4
62243,4
211904,4
215845,4
6939,4
12178,4
34929,4
3920,4
4835,4
200554,3
36080,3
51684,3
48254,3
9760,3
60144,3
14576,3
59588,3
215322,3
8796,3
47846,3
197540,3
199739,3
200324,3
3194,3
200449,3
24971,3
212376,3
6758,3
59467,3
3387,3
44244,3
139057,3
150078,3
393299,3
32494,3
201106,3
14117,3
49665,3
13030,3
1273,3
61049,3
61573,3
8231,3
48571,3
8529,3
64126,3
1000,3
131073,3
18377,3
262427,3
37251,3
327788,3
132602,3
9730,3
202798,3
7941,3
212531,3
8705,3
50980,3
203217,3
54641,3
203257,2
39651,2
27647,2
205762,2
212792,2
200514,2
202620,2
50474,2
133719,2
32097,2
209929,2
42910,2
62173,2
40509,2
36459,2
6879,2
205800,2
47524,2
28836,2
140688,2
8517,2
14555,2
9123,2
216154,2
131640,2
140290,2
9009,2
41032,2
61102,2
33664,2
213438,2
50041,2
48040,2
9524,2
44477,2
205837,2
23470,2
63760,2
39571,2
35280,2
198627,2
44932,2
46475,2
150436,2
27223,2
8069,2
30961,2
206596,2
212552,2
205193,2
199218,2
22169,2
63199,2
200000,2
23576,2
12593,2
63210,2
49760,2
10480,2
14824,2
28753,2
53850,2
40728,2
42216,2
62442,2
212490,2
26347,2
211090,2
210022,2
201744,2
43955,2
213232,2
51088,2
34222,2
34619,2
36352,2
9764,2
210402,2
34918,2
19973,2
33157,2
20756,2
6724,1
207809,1
42337,1
50517,1
61210,1
214798,1
65115,1
13601,1
393689,1
201713,1
31476,1
8312,1
210630,1
214390,1
11878,1
