asn,nb_hostnames
395747,1634
205585,1064
51433,733
212216,541
215859,427
211505,354
395458,329
47422,326
59587,205
204213,204
35540,199
60976,187
59441,181
214455,172
17668,169
328832,168
60248,168
17025,166
50482,166
37662,166
41722,166
10753,166
62768,166
12956,166
328137,166
19653,166
24600,166
28320,166
6762,166
18881,166
56696,166
132337,166
15605,166
28398,166
19422,166
3844,166
1916,166
8195,166
6496,166
6057,166
263945,166
200039,164
137409,164
63240,163
52468,163
45352,163
136373,163
6327,163
52320,163
17984,163
9015,163
49287,163
19782,163
61568,163
29169,163
132045,163
20764,163
2027,163
13786,163
51530,163
196753,163
24482,163
64475,163
207841,163
270014,163
44684,163
35589,163
23520,163
48641,163
35360,163
8708,163
7589,163
15958,163
2614,163
14016,163
35600,163
38726,163
1031,163
29049,163
4134,163
35598,163
264409,163
52025,163
50628,163
14537,163
205920,163
15802,163
34369,153
21664,147
42337,141
213120,134
25184,121
209227,112
211904,106
212296,95
208161,86
39572,82
201634,82
57687,76
202368,72
49676,69
204544,67
48434,64
57497,63
394507,60
214105,46
51431,44
60077,43
50041,42
200324,41
394192,41
47330,41
15317,40
49099,38
50722,37
212552,36
34918,36
31936,34
43358,33
201999,33
59442,31
29066,29
62567,28
42043,26
43415,23
62048,23
61239,23
6736,23
54994,22
205857,22
21341,21
5542,21
59623,21
206065,21
62442,20
32338,19
39571,18
48309,18
43955,18
7979,16
44244,16
41227,15
204915,15
8075,15
207897,15
60781,14
40824,14
214225,13
14907,13
58061,13
43211,13
200312,13
209783,12
200296,12
201295,12
205550,12
207920,12
21121,11
206596,11
47981,11
63293,10
213807,10
29068,10
44410,10
59692,10
60068,10
16200,10
44932,9
39368,9
49433,9
211325,9
197946,9
57574,9
43689,9
62173,8
49981,8
25306,8
59431,8
27589,8
213222,8
56547,8
57457,8
208675,8
44436,8
41881,8
44889,8
48431,7
200554,7
24707,7
39308,7
50733,7
56898,7
21419,7
197937,7
202798,7
35690,7
28753,7
50855,7
209849,7
14853,7
209836,6
57241,6
60374,6
42990,6
205588,6
41620,6
50795,6
31476,6
200325,6
39074,6
216014,6
44907,6
216131,6
202425,5
60627,5
64437,5
210288,5
204955,5
59708,5
215892,5
41061,5
200019,5
30148,5
53667,5
205622,5
61055,5
16292,5
57218,5
203102,5
207728,5
35425,5
61976,5
208264,4
49714,4
44534,4
201540,4
12660,4
58333,4
37963,4
49792,4
202735,4
200370,4
22612,4
133795,4
205837,4
59961,4
215300,4
64458,4
39501,3
207970,3
214866,3
1756,3
25264,3
393299,3
32494,3
201106,3
14117,3
49665,3
13030,3
1273,3
61049,3
61573,3
8231,3
48571,3
8529,3
64126,3
1000,3
131073,3
18377,3
6427,3
262427,3
37251,3
329356,3
132602,3
9730,3
211703,3
60256,3
61248,3
34871,3
213953,3
43641,3
201176,3
211408,3
60516,3
8560,3
64422,3
47216,3
58104,3
24961,3
200449,3
206264,3
214003,3
34947,3
205490,3
201703,3
59912,3
43487,3
213682,3
38369,3
8473,3
39825,3
203951,3
50114,3
49228,3
52130,3
49612,3
6698,3
35615,2
31175,2
43510,2
51280,2
4258,2
210609,2
215845,2
62137,2
51618,2
211871,2
47558,2
139341,2
50989,2
42567,2
203684,2
8069,2
26666,2
58521,2
63199,2
48944,2
211056,2
12678,2
203916,2
141995,2
62196,2
43657,2
204601,2
62198,2
208703,2
47262,2
12322,2
36420,2
206854,2
211922,2
212907,2
2635,2
198357,2
14441,2
62318,2
59962,2
207796,2
198341,2
214171,2
56375,2
62367,2
62265,2
49796,2
210474,2
51759,2
57577,2
57563,2
44400,2
133210,2
135360,2
216139,2
204039,2
203616,2
7941,2
52070,2
19551,2
60638,2
49680,2
61246,2
42532,2
56765,2
31303,2
8705,2
213438,1
204800,1
14576,1
51785,1
25124,1
400797,1
45090,1
46606,1
20661,1
56402,1
214570,1
210392,1
44128,1
50214,1
198913,1
210470,1
201259,1
213531,1
203026,1
206692,1
201150,1
6733,1
215708,1
201744,1
201012,1
23011,1
49865,1
393874,1
204865,1
206848,1
12178,1
204104,1
24971,1
197540,1
212476,1
212792,1
212544,1
214419,1
398256,1
51460,1
202492,1
41690,1
202571,1
61129,1
212025,1
58212,1
213665,1
200376,1
3457,1
48729,1
11281,1
211491,1
57352,1
18978,1
33387,1
203444,1
3920,1
213895,1
51889,1
62250,1
207809,1
198569,1
204050,1
205762,1
65115,1
23576,1
201871,1
57474,1
16235,1
44208,1
212355,1
42468,1
44045,1
214124,1
49392,1
48608,1
213995,1
16018,1
206407,1
53332,1
34655,1
48592,1
23470,1
44386,1
207409,1
215679,1
59757,1
210583,1
62068,1
51852,1
210296,1
40728,1
5537,1
6185,1
9009,1
205833,1
43233,1
16286,1
15149,1
214263,1
208651,1
211670,1
35043,1
204813,1
216205,1
7859,1
200315,1
64489,1
48359,1
209534,1
210877,1
43043,1
26347,1
29079,1
26496,1
42915,1
210064,1
44609,1
12824,1
205193,1
34222,1
46844,1
207680,1
209003,1
50980,1
59573,1
56715,1
133719,1
215938,1
52489,1
7203,1
393689,1
400341,1
215402,1
209596,1
62243,1
15907,1
204001,1
200252,1
50558,1
212607,1
199912,1
214390,1
36459,1
60340,1
60178,1
399358,1
38365,1
216383,1
24611,1
201194,1
59796,1
199524,1
51177,1
47643,1
60887,1
210650,1
57235,1
49127,1
30277,1
