asn,nb_hostnames
395747,3193
21664,1686
213120,836
394507,450
394192,420
8075,322
44925,299
206842,200
216017,198
31441,154
30818,147
62567,138
215859,128
201849,97
35540,89
401200,89
2635,76
15474,59
14907,53
59396,53
19551,41
204915,35
8560,33
209214,32
29689,32
24743,31
133795,31
31080,31
44644,29
39572,28
6677,28
14853,25
31936,24
212771,23
60259,23
56682,22
60068,21
63293,19
46606,17
202816,17
40476,15
59692,15
15317,15
27647,15
8535,15
51896,13
60781,13
214455,13
60047,13
43037,12
59778,11
55293,10
34342,10
40824,10
197403,9
200325,9
53824,9
26496,9
31236,8
197308,8
205696,8
12178,8
61976,8
47828,8
37963,7
30148,7
58061,7
7979,7
207970,7
49612,7
35589,7
42656,7
50989,6
59467,6
47447,6
26666,6
33157,6
26347,5
8839,5
12306,5
39532,5
8708,5
39472,5
22612,5
141995,5
1897,5
215740,5
203178,5
215322,5
199218,5
6698,4
52130,4
49714,4
44534,4
202521,4
12322,4
64437,4
196818,4
200432,4
12525,4
137409,4
6496,4
51577,4
48896,4
212531,4
51468,4
34360,4
10753,4
200088,4
6185,4
395458,4
47422,4
62243,3
1835,3
34788,3
29348,3
30961,3
7941,3
49981,3
47544,3
25506,3
44696,3
25244,3
202425,3
8856,3
42848,3
328832,3
14441,3
5761,3
50482,3
24482,3
14537,3
200651,3
44880,3
213232,3
35425,3
199524,3
3920,3
8400,3
20546,3
44907,3
7203,3
49287,3
17668,3
38365,3
202242,3
197664,3
54641,3
198547,2
16972,2
46844,2
35744,2
203176,2
56898,2
200195,2
200019,2
207728,2
2119,2
27589,2
50980,2
31577,2
202015,2
12488,2
203322,2
206264,2
31727,2
3768,2
14824,2
205585,2
24971,2
211734,2
202115,2
38369,2
33191,2
6724,2
43682,2
49604,2
61098,2
36459,2
17025,2
63240,2
52468,2
45352,2
136373,2
6327,2
37662,2
41722,2
52320,2
62768,2
12956,2
17984,2
9015,2
19782,2
328137,2
61568,2
29169,2
200039,2
132045,2
20764,2
2027,2
19653,2
13786,2
51530,2
196753,2
24600,2
28320,2
64475,2
6762,2
207841,2
270014,2
44684,2
18881,2
23520,2
56696,2
48641,2
35360,2
7589,2
132337,2
15958,2
2614,2
14016,2
15605,2
28398,2
35600,2
19422,2
38726,2
1031,2
3844,2
29049,2
4134,2
35598,2
1916,2
264409,2
52025,2
50628,2
8195,2
205920,2
6057,2
263945,2
15802,2
57344,2
47577,2
15149,2
34309,2
15967,2
12357,2
34222,2
43298,2
51433,2
6427,2
203715,2
7859,2
29222,2
11878,2
12996,2
21344,2
51852,2
5403,2
399358,2
39392,2
36420,2
23576,2
42371,2
20523,2
54994,2
210728,2
34678,2
44136,2
12912,2
14807,2
205762,2
53667,2
12578,2
44477,2
201012,2
19969,2
19905,2
42849,2
15688,2
41528,2
34275,2
9764,2
204800,2
34432,2
214761,1
8001,1
7715,1
34424,1
199236,1
213438,1
201201,1
8751,1
207605,1
196724,1
201936,1
24586,1
204770,1
215467,1
27264,1
4150,1
30600,1
49130,1
8070,1
25393,1
57508,1
201512,1
201959,1
60362,1
41457,1
23033,1
43211,1
213980,1
13274,1
397273,1
31083,1
16188,1
29389,1
201206,1
11281,1
60087,1
8473,1
205671,1
42400,1
400275,1
211922,1
58153,1
12929,1
3209,1
39686,1
26752,1
43948,1
41000,1
215960,1
51203,1
205111,1
39324,1
31586,1
48164,1
400797,1
35593,1
399250,1
42312,1
43058,1
395162,1
49946,1
9150,1
212792,1
393689,1
6764,1
7774,1
31627,1
59787,1
214390,1
50783,1
215840,1
42649,1
198884,1
214308,1
34826,1
202368,1
203417,1
1850,1
398385,1
32338,1
22275,1
12678,1
49309,1
45894,1
138341,1
27223,1
61144,1
50825,1
28824,1
210080,1
42160,1
48314,1
16182,1
214744,1
42612,1
21581,1
53755,1
44244,1
201200,1
393874,1
205193,1
39566,1
2819,1
44066,1
34282,1
208128,1
53332,1
23522,1
60009,1
29486,1
61213,1
29208,1
52030,1
197248,1
210756,1
213306,1
51430,1
62563,1
41537,1
49409,1
202053,1
57729,1
