asn,nb_hostnames
395747,3196
21664,1100
213120,845
202242,612
35540,503
394507,418
215859,307
394192,250
52030,209
8075,199
19551,139
137,139
12874,129
197664,109
20522,96
20580,94
213232,83
62567,65
39572,52
30722,38
60087,37
2635,33
205139,32
60798,29
47242,28
204915,28
60781,28
31936,27
202675,26
24994,26
8968,26
14907,24
6882,24
8560,24
141995,23
15317,22
60068,22
33964,21
12640,21
12779,20
31617,20
40824,19
203461,18
63293,16
200325,16
39217,15
2594,15
59692,15
12322,15
30148,14
198319,14
3457,14
203612,13
133795,12
48815,12
33157,11
214455,11
59796,11
20981,11
25569,11
14853,11
199325,10
34920,10
12954,10
25518,9
203201,9
204760,9
27589,9
30961,9
58061,9
64437,9
30848,9
52130,8
24608,8
35280,8
65515,7
47195,7
42515,7
49367,7
5392,7
48768,7
8660,7
202425,6
16161,6
44831,6
399566,6
210026,6
7203,6
6698,6
207970,5
49612,5
8612,5
10753,5
39719,5
200760,5
44485,5
26666,5
34788,5
12835,5
51025,5
8708,5
7979,5
52083,5
209634,5
26496,5
29449,4
210569,4
16236,4
21176,4
12696,4
29222,4
49981,4
26347,4
215300,4
200019,4
42567,4
208058,4
200386,4
197845,4
34216,4
32338,4
206476,4
34222,4
15691,4
44907,4
43843,4
37963,4
48729,4
29169,4
29177,4
35425,4
35589,4
13097,4
39104,3
13182,3
205762,3
21056,3
62068,3
39210,3
207728,3
31586,3
31080,3
39790,3
51468,3
199524,3
49714,3
44534,3
14340,3
34081,3
24971,3
2593,3
29082,3
15584,3
196753,3
15981,3
30818,3
28753,3
207697,3
200522,3
43037,3
6185,3
34309,3
24961,3
13018,3
42848,3
55293,3
13284,3
38369,3
36420,3
24898,3
43923,3
15685,3
53667,3
31403,3
39020,3
8069,3
49073,3
62979,3
24600,3
44512,2
47217,2
7941,2
23352,2
25117,2
14576,2
214308,2
12498,2
60114,2
41836,2
44477,2
48314,2
8400,2
206264,2
39479,2
199699,2
196752,2
12505,2
62243,2
41325,2
6724,2
63410,2
34759,2
44066,2
34931,2
200767,2
50989,2
204280,2
49127,2
205425,2
205585,2
211187,2
35744,2
56559,2
61098,2
12678,2
200039,2
205876,2
16839,2
41986,2
197540,2
31067,2
206566,2
201722,2
29066,2
36080,2
702,2
35612,2
44009,2
56898,2
44239,2
199509,2
44513,2
214169,2
60047,2
202865,2
5761,2
24676,2
207798,2
207964,2
3920,2
39896,2
212792,2
51852,2
16297,2
24482,2
23576,2
31577,2
211922,2
216194,2
20546,2
13160,2
57144,2
21451,2
5403,2
22612,2
28791,2
43641,2
8839,2
34432,2
15720,2
12178,2
45090,2
34360,2
395458,2
47422,2
62353,1
44160,1
2595,1
204544,1
54290,1
41497,1
213205,1
203444,1
213260,1
208128,1
199547,1
198800,1
12565,1
203437,1
31428,1
2108,1
49360,1
53292,1
199242,1
212602,1
209847,1
399358,1
200449,1
60602,1
8978,1
200148,1
39737,1
3342,1
44932,1
205644,1
205373,1
207809,1
12732,1
44716,1
196724,1
60368,1
44920,1
202258,1
48894,1
8535,1
212531,1
206775,1
200651,1
202521,1
8304,1
56958,1
393874,1
11281,1
25011,1
56682,1
44152,1
200000,1
51577,1
65115,1
199181,1
204940,1
206548,1
39686,1
201955,1
41690,1
29036,1
39887,1
216014,1
50316,1
210638,1
207157,1
206255,1
15554,1
51586,1
29389,1
6831,1
33676,1
201744,1
211740,1
47777,1
16371,1
30109,1
200195,1
213438,1
34798,1
46844,1
50214,1
6656,1
39241,1
200073,1
43211,1
139144,1
12129,1
3330,1
32780,1
52109,1
24806,1
15817,1
43602,1
202816,1
45985,1
210250,1
51569,1
202492,1
42665,1
206267,1
42442,1
43896,1
60975,1
59939,1
42060,1
205544,1
42681,1
44747,1
57542,1
60550,1
50198,1
6428,1
207453,1
204770,1
44133,1
10480,1
41381,1
42656,1
35357,1
208216,1
43817,1
9026,1
53332,1
24817,1
