asn,nb_hostnames
395747,1067
21664,606
213120,462
394192,227
394507,222
8075,101
19551,44
2635,44
401200,39
62567,34
35425,31
8560,25
14853,23
61323,17
39572,17
35540,15
215859,15
14907,13
63293,13
8681,13
31080,12
57168,11
30148,10
31936,10
204915,10
52148,9
1897,9
214455,8
12488,7
133795,7
60068,6
49025,6
46606,6
214073,6
200325,5
56682,5
12641,5
7979,5
44009,5
204800,4
33157,4
41400,4
50989,3
53824,3
26666,3
3457,3
12322,3
5761,3
34309,3
6185,3
204545,3
52580,3
48254,3
31742,3
8839,3
45666,3
41355,3
35280,3
26496,3
31727,3
42656,3
8535,2
27647,2
6496,2
702,2
44907,2
215322,2
147168,2
34655,2
39202,2
7941,2
64437,2
31708,2
28673,2
62016,2
21345,2
36420,2
15317,2
399566,2
16204,2
400797,2
211611,2
62856,2
60426,2
58061,2
36516,2
34282,2
60781,2
213232,2
43091,1
2571,1
24482,1
200195,1
213438,1
6698,1
51055,1
48669,1
20760,1
33953,1
214685,1
59787,1
34342,1
21221,1
13037,1
212422,1
30109,1
211875,1
10480,1
49318,1
34788,1
200083,1
60945,1
8657,1
12257,1
16034,1
33191,1
50432,1
61097,1
30864,1
33876,1
3352,1
393689,1
393874,1
21369,1
203425,1
8400,1
44684,1
11281,1
16072,1
14466,1
20546,1
197651,1
215740,1
13173,1
196745,1
47002,1
2818,1
8698,1
137409,1
202521,1
395162,1
15149,1
23033,1
399358,1
10753,1
204050,1
60144,1
19905,1
207087,1
215467,1
8680,1
6656,1
8622,1
12178,1
4258,1
30827,1
206972,1
28604,1
205373,1
133096,1
57344,1
49868,1
204648,1
51059,1
15685,1
201085,1
40824,1
214744,1
33083,1
51888,1
398851,1
45894,1
1273,1
36459,1
16032,1
199524,1
54641,1
200596,1
29169,1
50300,1
46475,1
24611,1
28753,1
44239,1
32338,1
198993,1
41690,1
12775,1
