asn,nb_hostnames
395747,4312
21664,1302
213120,963
394192,513
394507,431
8075,228
62567,138
16276,97
46606,92
204915,81
39572,74
2635,72
26496,65
19551,63
30148,57
215859,56
30689,52
14441,46
31936,40
214455,38
54641,34
10292,33
14853,32
53824,30
40824,29
211612,28
8560,27
22612,27
27653,26
5545,25
22306,25
7979,22
13601,22
397849,21
63293,21
37963,21
200325,20
26666,17
401200,17
3457,17
55033,17
213232,17
60781,16
133795,16
47846,15
59692,14
27589,14
38369,13
139341,12
36420,12
399566,11
48254,11
14907,11
215740,10
55293,10
10278,10
400754,10
12178,10
6698,10
22720,10
202425,8
58061,8
398256,8
10753,8
36080,7
8739,7
12322,7
13442,7
36066,7
200019,7
58521,7
45090,7
14113,7
33837,6
10480,6
46844,6
6185,6
6496,6
199524,6
27647,5
57724,5
49981,5
15699,5
24961,5
33265,5
214124,5
51852,5
63410,5
7203,5
19324,5
30340,5
40143,5
17025,5
199218,5
17668,5
18945,4
64437,4
4258,4
215846,4
5761,4
53667,4
30109,4
54994,4
28753,4
328832,4
6939,4
215300,4
7859,4
44907,4
36776,4
150078,4
6639,4
39896,4
395458,4
204800,4
211922,3
26505,3
27223,3
56898,3
61976,3
23352,3
200651,3
14576,3
62068,3
11807,3
13767,3
33157,3
26347,3
50482,3
37662,3
41722,3
62768,3
12956,3
328137,3
19653,3
24600,3
28320,3
6762,3
18881,3
56696,3
132337,3
15605,3
28398,3
19422,3
3844,3
1916,3
8195,3
6057,3
263945,3
210250,3
200449,3
45420,3
7941,3
206264,3
40021,3
63993,3
23522,3
22414,3
58294,3
60144,3
40476,3
50980,3
48040,3
12678,2
201744,2
393874,2
786,2
63199,2
34222,2
12488,2
31727,2
44477,2
13238,2
49714,2
22194,2
32338,2
23576,2
35425,2
3920,2
39134,2
2665,2
30276,2
202053,2
7393,2
14745,2
53706,2
207970,2
61210,2
13830,2
24482,2
197540,2
29169,2
137409,2
215845,2
212792,2
34655,2
2514,2
19225,2
151373,2
2675,2
200195,2
36057,2
204601,2
14415,2
5377,2
328174,2
29182,2
393299,2
32494,2
201106,2
14117,2
49665,2
13030,2
1273,2
61049,2
61573,2
8231,2
48571,2
8529,2
64126,2
1000,2
131073,2
18377,2
262427,2
37251,2
327788,2
132602,2
9730,2
207728,2
141995,2
19872,2
14824,2
3387,2
398831,2
2516,2
39936,2
48729,2
28067,2
26441,2
31586,2
36850,2
23421,2
46221,2
36459,2
216154,2
44009,2
62243,2
398787,2
46475,2
33191,2
42567,2
16371,2
29222,2
49287,2
204450,2
20033,2
771,2
133050,1
44160,1
54552,1
400275,1
205762,1
65115,1
42532,1
31655,1
204018,1
138341,1
26928,1
9752,1
139880,1
29757,1
198913,1
54112,1
394695,1
18742,1
40699,1
16972,1
26277,1
137718,1
4835,1
63148,1
196763,1
213737,1
16501,1
209445,1
398764,1
11556,1
211014,1
6192,1
31782,1
11139,1
201936,1
54456,1
12640,1
18522,1
30361,1
200044,1
50474,1
214685,1
198792,1
32097,1
33472,1
399358,1
200928,1
56341,1
203976,1
32413,1
399937,1
20068,1
13345,1
24282,1
52148,1
397569,1
205193,1
22560,1
5639,1
23011,1
63240,1
52468,1
45352,1
136373,1
6327,1
52320,1
17984,1
8919,1
396390,1
61568,1
52167,1
45517,1
20764,1
2027,1
13786,1
51530,1
196753,1
64475,1
207841,1
270014,1
136620,1
5381,1
23520,1
48641,1
35360,1
8708,1
7589,1
15958,1
2614,1
14016,1
35600,1
38726,1
1031,1
29049,1
36678,1
35598,1
264409,1
52025,1
50628,1
14537,1
205920,1
15802,1
36666,1
10929,1
401764,1
29066,1
19853,1
394727,1
210579,1
131965,1
52233,1
60885,1
61098,1
394303,1
200508,1
6432,1
42745,1
207208,1
11281,1
133210,1
135360,1
60592,1
201706,1
208561,1
24572,1
393689,1
44066,1
150436,1
396176,1
197816,1
213438,1
206972,1
3361,1
15318,1
6621,1
207569,1
27665,1
48763,1
53850,1
14472,1
54548,1
51433,1
52012,1
398743,1
15430,1
38913,1
197019,1
135682,1
207809,1
45894,1
9123,1
329278,1
51468,1
3320,1
17289,1
33083,1
58487,1
396930,1
58212,1
53303,1
34119,1
577,1
400797,1
14361,1
30456,1
43641,1
46864,1
53332,1
24971,1
202492,1
29992,1
53767,1
22663,1
22653,1
205373,1
395412,1
26752,1
12357,1
46562,1
39825,1
8473,1
46529,1
55569,1
139144,1
49352,1
13324,1
210079,1
16557,1
50837,1
12641,1
18747,1
6352,1
23367,1
33322,1
39686,1
139057,1
14315,1
53755,1
21840,1
10122,1
216071,1
19110,1
2571,1
19460,1
14466,1
395532,1
200000,1
212490,1
4129,1
9009,1
25697,1
8312,1
214390,1
40539,1
13450,1
23470,1
214196,1
40651,1
19785,1
34788,1
42106,1
1897,1
141518,1
3768,1
14992,1
63362,1
4872,1
51905,1
36352,1
9059,1
211499,1
205585,1
54290,1
41690,1
263575,1
62856,1
202368,1
61144,1
7003,1
152194,1
21581,1
40581,1
397497,1
60114,1
34920,1
206980,1
17363,1
30246,1
27264,1
4150,1
30600,1
34309,1
138650,1
397273,1
62839,1
41441,1
19106,1
802,1
215402,1
24611,1
11584,1
8069,1
35280,1
28917,1
30475,1
46440,1
46841,1
199414,1
9371,1
56872,1
18621,1
797,1
