asn,nb_hostnames
395747,4827
21664,850
213120,562
394507,344
139256,261
394192,257
215859,206
204915,197
16276,165
8075,155
39572,117
35656,109
62567,98
8376,91
48832,76
141995,64
9038,62
5545,50
31936,42
26496,41
214455,35
40824,35
3457,34
60781,31
27589,27
22612,27
19551,27
63293,25
14441,24
47887,24
7979,22
37963,22
46606,21
2635,21
14907,19
38369,19
59692,19
211612,18
55293,18
133795,18
26666,16
139341,16
46475,16
12322,15
30148,15
50670,14
204800,14
49981,13
216014,13
12178,13
54641,13
14853,13
62068,12
32338,11
200325,11
8697,11
57724,11
53824,11
6698,11
8560,10
58521,10
36420,10
29066,10
200019,9
214124,9
397849,8
44907,8
209029,8
10753,8
61976,8
58061,7
33837,7
6496,7
64437,7
207970,7
215300,7
42567,7
36080,7
199729,7
17668,7
207208,6
13442,6
202492,6
202425,6
211942,6
139144,6
199524,6
398256,6
197540,6
24600,6
27647,5
328832,5
10122,5
49714,5
13238,5
198203,5
62243,5
35280,5
210275,5
207728,5
56898,5
59451,5
7203,5
6185,5
17025,5
395458,5
201768,5
28753,4
212507,4
50980,4
24961,4
53667,4
36352,4
10480,4
29256,4
14466,4
54994,4
211260,4
49352,4
211922,4
8708,4
208212,4
37251,4
206264,4
3920,4
3844,4
28398,4
18881,4
12956,4
263945,4
8195,4
6057,4
62768,4
132337,4
19653,4
6762,4
328137,4
41722,4
28320,4
37662,4
6939,4
15605,4
19422,4
56696,4
1916,4
50482,4
24971,3
140688,3
198032,3
400754,3
30818,3
138341,3
7941,3
48729,3
3387,3
151373,3
23470,3
212792,3
42532,3
14576,3
53850,3
200651,3
202024,3
36666,3
204601,3
393299,3
32494,3
201106,3
14117,3
49665,3
13030,3
1273,3
61049,3
61573,3
8231,3
48571,3
8529,3
64126,3
1000,3
131073,3
18377,3
262427,3
327788,3
132602,3
9730,3
46844,3
45090,3
43641,3
200449,3
15802,3
35425,2
397273,2
205762,2
36459,2
13601,2
201678,2
21840,2
47846,2
47524,2
56341,2
200928,2
7859,2
49610,2
52148,2
216154,2
215845,2
27223,2
32780,2
33191,2
399250,2
57352,2
23352,2
8705,2
201744,2
51468,2
51182,2
8960,2
59467,2
57775,2
34222,2
11807,2
18229,2
34655,2
33387,2
60849,2
51852,2
206980,2
204039,2
150436,2
7393,2
54290,2
200195,2
14824,2
21002,2
8069,2
5761,2
61102,2
23576,2
48254,2
63760,2
207332,2
24482,2
24611,2
4258,2
32097,2
216071,2
150078,2
210084,2
206608,2
401200,2
197921,2
204206,2
137409,2
201982,2
198610,2
9764,2
20756,2
22720,2
49474,2
204450,2
25234,1
44803,1
24090,1
65115,1
16371,1
29182,1
61149,1
134963,1
394727,1
51433,1
36066,1
208710,1
211871,1
394437,1
21581,1
56872,1
395092,1
40651,1
63444,1
17561,1
27264,1
4150,1
30600,1
394230,1
39686,1
57344,1
63932,1
201713,1
50332,1
14472,1
49240,1
6879,1
198993,1
14361,1
207569,1
29684,1
208336,1
202115,1
208677,1
48434,1
24745,1
400940,1
55235,1
200000,1
40699,1
213205,1
60885,1
198499,1
31059,1
12739,1
59524,1
205435,1
33157,1
47195,1
202053,1
205554,1
31408,1
139057,1
44094,1
36925,1
35179,1
8517,1
44901,1
203147,1
54643,1
197553,1
51304,1
215740,1
37153,1
208520,1
21245,1
17289,1
204327,1
197019,1
36992,1
44386,1
207809,1
42106,1
2561,1
33664,1
61098,1
57088,1
29097,1
212422,1
206407,1
201896,1
52012,1
203444,1
8739,1
13830,1
38968,1
22169,1
42848,1
36850,1
26752,1
3320,1
9009,1
148000,1
44128,1
61210,1
6352,1
30058,1
16161,1
34400,1
19905,1
135377,1
56803,1
214744,1
197902,1
62744,1
215206,1
212490,1
62563,1
7678,1
205373,1
13324,1
48109,1
702,1
13041,1
8948,1
3330,1
57702,1
35753,1
15318,1
212531,1
203417,1
393874,1
48669,1
2675,1
198792,1
138415,1
33676,1
199218,1
3225,1
786,1
9752,1
328654,1
24863,1
204550,1
198503,1
198913,1
61144,1
203378,1
41077,1
50979,1
37728,1
8203,1
205193,1
63199,1
10578,1
328853,1
393689,1
30873,1
44477,1
50517,1
215322,1
46864,1
15479,1
44932,1
40994,1
59886,1
12678,1
215402,1
30340,1
201706,1
60144,1
22878,1
43009,1
34119,1
38955,1
58212,1
60838,1
6724,1
328553,1
28755,1
210250,1
400797,1
18310,1
29302,1
53332,1
39239,1
138650,1
135905,1
63210,1
152880,1
9760,1
399358,1
2514,1
8361,1
133719,1
3208,1
41690,1
29222,1
213438,1
37069,1
23421,1
63362,1
51407,1
37936,1
13438,1
214390,1
27473,1
11281,1
135391,1
134926,1
13886,1
48040,1
22560,1
49127,1
59939,1
48763,1
15535,1
2665,1
63993,1
44009,1
43766,1
18779,1
51905,1
9123,1
42121,1
63240,1
52468,1
45352,1
136373,1
6327,1
52320,1
17984,1
8919,1
49287,1
396390,1
61568,1
29169,1
52167,1
45517,1
20764,1
2027,1
13786,1
51530,1
196753,1
64475,1
207841,1
270014,1
136620,1
5381,1
23520,1
48641,1
35360,1
7589,1
15958,1
2614,1
14016,1
35600,1
38726,1
1031,1
29049,1
36678,1
35598,1
264409,1
52025,1
50628,1
14537,1
205920,1
196763,1
10508,1
400513,1
208488,1
6738,1
19973,1
210432,1
15699,1
212216,1
60976,1
200666,1
56337,1
214618,1
400275,1
13627,1
209560,1
