asn,nb_hostnames
21664,3216
395747,1574
213120,851
131965,383
7684,305
2497,261
394507,228
9370,220
4694,195
394192,183
7506,165
38631,156
4713,145
2516,124
19551,120
8075,114
24282,93
9371,92
24256,90
17506,87
2518,81
9607,75
3457,63
23820,60
63210,57
33157,55
24572,55
2514,50
23816,47
131921,45
23824,42
37907,33
54994,30
4725,30
17511,27
2527,27
9605,25
55374,25
10006,24
9597,24
35540,20
132827,18
2510,18
9357,18
58791,17
15317,16
17686,16
7979,14
7524,14
31936,13
24161,13
131912,12
23576,12
42532,12
45090,12
37963,12
139341,11
10010,11
62567,11
2635,10
23620,10
63293,10
4685,9
131972,9
17693,9
12640,9
39572,8
14907,8
17514,8
59092,8
7677,7
139468,7
58793,7
59692,7
206264,7
131932,7
14853,7
36420,6
4686,6
9760,6
7690,6
7671,6
2907,6
7516,6
63199,6
24284,6
18263,6
10021,6
32903,6
9764,6
38369,5
14340,5
38633,5
214455,5
23661,5
131106,5
53667,5
2513,5
38365,5
18068,4
7522,4
18126,4
32780,4
133795,4
7668,4
64437,4
9311,4
53850,4
132496,3
131942,3
7514,3
10015,3
60781,3
37897,3
4680,3
37936,3
23338,3
6698,3
33387,3
6427,3
4711,3
18081,3
4693,3
213232,3
51430,2
6496,2
7682,2
9688,2
31586,2
7503,2
9993,2
23720,2
7941,2
30148,2
26347,2
200651,2
46475,2
3844,2
9952,2
397273,2
55388,2
45382,2
17931,2
33191,2
7678,2
7670,2
24278,2
42567,2
55387,2
5761,2
10480,2
50989,2
49714,2
44534,2
131896,2
9600,2
38643,2
131930,2
18310,2
140290,2
26666,2
395458,2
10753,2
49287,2
47422,2
23784,2
60068,2
24280,2
18088,1
7676,1
37898,1
398256,1
55900,1
23807,1
141995,1
215467,1
11831,1
62243,1
32097,1
2500,1
58540,1
4721,1
51852,1
6185,1
9376,1
59524,1
215859,1
136190,1
135054,1
38019,1
4837,1
63993,1
393689,1
24611,1
38462,1
18134,1
7511,1
206804,1
55894,1
17025,1
50482,1
63240,1
52468,1
45352,1
136373,1
6327,1
37662,1
41722,1
52320,1
62768,1
12956,1
17984,1
9015,1
19782,1
328137,1
61568,1
29169,1
200039,1
132045,1
20764,1
137409,1
2027,1
19653,1
13786,1
51530,1
196753,1
24482,1
24600,1
28320,1
64475,1
6762,1
207841,1
270014,1
44684,1
18881,1
35589,1
23520,1
56696,1
48641,1
35360,1
8708,1
7589,1
17668,1
132337,1
15958,1
2614,1
14016,1
15605,1
28398,1
35600,1
19422,1
38726,1
1031,1
29049,1
4134,1
35598,1
1916,1
264409,1
52025,1
50628,1
14537,1
8195,1
205920,1
328832,1
6057,1
263945,1
15802,1
205762,1
65115,1
23637,1
35280,1
18276,1
46440,1
396356,1
49981,1
19969,1
17961,1
131966,1
205585,1
216047,1
32338,1
131160,1
54288,1
17680,1
39832,1
200508,1
58061,1
18070,1
40824,1
55385,1
44901,1
17689,1
46606,1
393874,1
9353,1
10016,1
396986,1
150436,1
215300,1
401200,1
45370,1
131073,1
36459,1
215402,1
63779,1
45894,1
18266,1
40021,1
4675,1
8560,1
13442,1
204548,1
38627,1
7529,1
44932,1
9601,1
62068,1
399358,1
9999,1
139057,1
199443,1
7203,1
214390,1
151386,1
140766,1
38731,1
18268,1
55897,1
49612,1
11281,1
33083,1
26042,1
23776,1
22612,1
37916,1
17940,1
10013,1
44907,1
41690,1
200325,1
2506,1
12322,1
48326,1
63777,1
61210,1
202425,1
35916,1
42422,1
18182,1
18144,1
17516,1
18097,1
18072,1
