asn,nb_hostnames
395747,3852
21664,1230
213120,546
394507,439
36914,362
394192,242
204915,216
62567,181
8075,164
33771,164
215859,141
35540,137
22612,103
28753,102
19551,90
141995,89
329184,67
328847,60
39572,56
26496,48
46606,43
56696,43
204800,40
214455,36
2635,35
37963,34
133795,32
30994,31
15808,30
31936,28
63293,26
55293,23
36866,23
30148,22
26666,22
60781,21
329278,20
14555,20
14441,20
202492,16
3457,16
14853,16
397849,15
328089,15
37219,15
60068,15
54641,15
38369,14
200325,14
37100,14
53824,14
139144,14
14907,13
197540,12
7979,12
57344,12
40824,12
12322,11
215740,11
59692,11
52148,11
37684,11
40021,10
8560,10
36420,9
37153,9
6698,9
49287,8
44907,8
395092,8
58294,8
6496,8
26347,8
53667,8
12178,8
9129,8
395458,8
12556,7
33387,7
10753,7
15317,7
139341,7
54290,7
46844,7
54994,7
401200,7
199524,7
35425,7
24600,7
13442,6
3920,6
48254,6
329026,6
200019,6
398256,6
58061,6
202425,6
36915,6
49025,6
47422,6
18945,5
49612,5
44901,5
61317,5
329272,5
34931,5
52130,5
62068,5
44009,5
133210,5
135360,5
50989,5
200449,5
10480,5
16907,5
397273,5
27589,5
328832,5
36080,5
22720,5
17668,5
400104,4
45090,4
46864,4
198993,4
328174,4
329341,4
4258,4
41000,4
200039,4
5761,4
17025,4
50482,4
37662,4
41722,4
62768,4
12956,4
328137,4
137409,4
19653,4
24482,4
28320,4
6762,4
18881,4
8708,4
132337,4
15605,4
28398,4
19422,4
3844,4
4134,4
1916,4
8195,4
6057,4
263945,4
6185,4
64437,4
51852,4
215322,4
213232,4
15802,4
199218,4
47002,3
36459,3
204548,3
150078,3
14466,3
202816,3
39832,3
215300,3
12678,3
51013,3
3387,3
37156,3
328225,3
31586,3
37166,3
48729,3
29066,3
51468,3
7941,3
13830,3
63240,3
52468,3
45352,3
136373,3
6327,3
52320,3
17984,3
9015,3
19782,3
61568,3
29169,3
132045,3
20764,3
2027,3
13786,3
51530,3
196753,3
64475,3
207841,3
270014,3
44684,3
35589,3
23520,3
48641,3
35360,3
7589,3
15958,3
2614,3
14016,3
35600,3
38726,3
1031,3
29049,3
35598,3
264409,3
52025,3
50628,3
14537,3
205920,3
12640,3
210250,3
329504,3
56898,3
17289,3
16032,2
60526,2
327977,2
21787,2
34309,2
58487,2
37679,2
327972,2
24971,2
16839,2
37311,2
214124,2
23576,2
786,2
30340,2
8987,2
200195,2
37535,2
29222,2
37109,2
42848,2
36975,2
15149,2
328862,2
48040,2
60230,2
216154,2
44534,2
49714,2
32338,2
36926,2
398787,2
50980,2
328149,2
328636,2
328989,2
329190,2
212531,2
19324,2
202053,2
196645,2
36352,2
24961,2
328978,2
63760,2
13030,2
6427,2
33191,2
199729,2
14315,2
37496,2
203639,2
198032,2
327766,2
328739,2
327753,2
34222,2
3768,2
196724,2
53755,2
7859,2
63993,2
142592,2
41441,2
28673,2
5377,2
37179,2
37315,2
33157,2
23522,2
150436,2
200000,2
329424,2
140641,2
8739,2
56322,2
201200,2
394432,2
9764,2
4738,1
7684,1
14472,1
35258,1
38913,1
136252,1
32903,1
18229,1
59601,1
202521,1
12993,1
135222,1
132224,1
9009,1
210275,1
13037,1
46981,1
61098,1
35908,1
101,1
3311,1
399358,1
399250,1
49582,1
401764,1
49981,1
40062,1
26277,1
214390,1
11281,1
21581,1
58010,1
35280,1
213438,1
