asn,nb_hostnames
395747,2686
21664,422
213120,315
61976,291
57724,289
394192,225
59684,199
198610,197
16276,196
215859,187
394507,186
29182,170
49352,157
9123,151
59467,145
12997,140
204601,122
207728,117
58061,113
39160,103
39572,102
62567,102
210656,74
60781,70
13238,65
49714,65
8511,62
49981,59
43298,58
5545,57
12764,55
8075,51
201706,50
210079,50
59692,50
207970,50
44256,49
52000,44
200532,42
37963,38
201499,36
200019,34
14907,32
48040,32
49665,32
31936,30
50482,30
205312,30
210756,29
52214,29
211381,28
207208,27
56694,27
204915,26
60144,26
6697,25
44112,24
40824,24
44310,23
8920,23
197119,22
44696,22
39659,22
8193,22
50251,21
44128,21
12322,20
47782,20
216139,19
32338,19
214455,19
63293,18
29061,17
39819,17
199867,17
7979,17
216206,16
38369,16
29066,16
141995,16
56341,16
204039,16
48287,16
42240,16
19551,15
62082,15
39134,15
206407,15
213173,15
210976,15
210644,15
42745,14
24961,14
200449,14
207369,14
59939,14
25532,14
206980,13
50223,13
41329,13
45090,13
211642,13
44812,12
44094,12
58521,12
30818,12
41722,11
59601,11
45001,11
202492,11
44477,11
204343,11
26496,11
139341,10
48282,10
30968,10
51898,9
51852,9
35425,9
62243,9
214744,9
211612,9
44907,9
208795,9
49287,9
60922,8
201512,8
60330,8
61400,8
205954,8
204770,8
50979,8
14576,7
12555,7
206264,7
22612,7
48729,7
133795,6
46606,6
212490,6
200325,6
26666,6
3223,6
48684,6
44901,6
2635,6
199524,6
14853,6
57304,6
7203,6
48018,5
205516,5
202425,5
8069,5
139144,5
197482,5
64437,5
39214,5
213780,5
215300,5
60357,5
212136,5
207250,5
53667,5
50448,5
208450,5
48096,5
197553,5
205865,5
17668,5
41976,5
60602,4
216071,4
28753,4
57352,4
47577,4
48614,4
34702,4
14956,4
58112,4
212531,4
33837,4
25393,4
36420,4
206871,4
27589,4
203087,4
42581,4
200000,4
200044,4
20848,4
212409,4
54994,4
48271,4
6185,4
213887,4
47522,4
44836,4
59796,4
205696,4
211522,4
201186,4
200487,4
6698,4
3920,4
215498,4
30058,4
52130,4
25035,4
204706,4
214881,4
44343,4
34858,4
197686,4
17025,4
395458,4
24600,4
53824,4
47111,4
9764,4
48988,3
3457,3
205634,3
200590,3
35916,3
39678,3
42632,3
44386,3
8856,3
200904,3
42837,3
34665,3
4837,3
56898,3
202984,3
41271,3
51248,3
24971,3
206817,3
17841,3
34147,3
9009,3
51520,3
33993,3
212792,3
212441,3
214653,3
23352,3
21051,3
47846,3
62160,3
9121,3
207362,3
209030,3
206026,3
49675,3
57580,3
216475,3
207104,3
214927,3
213166,3
55293,3
199669,3
25106,3
209361,3
3844,3
28398,3
18881,3
12956,3
263945,3
328832,3
8195,3
10753,3
6057,3
62768,3
132337,3
19653,3
6762,3
328137,3
28320,3
6496,3
37662,3
15605,3
19422,3
56696,3
1916,3
15549,3
50113,3
61424,3
131138,3
42121,3
24572,2
65535,2
34222,2
58143,2
16262,2
62068,2
7941,2
31629,2
42179,2
201848,2
41077,2
208626,2
212264,2
43278,2
199729,2
44160,2
8901,2
44536,2
202696,2
39337,2
34931,2
401200,2
62563,2
204738,2
151373,2
33191,2
198770,2
140688,2
20919,2
47478,2
42567,2
214798,2
41798,2
8705,2
212860,2
210774,2
215402,2
23576,2
205567,2
29389,2
215840,2
43362,2
50053,2
52167,2
204532,2
35104,2
30083,2
30148,2
61196,2
31492,2
137409,2
48757,2
43647,2
46844,2
62005,2
202090,2
201012,2
50516,2
43037,2
206351,2
207569,2
201119,2
42216,2
15699,2
56851,2
3387,2
51787,2
61251,2
138650,2
12365,2
34662,2
43048,2
214856,2
60526,2
61306,2
56464,2
24482,2
200784,2
47524,2
216154,2
398256,2
207027,2
57629,2
207304,2
50214,2
12993,2
199218,2
35673,2
393299,2
32494,2
201106,2
14117,2
13030,2
1273,2
61049,2
61573,2
8231,2
48571,2
8529,2
64126,2
1000,2
131073,2
18377,2
6939,2
262427,2
37251,2
327788,2
132602,2
9730,2
51011,2
207809,2
20661,2
43247,2
51905,2
213737,2
214822,2
34619,2
204846,2
42532,2
49392,2
212872,2
12543,2
204424,2
204450,2
212189,1
47995,1
35680,1
9707,1
44670,1
57487,1
44359,1
60580,1
50341,1
206805,1
2852,1
44653,1
50313,1
213051,1
201498,1
56872,1
36131,1
134542,1
400104,1
400940,1
42910,1
54641,1
42772,1
213912,1
8515,1
201916,1
28917,1
205701,1
205216,1
59504,1
213995,1
49693,1
50980,1
60651,1
42834,1
204800,1
399358,1
48254,1
201744,1
48719,1
43773,1
211971,1
147303,1
43896,1
35594,1
49380,1
34211,1
57363,1
198178,1
4258,1
202594,1
203714,1
211922,1
60515,1
59627,1
43882,1
49791,1
30455,1
57251,1
60721,1
50474,1
210390,1
60527,1
41745,1
22169,1
52012,1
48753,1
24611,1
23816,1
198913,1
41075,1
201936,1
393874,1
148000,1
41409,1
56864,1
58010,1
62222,1
12525,1
399629,1
30475,1
35576,1
13442,1
9059,1
205125,1
61210,1
46469,1
51625,1
9842,1
213220,1
215845,1
31586,1
23470,1
57530,1
23421,1
31059,1
12739,1
139057,1
5761,1
53332,1
56631,1
198972,1
209445,1
201589,1
49127,1
56669,1
61276,1
43060,1
42849,1
52201,1
201664,1
20545,1
18310,1
44066,1
55081,1
216358,1
204198,1
41111,1
61098,1
63993,1
216127,1
53755,1
51200,1
44880,1
25292,1
206515,1
150078,1
58031,1
47890,1
197229,1
199236,1
35080,1
30904,1
6724,1
51740,1
44704,1
41892,1
49273,1
61308,1
61280,1
209847,1
43680,1
39032,1
44803,1
8847,1
59712,1
29097,1
8517,1
14441,1
27176,1
29141,1
12678,1
203444,1
48760,1
137280,1
205559,1
210544,1
21001,1
4835,1
198348,1
3465,1
15685,1
212913,1
45420,1
22720,1
202656,1
44868,1
21245,1
142592,1
41007,1
56128,1
201781,1
12178,1
42422,1
9752,1
11281,1
63199,1
8440,1
31200,1
133024,1
10480,1
36459,1
211413,1
133777,1
6769,1
57271,1
207986,1
56897,1
32903,1
59840,1
210512,1
214280,1
203866,1
30853,1
12929,1
213877,1
198032,1
57570,1
209918,1
135391,1
21840,1
202053,1
58210,1
210734,1
204338,1
209684,1
56988,1
56038,1
201200,1
200788,1
10929,1
52184,1
50090,1
200083,1
34309,1
11106,1
3361,1
41619,1
200651,1
11878,1
44903,1
212247,1
29222,1
34754,1
201591,1
214390,1
208488,1
61293,1
41690,1
39036,1
198803,1
45753,1
37936,1
39392,1
205193,1
59711,1
48061,1
3058,1
207640,1
210403,1
10578,1
216047,1
64622,1
25032,1
397273,1
61272,1
44014,1
203639,1
51954,1
8441,1
30277,1
42072,1
397341,1
577,1
24676,1
57152,1
11807,1
12578,1
45409,1
62314,1
43641,1
49610,1
8369,1
208975,1
44820,1
48922,1
200195,1
213438,1
2514,1
63240,1
52468,1
45352,1
136373,1
6327,1
52320,1
17984,1
8919,1
396390,1
61568,1
29169,1
45517,1
20764,1
2027,1
13786,1
51530,1
196753,1
64475,1
207841,1
270014,1
136620,1
5381,1
23520,1
48641,1
35360,1
8708,1
7589,1
15958,1
2614,1
14016,1
35600,1
38726,1
1031,1
29049,1
36678,1
35598,1
264409,1
52025,1
50628,1
14537,1
205920,1
15802,1
42775,1
9524,1
24851,1
63362,1
206728,1
30361,1
51765,1
200107,1
18522,1
199922,1
396356,1
215730,1
42106,1
5386,1
42892,1
213717,1
137130,1
42656,1
3320,1
