asn,nb_hostnames
395747,5299
21664,1023
213120,516
394507,352
394192,281
62567,219
35540,130
39572,94
37963,90
204915,79
8075,64
139341,57
215859,54
38369,54
45090,44
54994,43
19551,39
214455,34
14907,33
31936,32
15317,30
7979,29
60068,29
133200,28
26496,27
63293,24
35280,23
131203,23
14853,21
23673,20
46606,20
135429,19
131178,19
200325,19
2635,18
133795,18
45898,18
6496,17
4837,17
18403,17
139144,17
395458,17
4134,17
13442,16
60781,16
45634,16
22612,16
47422,16
38365,15
135905,14
38623,14
141995,14
23576,13
59692,13
38731,13
30148,13
27589,13
7552,12
44907,12
131384,11
10753,11
137409,11
132599,11
58521,11
32338,11
134481,11
9760,11
24482,10
40824,10
4835,10
3844,9
328832,9
138341,9
24572,9
49287,9
38019,9
9764,9
140290,9
7712,8
17025,8
50482,8
63240,8
52468,8
45352,8
136373,8
6327,8
37662,8
41722,8
52320,8
62768,8
12956,8
17984,8
9015,8
19782,8
328137,8
61568,8
29169,8
200039,8
132045,8
20764,8
2027,8
19653,8
13786,8
51530,8
196753,8
24600,8
28320,8
64475,8
6762,8
207841,8
270014,8
44684,8
18881,8
35589,8
23520,8
56696,8
48641,8
35360,8
8708,8
7589,8
17668,8
132337,8
15958,8
2614,8
14016,8
15605,8
28398,8
35600,8
19422,8
38726,8
1031,8
29049,8
35598,8
1916,8
264409,8
52025,8
50628,8
14537,8
8195,8
205920,8
6057,8
263945,8
15802,8
23816,8
26666,8
58061,7
50989,7
36420,7
151373,7
135360,7
133210,7
14441,7
12178,7
8560,7
14555,7
6698,7
49714,6
44534,6
150436,6
49981,6
3457,6
149640,6
150078,6
401200,6
38631,6
6185,6
201106,6
135054,6
37936,5
131704,5
215300,5
7715,5
59253,5
49612,5
11878,5
63199,5
4808,5
40065,5
139057,5
9505,5
29066,5
53667,5
45753,5
25820,5
134543,5
204800,5
53824,4
207970,4
208770,4
204601,4
396986,4
7483,4
200019,4
147056,4
9009,4
17621,4
199524,4
9986,4
63760,4
18310,4
200449,4
152194,4
56898,4
137952,4
398256,4
134963,3
140688,3
64437,3
45544,3
45420,3
12322,3
131241,3
206264,3
24961,3
198032,3
56309,3
64050,3
7941,3
42567,3
399566,3
58424,3
38209,3
140766,3
28753,3
45894,3
17841,3
202492,3
6427,3
138160,3
7616,3
62243,3
10480,3
51852,3
48040,3
137539,3
7203,3
42532,3
9370,2
137537,2
9688,2
202425,2
51433,2
9930,2
54913,2
200651,2
3387,2
5761,2
9707,2
7859,2
136188,2
50980,2
14415,2
9440,2
4538,2
13830,2
397849,2
9371,2
34222,2
35425,2
131660,2
131447,2
24971,2
60144,2
40021,2
44477,2
55293,2
36459,2
202242,2
4694,2
215322,2
139456,2
55960,2
214618,2
52130,2
26042,2
2497,2
24211,2
45323,2
216154,2
133775,2
30058,2
8739,2
33191,2
139258,2
397273,2
23522,2
62563,2
38244,2
55532,2
23999,2
4792,2
23724,2
58465,2
215845,2
63139,2
58466,2
199218,2
36352,2
10929,2
34432,2
394432,2
133118,2
131659,2
20756,2
44066,1
147303,1
20546,1
18256,1
29222,1
59796,1
24455,1
150855,1
57088,1
131921,1
135380,1
46981,1
135423,1
55318,1
58540,1
2514,1
35179,1
9123,1
42730,1
7630,1
139880,1
41231,1
62068,1
59778,1
138152,1
35916,1
16061,1
20068,1
400754,1
131423,1
51894,1
27522,1
12064,1
215402,1
208488,1
149760,1
211922,1
24492,1
131392,1
55992,1
136191,1
58563,1
61098,1
26347,1
33387,1
52030,1
134688,1
393874,1
8796,1
15699,1
213232,1
135437,1
24611,1
40728,1
44136,1
63362,1
9129,1
202368,1
58487,1
135914,1
140985,1
56872,1
45945,1
131414,1
7506,1
273584,1
141201,1
8584,1
45712,1
8839,1
134346,1
58519,1
17992,1
137280,1
61144,1
131351,1
200928,1
56341,1
200514,1
9605,1
149656,1
4645,1
197019,1
212792,1
31577,1
205275,1
210579,1
146817,1
61976,1
61210,1
206980,1
147011,1
23693,1
216047,1
212490,1
58212,1
47384,1
11281,1
29091,1
56128,1
397423,1
59939,1
38881,1
23884,1
134238,1
60362,1
132730,1
142160,1
63521,1
7678,1
27647,1
50474,1
9952,1
44386,1
142052,1
136190,1
38296,1
38566,1
18779,1
131353,1
200532,1
36080,1
23824,1
6360,1
8069,1
46433,1
132200,1
150172,1
3920,1
7671,1
205762,1
65115,1
205193,1
53038,1
208128,1
17604,1
29221,1
48763,1
214308,1
136523,1
54288,1
210110,1
140762,1
200195,1
213438,1
44696,1
142594,1
63410,1
2907,1
63695,1
152301,1
263812,1
36850,1
20771,1
34619,1
28209,1
62755,1
11106,1
3361,1
21840,1
10122,1
9752,1
40994,1
18051,1
34655,1
131965,1
15149,1
53332,1
32097,1
139591,1
201744,1
149068,1
140801,1
198610,1
54290,1
55305,1
131429,1
27267,1
134402,1
10098,1
205373,1
42745,1
48254,1
132820,1
45370,1
52012,1
30818,1
28755,1
41690,1
63989,1
12678,1
140974,1
131640,1
31586,1
148000,1
135951,1
43128,1
400797,1
214319,1
215740,1
135387,1
45541,1
393689,1
131623,1
141190,1
10032,1
132046,1
135932,1
39292,1
135944,1
399358,1
13122,1
48614,1
48282,1
31178,1
198792,1
22720,1
15479,1
14824,1
59243,1
147168,1
10578,1
4800,1
37917,1
40509,1
18978,1
40850,1
206566,1
32780,1
214390,1
63835,1
137687,1
62082,1
49352,1
20740,1
198983,1
46475,1
207728,1
38042,1
