asn,nb_hostnames
395747,267
213120,65
21664,57
394507,45
39572,29
394192,25
62567,18
31936,14
7979,9
63293,8
8075,8
214455,6
215859,6
60781,6
55293,6
5545,5
37963,5
19551,5
16276,4
46606,3
133795,3
58521,3
58061,3
4738,3
14907,2
204915,2
38369,2
199524,2
4258,2
44907,2
139341,2
14853,2
135409,1
7941,1
11281,1
53755,1
23470,1
136921,1
51433,1
150078,1
34655,1
64437,1
19648,1
399937,1
133159,1
32338,1
55470,1
50980,1
24961,1
202425,1
22720,1
41690,1
398787,1
22560,1
24611,1
140688,1
200019,1
4865,1
12322,1
207970,1
53824,1
38544,1
36420,1
22612,1
54641,1
61976,1
54994,1
36459,1
9009,1
3457,1
40824,1
6185,1
59939,1
3920,1
33837,1
214390,1
208561,1
