asn,nb_hostnames
395747,653
213120,204
21664,171
394507,87
16276,57
394192,55
39572,44
62567,28
8075,24
31936,22
214455,17
19551,16
63293,15
215859,12
12322,12
204915,10
7979,10
14853,10
49981,8
2057,8
8839,7
54641,7
14907,7
60781,7
50474,7
133795,7
47846,6
12178,6
24600,6
8560,5
8228,5
38369,4
36939,4
29222,4
36420,4
139341,4
210403,4
28753,4
57633,4
44907,4
199729,3
54994,3
199524,3
53589,3
6185,3
5545,3
48703,3
200019,3
25117,3
37963,3
150078,3
8304,3
205461,2
202053,2
48744,2
39072,2
34863,2
60855,2
32338,2
139144,2
51888,2
214124,2
58061,2
34993,2
9009,2
30148,2
40699,2
216353,2
40824,2
4258,2
62068,2
50980,2
45666,2
41653,2
39239,1
207208,1
9159,1
34655,1
37002,1
39241,1
60550,1
12565,1
26496,1
49610,1
61098,1
212815,1
53824,1
211612,1
3457,1
55569,1
35744,1
39444,1
44696,1
140688,1
200356,1
4200000021,1
327712,1
205585,1
199167,1
208488,1
3920,1
13238,1
49714,1
208128,1
393874,1
55470,1
6496,1
59939,1
57724,1
37649,1
23576,1
210032,1
22612,1
7941,1
45090,1
22720,1
55293,1
210770,1
201085,1
53755,1
11807,1
51433,1
24611,1
64437,1
5761,1
13571,1
24961,1
21409,1
43311,1
41690,1
63410,1
202242,1
11281,1
8705,1
327905,1
200102,1
47760,1
36459,1
198792,1
29264,1
48809,1
199777,1
213232,1
60362,1
50517,1
56798,1
15703,1
23470,1
