asn,nb_hostnames
395747,444
213120,245
21664,199
394192,98
394507,82
8075,26
39572,22
62567,17
2635,12
14853,12
31936,11
214455,11
30148,10
40699,10
26496,10
63293,10
215859,8
204915,7
15699,6
19551,6
35540,5
7979,5
53824,5
133795,4
54641,4
50989,4
11139,4
46475,3
20264,3
5761,3
14907,3
6185,3
60781,3
52391,2
55033,2
44907,2
22194,2
6698,2
8001,2
8560,2
33265,2
215740,2
398402,2
200325,2
4258,2
7393,2
3728,2
46606,2
22720,2
60068,2
13601,1
58061,1
12092,1
40425,1
15685,1
41690,1
24611,1
48669,1
63362,1
54913,1
399566,1
32338,1
38913,1
26666,1
53332,1
208561,1
397849,1
26752,1
23470,1
24482,1
393874,1
46562,1
207809,1
30475,1
399358,1
54994,1
14992,1
48254,1
27264,1
4150,1
30600,1
7859,1
702,1
36420,1
19785,1
58722,1
50980,1
64437,1
6496,1
33664,1
27522,1
5639,1
27267,1
400797,1
60114,1
141995,1
22653,1
12178,1
7941,1
19225,1
36459,1
30109,1
200195,1
213438,1
8987,1
3387,1
59692,1
139341,1
27665,1
13767,1
48729,1
398787,1
34655,1
401200,1
11281,1
12640,1
62082,1
