asn,nb_hostnames
395747,2502
21664,1523
9760,1197
18310,543
23576,520
9688,393
213120,386
17841,216
394507,195
9764,152
45974,143
17604,101
38700,92
8075,85
394192,82
19551,63
38638,57
395458,56
204450,54
9952,52
45996,41
39572,40
17881,34
214455,34
16276,33
133795,33
9842,32
17668,31
328832,30
17589,30
17025,29
50482,29
37662,29
41722,29
10753,29
62768,29
12956,29
328137,29
19653,29
24600,29
28320,29
6762,29
18881,29
56696,29
132337,29
15605,29
28398,29
19422,29
3844,29
1916,29
8195,29
6496,29
6057,29
263945,29
49287,29
137409,28
24482,28
36678,28
63240,27
52468,27
45352,27
136373,27
6327,27
52320,27
17984,27
8919,27
396390,27
61568,27
29169,27
52167,27
45517,27
20764,27
2027,27
13786,27
51530,27
196753,27
64475,27
207841,27
270014,27
136620,27
5381,27
23520,27
48641,27
35360,27
8708,27
7589,27
15958,27
2614,27
14016,27
35600,27
38726,27
1031,27
29049,27
35598,27
264409,27
52025,27
50628,27
14537,27
205920,27
15802,27
9644,27
45985,25
3457,23
45370,23
9858,22
54994,22
9647,20
37963,20
31936,19
9530,19
17574,18
9578,18
62567,18
4792,17
45090,17
38369,16
152210,16
55615,16
38676,14
59692,13
14907,13
38107,12
9524,11
63293,11
9316,11
2635,10
55593,10
7979,10
204915,10
9767,9
9707,9
142005,9
9848,9
9638,9
14853,9
10167,8
60781,8
17579,8
215859,8
18300,8
10172,8
24572,8
23554,8
6698,8
46003,7
10035,7
131828,7
10160,7
139341,7
9684,7
53667,7
23816,7
10067,6
9860,6
131093,6
9452,6
9629,6
17833,6
9322,6
5545,6
1704,6
38661,6
63199,6
9320,6
131138,6
17862,5
10178,5
38424,5
9686,5
33837,5
9866,5
9274,5
45394,5
131817,5
17575,5
131810,5
18313,5
17859,5
9868,4
9870,4
7557,4
9970,4
17600,4
10073,4
10197,4
4665,4
17870,4
9459,4
18314,4
44907,4
9769,4
4694,4
9488,4
10049,4
23579,4
9706,4
23980,4
10183,4
38693,4
19973,4
10056,4
23601,4
151373,4
17580,4
6939,4
26496,4
38418,4
6185,4
38631,3
10159,3
202425,3
23587,3
38688,3
17878,3
9321,3
9529,3
55618,3
4664,3
9691,3
3813,3
45409,3
9974,3
38692,3
18176,3
7506,3
4961,3
131965,3
45408,3
17592,3
46000,3
9457,3
64437,3
10055,3
131799,3
46010,3
23820,3
16848,3
9843,3
17858,3
23908,3
45753,3
65146,3
10052,3
9960,3
63210,3
4669,3
10036,3
30148,3
37936,3
38420,3
18330,3
211612,3
131890,3
10061,3
199524,2
7616,2
138160,2
45382,2
142594,2
9572,2
30058,2
135905,2
9958,2
9370,2
17584,2
