asn,nb_hostnames
395747,5223
21664,1032
213120,766
394507,298
394192,217
204915,176
8075,158
35540,111
39572,102
215859,94
62567,82
15317,57
21050,56
26496,55
7979,45
19551,44
214455,36
60781,35
3225,33
31936,30
30148,30
6412,27
42961,26
148000,26
63293,25
22612,24
141995,24
2635,23
3457,23
37963,23
395458,23
14907,21
40824,21
139341,20
9155,19
46606,18
201378,18
37728,17
14441,15
59692,15
27589,14
14853,14
53824,11
63932,11
133795,11
38369,11
10753,11
12178,11
54641,11
17668,11
62068,10
36420,10
54994,10
397849,10
6496,10
9829,10
60068,10
29357,10
19905,9
202425,9
58061,9
35280,9
55293,9
8560,8
32338,8
328832,8
24600,8
47422,8
13442,7
25242,7
26347,7
200019,7
17025,7
50482,7
37662,7
41722,7
62768,7
12956,7
328137,7
19653,7
28320,7
6762,7
18881,7
56696,7
132337,7
15605,7
28398,7
19422,7
3844,7
1916,7
8195,7
6057,7
263945,7
49714,7
44534,7
3920,7
207208,7
26666,7
9730,7
133037,6
64437,6
50989,6
18229,6
203147,6
216014,6
56898,6
200325,6
206879,6
8960,6
44907,6
139144,6
398256,6
199729,6
204800,6
22720,6
205554,5
49981,5
46844,5
51433,5
213397,5
45644,5
45090,5
132045,5
137409,5
24482,5
12322,5
132420,5
51905,5
48254,5
41890,5
45845,5
131173,5
43080,5
6427,5
49287,5
6185,5
6698,4
42567,4
211922,4
33182,4
215300,4
10480,4
211381,4
138341,4
63240,4
52468,4
45352,4
136373,4
6327,4
52320,4
17984,4
9015,4
19782,4
61568,4
29169,4
200039,4
20764,4
2027,4
13786,4
51530,4
196753,4
64475,4
207841,4
270014,4
44684,4
35589,4
23520,4
48641,4
35360,4
8708,4
7589,4
15958,4
2614,4
14016,4
35600,4
38726,4
1031,4
29049,4
4134,4
35598,4
264409,4
52025,4
50628,4
14537,4
205920,4
15802,4
205585,4
7544,4
40699,4
24736,4
36080,4
131223,4
62243,4
133185,4
29066,4
139256,4
57714,4
210275,4
393299,4
32494,4
201106,4
14117,4
49665,4
13030,4
1273,4
61049,4
61573,4
8231,4
48571,4
8529,4
64126,4
1000,4
131073,4
18377,4
262427,4
37251,4
329356,4
132602,4
199524,4
199218,4
19324,3
132224,3
135222,3
49676,3
58521,3
3387,3
53976,3
200449,3
206264,3
35425,3
140641,3
207970,3
2561,3
136762,3
11878,3
52148,3
59253,3
204367,3
202368,3
199616,3
29029,3
40009,3
29256,3
202053,3
211942,3
214124,3
12357,3
40021,3
7941,3
5761,3
204770,3
9583,3
53667,3
14466,3
49612,3
62370,3
61976,3
201768,3
213232,3
51625,2
138233,2
15149,2
137130,2
200000,2
42848,2
6127,2
33157,2
2571,2
41077,2
48434,2
56341,2
200928,2
212216,2
8069,2
14824,2
197540,2
204638,2
33191,2
8705,2
53850,2
24863,2
47524,2
61323,2
394695,2
786,2
204206,2
34369,2
23752,2
28885,2
198019,2
60248,2
4775,2
9752,2
24971,2
197553,2
24961,2
32903,2
16060,2
46475,2
13830,2
134888,2
132680,2
32097,2
17436,2
132193,2
51852,2
134251,2
61144,2
43641,2
23470,2
61102,2
36352,2
23576,2
141504,2
31458,2
137978,2
147303,2
56753,2
200195,2
34400,2
197019,2
42532,2
9764,2
132335,1
63760,1
17813,1
134909,1
43009,1
41576,1
204544,1
53332,1
38799,1
50010,1
61210,1
216071,1
63410,1
45894,1
29992,1
30818,1
136531,1
200651,1
45829,1
204050,1
134963,1
45773,1
400940,1
5182,1
135205,1
49610,1
133477,1
44386,1
60661,1
25122,1
38365,1
39651,1
328174,1
59467,1
27267,1
43766,1
394094,1
137104,1
8361,1
64422,1
211904,1
23522,1
42337,1
7633,1
202414,1
55106,1
139237,1
206980,1
7859,1
5974,1
133854,1
215206,1
37069,1
138650,1
207304,1
19969,1
40244,1
214744,1
64049,1
43955,1
23352,1
39134,1
28673,1
23784,1
45925,1
36992,1
8312,1
59441,1
393689,1
212422,1
3768,1
38224,1
38955,1
132557,1
200428,1
14315,1
51304,1
198610,1
29757,1
40651,1
59939,1
198792,1
44477,1
138767,1
207569,1
149528,1
210245,1
201684,1
26042,1
202521,1
135086,1
48729,1
49352,1
208710,1
16557,1
22653,1
205762,1
65115,1
33387,1
16161,1
139016,1
30083,1
135423,1
22560,1
30340,1
398493,1
204034,1
48109,1
215740,1
48763,1
203976,1
140708,1
47846,1
19973,1
397273,1
3188,1
53930,1
215845,1
202917,1
212792,1
397423,1
202024,1
207728,1
138358,1
35656,1
141477,1
35258,1
31276,1
59323,1
27264,1
4150,1
30600,1
196763,1
18209,1
9121,1
59796,1
196645,1
36483,1
57088,1
38180,1
9927,1
45664,1
14113,1
136324,1
34222,1
55720,1
131341,1
58487,1
149588,1
20264,1
133666,1
25576,1
214640,1
63444,1
208161,1
13041,1
216395,1
137670,1
12929,1
215322,1
400797,1
13627,1
47442,1
47589,1
141518,1
13984,1
197816,1
150436,1
11281,1
147314,1
328553,1
44932,1
9230,1
399358,1
133256,1
133430,1
58153,1
30058,1
205373,1
141388,1
56872,1
201744,1
24572,1
35179,1
18222,1
132717,1
56655,1
209349,1
36459,1
42684,1
394437,1
45221,1
24611,1
28753,1
58294,1
214390,1
216154,1
131283,1
12678,1
141004,1
50980,1
136252,1
7203,1
56680,1
202492,1
205193,1
215713,1
206672,1
53589,1
208488,1
22169,1
1897,1
327766,1
29684,1
134926,1
50517,1
393874,1
215402,1
23674,1
30995,1
198032,1
213438,1
141177,1
62633,1
50090,1
29091,1
63362,1
399250,1
209752,1
1625,1
24757,1
18522,1
41690,1
211394,1
13601,1
200851,1
2665,1
132779,1
137854,1
39560,1
150078,1
