asn,nb_hostnames
395747,805
213120,428
21664,396
394192,178
394507,160
62567,72
8075,54
2635,37
39572,31
6639,21
19551,20
401200,19
14853,18
63293,14
16276,14
26496,14
214455,13
204915,12
31936,11
133795,9
211612,9
215859,9
3457,8
7979,7
200325,7
46606,7
36420,5
8560,5
60781,5
14907,5
18945,4
397849,4
63410,4
5545,4
35425,3
5761,3
27653,3
44907,3
30148,3
22612,3
213232,3
6185,3
7203,3
4258,2
33191,2
30689,2
12178,2
27647,2
26666,2
215322,2
21744,2
132193,2
54994,2
30277,2
54641,2
7941,2
29222,2
36057,2
48254,2
62856,2
30109,2
40824,2
22720,2
19324,2
33837,2
3387,2
13601,2
18738,2
14113,2
53824,2
48669,1
55293,1
400797,1
23470,1
61144,1
36080,1
204800,1
64437,1
214685,1
398787,1
7859,1
16204,1
22194,1
12641,1
10753,1
46475,1
400754,1
63362,1
40244,1
27264,1
4150,1
30600,1
131283,1
139144,1
36459,1
393689,1
215740,1
12488,1
31727,1
15685,1
30340,1
398413,1
208561,1
200195,1
213438,1
6698,1
31742,1
53359,1
14955,1
13859,1
24611,1
9752,1
55017,1
62082,1
9009,1
32338,1
21345,1
50980,1
14441,1
38369,1
22049,1
26752,1
394303,1
41690,1
399250,1
58061,1
200019,1
55033,1
34655,1
15146,1
8014,1
16437,1
214390,1
22306,1
55081,1
7544,1
2665,1
199524,1
12640,1
30606,1
22653,1
9059,1
24482,1
205434,1
26347,1
205373,1
10292,1
33265,1
59692,1
45644,1
138341,1
18229,1
393874,1
61969,1
206264,1
11281,1
399358,1
19969,1
14340,1
48729,1
398402,1
33664,1
53332,1
