asn,nb_hostnames
395747,2305
44256,662
50482,489
200532,424
21664,329
61976,264
213120,255
57724,216
394192,182
215859,176
16276,168
59467,150
394507,146
9123,137
207728,135
29182,132
58061,121
49352,117
62567,100
198610,98
204601,97
214744,93
39572,87
197686,84
210656,69
35104,66
203087,63
13238,61
49714,61
41798,56
43298,55
49981,53
201706,53
60781,49
59692,48
207970,45
210079,44
208795,43
8075,43
205516,41
5545,41
200590,40
200019,40
49665,40
206026,38
210756,36
52000,36
48040,35
214455,31
207208,31
205312,28
17668,27
44310,25
37963,25
32338,24
6697,24
15549,24
395458,24
41722,22
48096,22
206980,21
19551,20
14907,20
48282,20
211381,20
204770,20
200449,19
8195,19
10753,18
60144,18
63293,18
44696,18
17025,18
24600,18
42532,18
12322,17
3844,17
28398,17
18881,17
12956,17
263945,17
328832,17
6057,17
62768,17
132337,17
19653,17
6762,17
328137,17
28320,17
6496,17
37662,17
15605,17
19422,17
56696,17
1916,17
56694,17
35673,17
204039,17
9009,16
30818,16
211642,16
7979,15
31936,15
24961,15
50979,15
42447,14
56341,14
42745,14
216206,14
211971,14
59939,14
211612,14
40824,14
204450,14
42240,14
204738,13
29066,13
201499,13
206407,13
8920,13
6939,12
44128,12
44477,12
199867,12
49791,12
51852,12
200325,12
45090,12
208450,11
39134,11
28753,10
393299,10
32494,10
201106,10
14117,10
13030,10
1273,10
61049,10
61573,10
8231,10
48571,10
8529,10
64126,10
1000,10
131073,10
18377,10
262427,10
37251,10
327788,10
132602,10
9730,10
58033,10
211644,10
212189,10
44112,10
210644,10
57304,10
399629,9
8720,9
44094,9
59796,9
25548,9
44907,9
200000,9
207304,9
201512,9
199524,9
30968,9
210976,8
49089,8
204343,8
8193,8
35598,8
214379,8
61400,8
41007,8
44812,8
198200,8
25532,8
38369,8
48684,8
62005,8
62243,8
48988,8
52167,8
24482,8
49287,8
48729,8
48287,8
204915,7
216475,7
52130,7
14956,7
44386,7
29355,7
3223,7
43994,7
201186,7
63240,7
52468,7
45352,7
136373,7
6327,7
52320,7
17984,7
8919,7
396390,7
61568,7
29169,7
45517,7
20764,7
137409,7
2027,7
13786,7
51530,7
196753,7
64475,7
207841,7
270014,7
136620,7
5381,7
23520,7
48641,7
35360,7
8708,7
7589,7
15958,7
2614,7
14016,7
35600,7
38726,7
1031,7
29049,7
36678,7
264409,7
52025,7
50628,7
14537,7
205920,7
15802,7
60922,7
214927,7
214856,7
12555,6
14576,6
206264,6
141995,6
21051,6
35425,6
54994,6
207809,6
39824,6
65535,6
44901,6
204706,6
34665,5
216071,5
8200,5
58521,5
27589,5
50214,5
209665,5
201817,5
48502,5
42632,5
60330,5
214789,5
41419,5
139341,5
64437,5
44653,5
60602,5
197482,5
62082,5
207507,5
205865,5
202492,5
212136,5
6656,5
61424,5
59601,4
2635,4
208356,4
34702,4
210459,4
6185,4
205696,4
398256,4
47577,4
207362,4
6698,4
205559,4
139144,4
202425,4
200067,4
48018,4
215040,4
206871,4
50756,4
50448,4
203886,4
14853,4
12543,4
7203,4
26496,4
215300,3
199669,3
8393,3
46606,3
41520,3
207640,3
151373,3
33993,3
201664,3
47890,3
61306,3
205954,3
51248,3
48614,3
211553,3
61280,3
215670,3
209030,3
61185,3
20848,3
55293,3
216154,3
51520,3
139057,3
34222,3
47522,3
58112,3
200904,3
39433,3
205634,3
203139,3
214881,3
213887,3
213146,3
30058,3
57352,3
396356,3
213166,3
34619,3
25393,3
47111,3
33664,3
200487,2
8069,2
42910,2
5567,2
4837,2
34147,2
206728,2
138341,2
216139,2
205667,2
20661,2
42676,2
216014,2
197487,2
43641,2
206817,2
51340,2
31525,2
53824,2
200044,2
14441,2
200662,2
208626,2
202053,2
28917,2
57013,2
43647,2
212490,2
44066,2
213048,2
42216,2
13442,2
29581,2
60906,2
57375,2
47478,2
33837,2
17841,2
208664,2
207569,2
216202,2
29147,2
215840,2
215094,2
51219,2
198803,2
205762,2
9760,2
133795,2
62160,2
214653,2
22612,2
33191,2
8856,2
62563,2
204804,2
204514,2
209361,2
211522,2
200349,2
39160,2
201012,2
12993,2
42179,2
16262,2
214798,2
202696,2
198483,2
202090,2
64622,2
53667,2
7941,2
26666,2
213737,2
214822,2
39392,2
50113,2
140224,2
201200,2
49392,2
204424,2
57570,2
212872,2
9764,2
12578,2
13830,1
51309,1
3325,1
31629,1
51200,1
42323,1
49380,1
34211,1
56864,1
58010,1
9688,1
43267,1
21282,1
41976,1
14824,1
35326,1
30475,1
131659,1
62255,1
62222,1
215360,1
205585,1
204159,1
62382,1
43362,1
131366,1
56631,1
43948,1
43934,1
48719,1
12488,1
34662,1
131138,1
201179,1
43581,1
34920,1
60580,1
41413,1
48757,1
204848,1
198972,1
33797,1
154054,1
63199,1
24683,1
41075,1
213995,1
59840,1
212264,1
205682,1
56851,1
200784,1
203714,1
8705,1
200195,1
213438,1
29141,1
61969,1
63993,1
2514,1
201848,1
142592,1
211000,1
203755,1
207056,1
8312,1
30083,1
213780,1
397341,1
15817,1
49675,1
39560,1
23421,1
3457,1
11878,1
212422,1
26347,1
43060,1
8515,1
198062,1
201119,1
9752,1
31345,1
202594,1
208488,1
15699,1
202614,1
56740,1
51954,1
3920,1
42972,1
59684,1
56568,1
49070,1
201511,1
37936,1
57580,1
65115,1
2607,1
42442,1
39678,1
64466,1
208677,1
43215,1
50341,1
50474,1
200107,1
215540,1
207027,1
49604,1
41441,1
44932,1
41329,1
209684,1
212913,1
209416,1
42474,1
59371,1
5761,1
24971,1
50038,1
202984,1
25258,1
44030,1
41202,1
43048,1
12678,1
211112,1
15493,1
59627,1
214279,1
23576,1
394432,1
47524,1
3387,1
214500,1
5528,1
393874,1
209847,1
35080,1
60591,1
43278,1
61210,1
30148,1
204846,1
210512,1
29389,1
44868,1
42775,1
20649,1
201589,1
9059,1
207416,1
48061,1
44820,1
20545,1
32632,1
64999,1
210390,1
31200,1
51011,1
39510,1
44670,1
61251,1
197553,1
215402,1
50313,1
44880,1
46844,1
207104,1
44014,1
36420,1
40728,1
6724,1
200083,1
29555,1
49273,1
54641,1
35168,1
57530,1
201498,1
47995,1
203444,1
63362,1
25106,1
43247,1
215845,1
24572,1
59504,1
58172,1
57251,1
60691,1
41619,1
50053,1
205567,1
8440,1
211806,1
199236,1
48763,1
201094,1
57466,1
44704,1
52201,1
205216,1
40699,1
57088,1
205193,1
29226,1
6799,1
204720,1
207713,1
213877,1
208656,1
136891,1
8369,1
45420,1
58210,1
205820,1
41690,1
36459,1
57826,1
215730,1
24611,1
12997,1
42849,1
57629,1
206192,1
11281,1
202656,1
212247,1
42422,1
24676,1
138650,1
51765,1
44803,1
25349,1
48753,1
56384,1
59711,1
211028,1
52184,1
40509,1
399358,1
201744,1
205125,1
212441,1
200651,1
214461,1
44903,1
138995,1
199274,1
5386,1
50090,1
54801,1
12365,1
394625,1
213220,1
197309,1
35794,1
48271,1
58143,1
198178,1
