asn,nb_hostnames
395747,5399
21664,802
213120,452
394507,434
394192,262
62567,154
39572,136
16276,126
37963,91
204915,81
149640,74
8075,63
215859,56
5545,50
19551,49
38369,47
7979,45
32338,44
31936,41
139341,38
214455,37
9873,35
45090,33
14907,32
63293,31
54994,30
131267,29
26496,26
60781,25
135905,24
22612,24
40824,24
45898,23
58955,22
14853,22
27589,20
18403,19
131392,19
139591,19
395458,19
55508,18
204450,18
13442,17
134481,17
7715,17
9760,16
58521,16
139144,16
211612,16
133795,15
6496,14
132513,14
23884,14
10226,14
23576,14
10753,13
30148,12
137409,12
38731,12
56067,12
36678,12
7616,12
9764,12
24482,11
328832,11
58061,11
138341,11
17668,11
56309,10
17025,10
50482,10
37662,10
41722,10
62768,10
12956,10
328137,10
19653,10
24600,10
28320,10
6762,10
18881,10
56696,10
132337,10
15605,10
28398,10
19422,10
3844,10
1916,10
8195,10
6057,10
263945,10
150078,10
49287,10
131138,10
141995,10
63240,9
52468,9
45352,9
136373,9
6327,9
52320,9
17984,9
8919,9
396390,9
61568,9
29169,9
52167,9
45517,9
20764,9
2027,9
13786,9
51530,9
196753,9
64475,9
207841,9
270014,9
136620,9
5381,9
23520,9
48641,9
35360,9
8708,9
7589,9
15958,9
2614,9
14016,9
35600,9
38726,9
1031,9
29049,9
35598,9
264409,9
52025,9
50628,9
14537,9
205920,9
15802,9
44907,9
55293,9
46606,9
24572,9
2635,9
59692,9
131447,8
23816,8
38296,8
38019,7
42567,7
151373,7
49714,7
13238,7
53667,7
49981,7
33837,7
201106,7
140290,7
4837,6
26666,6
214124,6
215300,6
150436,6
62243,6
38631,6
401200,6
47846,6
64437,6
9009,6
6698,6
199524,6
23724,5
36420,5
63139,5
207970,5
140631,5
8560,5
18310,5
4808,5
20068,5
137905,5
12322,5
200325,5
56898,5
14441,5
153730,5
4835,5
17841,4
59253,4
57724,4
9688,4
27647,4
9505,4
138160,4
200449,4
139057,4
200019,4
202425,4
12178,4
136523,4
131965,4
6939,4
6185,4
7203,4
7552,3
8839,3
140688,3
40850,3
8796,3
23999,3
30475,3
396986,3
140766,3
4762,3
45544,3
3457,3
45894,3
206264,3
28753,3
29066,3
14576,3
135566,3
38244,3
204601,3
133210,3
135360,3
60144,3
131472,3
131704,3
63199,3
135054,3
199218,3
398256,3
21840,3
48040,3
136995,3
394432,3
7941,2
149146,2
135912,2
44477,2
131423,2
212490,2
56341,2
202492,2
24971,2
35280,2
9370,2
139011,2
33191,2
134402,2
5761,2
23900,2
207728,2
62068,2
24961,2
273584,2
53824,2
135918,2
150172,2
23352,2
131429,2
63760,2
30058,2
23673,2
211922,2
48254,2
51852,2
4792,2
131921,2
51278,2
400754,2
399566,2
131353,2
4694,2
63210,2
200000,2
138156,2
139456,2
63473,2
18362,2
34432,2
7506,2
45328,2
131384,2
59467,2
202242,2
24154,2
61976,2
50980,2
133752,2
36459,2
131460,2
55808,2
53850,2
27267,2
20756,2
213232,2
36352,2
42240,2
136959,1
137539,1
397273,1
45474,1
48763,1
7630,1
198792,1
274483,1
36057,1
9858,1
200928,1
9707,1
140641,1
38623,1
131111,1
23969,1
134963,1
9629,1
35179,1
37936,1
131603,1
208128,1
136191,1
58563,1
23421,1
137235,1
31715,1
135391,1
57633,1
131414,1
400797,1
34619,1
198610,1
39686,1
44433,1
23824,1
400940,1
9150,1
139880,1
26277,1
17561,1
41653,1
4129,1
59774,1
30361,1
11281,1
147176,1
9607,1
134240,1
9371,1
215740,1
23820,1
132866,1
37917,1
15967,1
202368,1
208770,1
135290,1
52580,1
197540,1
399358,1
138152,1
62217,1
36080,1
7684,1
3920,1
55306,1
15699,1
18450,1
56872,1
214165,1
204800,1
40065,1
132644,1
39392,1
199867,1
214390,1
216154,1
54290,1
8739,1
12678,1
208561,1
136190,1
57088,1
25820,1
211757,1
61210,1
203976,1
55514,1
200195,1
213438,1
212216,1
6656,1
28209,1
58153,1
61306,1
