asn,nb_hostnames
395747,4985
21664,865
213120,670
394507,350
394192,283
35540,201
204915,188
215859,142
39572,139
8075,133
62567,96
60781,67
26496,64
9051,56
15317,53
31936,45
46606,43
22612,42
141995,40
40824,39
214455,37
42003,35
19551,34
14907,28
133795,27
2635,27
27589,26
7979,25
32338,24
3457,24
37963,24
63293,23
53824,23
12322,21
38369,20
26666,19
47846,19
39010,19
59692,18
10297,18
8560,18
14441,18
53667,17
14853,16
29066,15
55293,14
61976,14
204800,14
139341,13
60068,13
30148,13
36420,12
200019,12
62068,11
199643,11
12812,10
49981,10
49612,10
12178,10
54641,10
6698,10
400754,9
42567,9
58061,9
401200,8
200325,8
44907,8
64437,7
50989,7
215300,7
207208,7
202425,7
214124,7
206472,7
2057,7
45090,7
17668,7
13442,6
216014,6
49714,6
44534,6
137,6
56898,6
29222,6
44009,6
8839,6
203586,6
139144,6
397849,6
6496,6
48729,6
8195,6
6185,6
213232,6
215740,5
10480,5
33387,5
9121,5
46844,5
31126,5
28753,5
36080,5
207728,5
328832,5
58521,5
36352,5
395458,5
24600,5
40021,4
34222,4
51433,4
52148,4
60524,4
9009,4
44901,4
62243,4
32903,4
46475,4
399566,4
57633,4
51248,4
3844,4
28398,4
18881,4
12956,4
263945,4
10753,4
6057,4
62768,4
17025,4
132337,4
19653,4
6762,4
328137,4
41722,4
28320,4
37662,4
6427,4
15605,4
19422,4
56696,4
1916,4
50482,4
215322,4
204770,4
204601,4
29256,4
207970,4
398256,4
54994,4
206264,4
33157,4
199524,4
26347,3
5761,3
62563,3
14555,3
19969,3
211922,3
30818,3
35425,3
7859,3
42532,3
30340,3
205585,3
7203,3
50980,3
202492,3
393299,3
32494,3
201106,3
14117,3
49665,3
13030,3
1273,3
61049,3
61573,3
8231,3
48571,3
8529,3
64126,3
1000,3
131073,3
18377,3
262427,3
37251,3
329356,3
132602,3
9730,3
47701,3
61102,3
200449,3
8708,3
138341,3
197674,3
32780,3
7941,3
3920,3
57513,3
14576,3
38999,3
3387,3
15802,3
199218,3
215206,2
51888,2
202024,2
53850,2
27647,2
6724,2
21840,2
139057,2
210770,2
39241,2
39072,2
29169,2
44477,2
133719,2
150436,2
138650,2
33191,2
44880,2
965,2
56655,2
27223,2
151373,2
199758,2
397273,2
50979,2
2665,2
36459,2
8705,2
33260,2
8228,2
11807,2
202053,2
200651,2
46562,2
15149,2
24634,2
47524,2
57352,2
19324,2
36666,2
48434,2
201744,2
24971,2
60144,2
202368,2
12678,2
1625,2
206980,2
198610,2
216154,2
150078,2
31586,2
19973,2
43641,2
35280,2
24961,2
12129,2
32097,2
137409,2
24482,2
212792,2
63760,2
212531,2
23576,2
14824,2
30277,2
15699,2
199729,2
24863,2
50041,2
34699,2
15318,2
59989,2
200195,2
198993,2
197540,2
5631,2
42240,2
9764,2
49287,2
47422,2
20756,2
56872,1
6738,1
59939,1
28977,1
197019,1
39686,1
210403,1
22878,1
48140,1
10578,1
4258,1
48270,1
197696,1
44672,1
211611,1
198203,1
135575,1
395092,1
198032,1
22653,1
36850,1
31577,1
212490,1
212422,1
147168,1
20546,1
786,1
208161,1
41441,1
207569,1
202242,1
43211,1
8312,1
60922,1
50769,1
13041,1
212552,1
30475,1
133024,1
199669,1
13830,1
208353,1
65207,1
397423,1
44310,1
395412,1
14361,1
6810,1
200784,1
60248,1
64999,1
32632,1
45420,1
10122,1
63444,1
57687,1
199973,1
35179,1
19905,1
8304,1
40699,1
57580,1
49676,1
34369,1
33182,1
133050,1
59451,1
204544,1
207809,1
48815,1
205435,1
202521,1
202917,1
35258,1
197562,1
206648,1
18905,1
37936,1
63410,1
137978,1
8960,1
212216,1
50332,1
39104,1
147303,1
208710,1
205461,1
10954,1
204206,1
9159,1
34309,1
42868,1
22194,1
206169,1
400797,1
14472,1
40651,1
48703,1
26752,1
24982,1
216139,1
204429,1
24611,1
215845,1
15685,1
41956,1
44932,1
9123,1
41077,1
49352,1
34741,1
59467,1
202561,1
202816,1
39825,1
8473,1
61098,1
59524,1
39275,1
132885,1
41653,1
34993,1
29182,1
214618,1
51468,1
200514,1
213205,1
29099,1
62144,1
16839,1
205193,1
48763,1
50233,1
200554,1
34119,1
34458,1
34655,1
393874,1
18229,1
41068,1
63240,1
52468,1
45352,1
136373,1
6327,1
52320,1
17984,1
9015,1
19782,1
61568,1
200039,1
132045,1
20764,1
2027,1
13786,1
51530,1
196753,1
64475,1
207841,1
270014,1
44684,1
35589,1
23520,1
48641,1
35360,1
7589,1
15958,1
2614,1
14016,1
35600,1
38726,1
1031,1
29049,1
4134,1
35598,1
264409,1
52025,1
50628,1
14537,1
205920,1
376,1
201012,1
58212,1
60114,1
6352,1
39444,1
214390,1
28178,1
29302,1
42334,1
56337,1
206197,1
63210,1
51852,1
47447,1
42845,1
394303,1
41833,1
7684,1
142592,1
44979,1
50517,1
201768,1
50722,1
210275,1
10508,1
205762,1
65115,1
36818,1
399358,1
47195,1
13601,1
48847,1
