asn,nb_hostnames
395747,1317
213120,497
21664,480
394192,224
394507,183
8075,60
62567,50
39572,47
2635,35
31936,27
7979,25
16276,25
215859,25
204915,23
46606,20
214455,18
14853,18
15344,17
19551,17
63293,16
26496,16
14441,10
30148,10
22612,9
133795,8
5545,7
8560,7
36057,6
12178,6
200325,6
215740,6
26666,6
211612,6
40824,6
14907,5
53824,5
59692,5
36420,5
33837,5
33265,5
54641,5
15699,4
36352,4
3457,4
398787,4
5761,4
60781,4
6496,4
58061,4
6698,4
55033,4
10753,4
9009,3
141995,3
7941,3
6185,3
199524,3
44907,3
214124,3
38369,3
401200,3
37963,3
54994,3
22878,3
45090,2
786,2
24482,2
200019,2
7859,2
50980,2
4258,2
23576,2
51852,2
398256,2
206264,2
34655,2
19720,2
26347,2
49714,2
13238,2
40021,2
32632,2
27647,2
22720,2
8839,2
19225,2
64437,2
38913,2
56898,2
10480,2
400754,2
27589,2
31727,2
137409,2
30109,2
13601,2
33191,2
395458,2
204450,2
204800,2
27653,2
20033,2
2514,1
13830,1
24282,1
27264,1
4150,1
30600,1
23470,1
2665,1
394303,1
200195,1
213438,1
6939,1
53303,1
44160,1
3920,1
139341,1
43641,1
11139,1
36459,1
22194,1
36066,1
25697,1
197540,1
51905,1
30475,1
52148,1
63362,1
33512,1
14813,1
25117,1
62082,1
46475,1
23421,1
48669,1
46864,1
30361,1
398743,1
12641,1
30599,1
40539,1
62243,1
63410,1
24971,1
41690,1
44477,1
39896,1
32338,1
397849,1
36080,1
702,1
208561,1
202425,1
61144,1
46562,1
13450,1
39239,1
17025,1
50482,1
63240,1
52468,1
45352,1
136373,1
6327,1
37662,1
41722,1
52320,1
62768,1
12956,1
17984,1
8919,1
49287,1
396390,1
328137,1
61568,1
29169,1
52167,1
45517,1
20764,1
2027,1
19653,1
13786,1
51530,1
196753,1
24600,1
28320,1
64475,1
6762,1
207841,1
270014,1
136620,1
18881,1
5381,1
23520,1
56696,1
48641,1
35360,1
8708,1
7589,1
17668,1
132337,1
15958,1
2614,1
14016,1
15605,1
28398,1
35600,1
19422,1
38726,1
1031,1
3844,1
29049,1
36678,1
35598,1
1916,1
264409,1
52025,1
50628,1
14537,1
8195,1
205920,1
328832,1
6057,1
263945,1
15802,1
51468,1
4872,1
5639,1
3387,1
44009,1
399358,1
207970,1
45894,1
11281,1
48252,1
23352,1
27665,1
9123,1
210976,1
399250,1
14824,1
18945,1
22653,1
60114,1
9059,1
10578,1
9752,1
31586,1
14745,1
61969,1
62856,1
21345,1
26752,1
13442,1
24611,1
397961,1
398402,1
33664,1
214390,1
53332,1
60592,1
400797,1
393874,1
48729,1
393689,1
28067,1
61976,1
13438,1
133050,1
34309,1
7203,1
205373,1
