asn,nb_hostnames
395747,267
213120,208
21664,187
394507,70
394192,45
215859,41
8075,32
199193,16
696,16
5403,15
34788,14
205762,14
29097,13
8560,10
47302,9
29691,9
48038,9
2635,9
62567,9
25581,8
14907,8
63293,7
200386,6
24898,6
31936,6
31052,5
15796,5
198249,5
31424,5
35206,5
34309,4
12306,4
20546,4
28834,4
35540,4
9100,4
206478,4
44066,4
14853,4
197540,4
29222,3
29166,3
44880,3
8231,3
20634,3
33845,3
39572,3
5761,3
50198,3
26496,3
12511,2
5385,2
42312,2
48314,2
20560,2
207143,2
201011,2
15532,2
214455,2
8839,2
15955,2
25011,2
203412,2
8692,2
34960,2
24956,2
202405,2
205377,2
44907,2
41549,2
39210,2
9025,2
47447,2
21413,2
133795,2
202908,2
19551,2
17668,2
43211,1
49130,1
44133,1
12640,1
198385,1
34798,1
25563,1
11281,1
65115,1
49714,1
44534,1
60059,1
393299,1
32494,1
3844,1
201106,1
14117,1
49665,1
13030,1
28398,1
1273,1
61049,1
61573,1
18881,1
12956,1
48571,1
263945,1
8529,1
64126,1
328832,1
8195,1
10753,1
6057,1
62768,1
17025,1
395458,1
132337,1
19653,1
1000,1
6762,1
131073,1
328137,1
41722,1
28320,1
6496,1
18377,1
37662,1
6427,1
24600,1
262427,1
37251,1
15605,1
19422,1
56696,1
329356,1
1916,1
132602,1
50482,1
9730,1
58010,1
42389,1
60781,1
57169,1
35396,1
39040,1
35507,1
206775,1
16111,1
16075,1
208316,1
24611,1
43183,1
49014,1
15398,1
36459,1
393874,1
24949,1
29389,1
204544,1
64437,1
6724,1
205948,1
206662,1
43415,1
48857,1
211864,1
13284,1
25598,1
41690,1
44599,1
62354,1
30818,1
25516,1
197664,1
7941,1
30961,1
31736,1
48339,1
214060,1
12322,1
28838,1
33157,1
24676,1
6185,1
50474,1
47161,1
7979,1
50837,1
29014,1
198694,1
42442,1
8469,1
208813,1
39478,1
210274,1
35280,1
44932,1
8422,1
61098,1
201111,1
60550,1
59692,1
3209,1
50624,1
207139,1
200596,1
60068,1
58061,1
49642,1
208500,1
209257,1
15456,1
24868,1
12347,1
213232,1
