asn,nb_hostnames
395747,4313
21664,1043
213120,571
394507,443
204915,285
131173,240
38229,225
394192,203
8075,143
62567,142
39572,116
215859,114
16276,113
22612,92
19551,92
132124,76
65200,73
46606,67
26496,56
5545,53
30148,50
45517,47
40824,46
141995,46
55293,40
37963,36
31936,35
214455,34
2635,34
397373,33
10480,28
14441,28
26666,26
27589,26
54641,25
3457,24
63293,23
14907,22
60781,22
133795,21
45338,18
35280,18
204800,18
139144,17
52148,16
33182,16
53824,16
7979,15
59692,15
213232,15
38369,14
202492,13
32338,13
14853,13
26347,12
132680,12
30277,12
211612,11
58061,10
12322,10
35916,9
202425,9
58521,9
12178,9
398256,9
56898,8
54994,8
395458,8
34119,7
44907,7
59253,7
64437,7
397849,7
57724,7
58294,7
8560,7
139341,7
200019,7
49981,7
49287,7
7203,7
36066,6
63993,6
200325,6
63410,6
60144,6
55532,6
36420,6
6496,6
45090,6
53667,6
786,6
33837,6
10753,6
6698,6
204450,6
11041,5
29066,5
400275,5
397273,5
328832,5
13442,5
215300,5
17668,5
17470,5
24482,4
45356,4
138341,4
400754,4
394695,4
204601,4
54456,4
153563,4
24572,4
53850,4
7859,4
24961,4
137409,4
14555,4
36459,4
3844,4
28398,4
18881,4
12956,4
263945,4
8195,4
6057,4
62768,4
17025,4
132337,4
19653,4
6762,4
328137,4
41722,4
28320,4
37662,4
24600,4
15605,4
19422,4
56696,4
1916,4
50482,4
13238,4
49714,4
216014,4
52167,4
48254,4
15802,4
132420,3
207970,3
27647,3
207728,3
50980,3
211922,3
200651,3
23816,3
215740,3
200449,3
17841,3
139057,3
43641,3
62068,3
398787,3
62243,3
215960,3
6185,3
26832,3
214124,3
22560,3
46844,3
198032,3
28753,3
5761,3
63240,3
52468,3
45352,3
136373,3
6327,3
52320,3
17984,3
8919,3
396390,3
61568,3
29169,3
20764,3
2027,3
13786,3
51530,3
196753,3
64475,3
207841,3
270014,3
136620,3
5381,3
23520,3
48641,3
35360,3
8708,3
7589,3
15958,3
2614,3
14016,3
35600,3
38726,3
1031,3
29049,3
36678,3
35598,3
264409,3
52025,3
50628,3
14537,3
205920,3
206264,3
134926,3
7941,3
9829,3
36080,3
42567,3
61976,3
57344,2
18310,2
33322,2
24971,2
8069,2
13830,2
134824,2
40699,2
31577,2
9730,2
14315,2
199524,2
201936,2
14576,2
49683,2
47846,2
397423,2
40021,2
45753,2
4258,2
216154,2
58487,2
3387,2
51852,2
207809,2
26277,2
139731,2
18229,2
133050,2
42848,2
4694,2
30083,2
6939,2
23421,2
51468,2
53303,2
132224,2
135222,2
32780,2
7658,2
2514,2
4764,2
19969,2
9707,2
33191,2
38544,2
205193,2
150078,2
41441,2
198993,2
393689,2
215845,2
3920,2
44477,2
58182,2
23576,2
134963,2
27223,2
200195,2
34931,2
22720,2
9764,2
197019,2
48040,2
22653,1
60885,1
45894,1
59467,1
36850,1
8312,1
49610,1
36352,1
62755,1
31586,1
2665,1
8523,1
9752,1
9605,1
202656,1
44386,1
45634,1
201755,1
38185,1
54288,1
46475,1
393874,1
25649,1
136934,1
132943,1
15535,1
201744,1
63068,1
14113,1
133096,1
59774,1
39029,1
58212,1
45420,1
57687,1
151373,1
12678,1
133719,1
200000,1
35593,1
398493,1
135905,1
61323,1
39134,1
202053,1
200928,1
56341,1
212792,1
207481,1
61144,1
15982,1
202024,1
59524,1
198792,1
8960,1
4738,1
205762,1
65115,1
62016,1
39686,1
208096,1
20523,1
211942,1
393299,1
32494,1
201106,1
14117,1
49665,1
13030,1
1273,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
37251,1
327788,1
132602,1
42745,1
51905,1
135030,1
33664,1
9760,1
24611,1
207143,1
45213,1
197540,1
394230,1
52012,1
38617,1
30961,1
9370,1
141518,1
11281,1
211864,1
41690,1
399566,1
215402,1
199729,1
9986,1
199218,1
30058,1
42532,1
60362,1
8739,1
40244,1
14415,1
33676,1
205373,1
28917,1
201706,1
34222,1
12824,1
3320,1
37936,1
200107,1
212531,1
31727,1
43037,1
58062,1
53332,1
8001,1
49352,1
34920,1
23352,1
213166,1
3768,1
142592,1
30340,1
148000,1
30475,1
41231,1
15479,1
131704,1
27473,1
2832,1
46864,1
9009,1
12488,1
214390,1
38623,1
198913,1
17477,1
150436,1
63362,1
11507,1
9607,1
9505,1
12929,1
35425,1
134022,1
13767,1
213438,1
3311,1
205435,1
56872,1
39560,1
12641,1
399250,1
203417,1
48763,1
210275,1
35179,1
40009,1
399358,1
10439,1
2497,1
131392,1
137,1
965,1
51433,1
215206,1
50517,1
152194,1
55286,1
204720,1
198610,1
18945,1
131603,1
44901,1
14466,1
138233,1
31080,1
63760,1
55106,1
30081,1
56111,1
135377,1
49127,1
214618,1
26042,1
395092,1
