asn,nb_hostnames
395747,1948
21664,669
213120,441
394507,321
394192,225
8075,94
62567,87
204915,81
39572,66
215859,61
22612,45
16276,40
2635,35
214455,35
31936,29
63293,27
19551,26
62563,22
26496,22
47846,21
7979,20
12178,18
37963,18
60781,17
46606,15
26666,15
133795,15
14853,15
38369,14
14907,12
58061,9
141995,9
8560,9
58294,8
202492,8
40824,8
36420,7
215846,7
3457,7
44907,7
40021,6
27589,6
139341,6
150078,6
55293,6
5545,6
211612,6
5761,5
30148,5
8288,5
52130,5
47002,5
23352,5
6185,5
6496,5
19648,5
204436,5
54641,5
199524,5
54994,4
45090,4
44009,4
329023,4
42848,4
13442,4
200325,4
401200,4
49981,4
37203,4
64437,4
55470,4
9009,4
10753,4
37153,4
14441,4
24600,4
22720,4
31586,3
49714,3
13238,3
37313,3
60230,3
55960,3
33837,3
53824,3
56898,3
151373,3
202425,3
26347,3
205435,3
397849,3
397423,3
3920,3
37010,3
398256,3
786,3
7941,3
12322,3
204800,3
62068,2
14340,2
38185,2
4738,2
14415,2
26277,2
328252,2
328595,2
29066,2
4258,2
199729,2
133210,2
135360,2
34655,2
10480,2
46475,2
50980,2
202053,2
14472,2
2018,2
28753,2
397273,2
216154,2
36459,2
3387,2
200000,2
197642,2
8705,2
200019,2
198993,2
43927,2
203639,2
59939,2
62243,2
204601,2
49287,2
35425,2
15817,2
328832,2
200449,2
32338,2
47524,2
139144,2
52148,2
11807,2
36678,2
14315,2
55688,2
12843,2
395458,2
204450,2
36850,1
46864,1
400940,1
18945,1
53332,1
25697,1
40539,1
19181,1
394432,1
208176,1
9688,1
17352,1
7859,1
8517,1
24757,1
35280,1
142592,1
41690,1
55569,1
57344,1
39134,1
9059,1
23522,1
43641,1
8262,1
57687,1
2665,1
48254,1
9371,1
53303,1
206264,1
24961,1
58182,1
2611,1
12064,1
214390,1
328196,1
398017,1
393689,1
207208,1
44477,1
139057,1
9730,1
9752,1
59692,1
62856,1
131283,1
14466,1
48729,1
398743,1
54801,1
211922,1
150436,1
51433,1
147168,1
25145,1
45644,1
393874,1
60144,1
214685,1
13830,1
57152,1
17363,1
61144,1
51392,1
29614,1
30988,1
37350,1
51859,1
202368,1
53667,1
399358,1
24971,1
8739,1
59796,1
11281,1
63362,1
29571,1
61098,1
40651,1
398787,1
400797,1
215322,1
399250,1
200195,1
213438,1
6698,1
136165,1
329184,1
33265,1
51970,1
37094,1
7506,1
50474,1
200928,1
56341,1
32780,1
51894,1
15318,1
215300,1
17025,1
50482,1
63240,1
52468,1
45352,1
136373,1
6327,1
37662,1
41722,1
52320,1
62768,1
12956,1
17984,1
8919,1
396390,1
328137,1
61568,1
29169,1
52167,1
45517,1
20764,1
137409,1
2027,1
19653,1
13786,1
51530,1
196753,1
24482,1
28320,1
64475,1
6762,1
207841,1
270014,1
136620,1
18881,1
5381,1
23520,1
56696,1
48641,1
35360,1
8708,1
7589,1
17668,1
132337,1
15958,1
2614,1
14016,1
15605,1
28398,1
35600,1
19422,1
38726,1
1031,1
3844,1
29049,1
35598,1
1916,1
264409,1
52025,1
50628,1
14537,1
8195,1
205920,1
6057,1
263945,1
15802,1
22653,1
30961,1
395092,1
7040,1
30361,1
31727,1
395532,1
208561,1
15430,1
43948,1
395501,1
12678,1
28834,1
15699,1
150172,1
205762,1
137718,1
4835,1
36080,1
210250,1
8523,1
34119,1
205585,1
46844,1
61976,1
57724,1
45894,1
36963,1
12996,1
44160,1
56851,1
140290,1
132856,1
17561,1
24611,1
58487,1
21245,1
18905,1
63410,1
198610,1
48669,1
140688,1
399566,1
19853,1
25820,1
400754,1
37074,1
30083,1
207970,1
13438,1
61969,1
14555,1
208488,1
199867,1
34222,1
199218,1
214744,1
28839,1
50517,1
328174,1
30986,1
