asn,nb_hostnames
395747,1960
21664,630
213120,396
394507,264
394192,221
8075,106
37153,77
204915,74
62567,58
215859,57
39572,51
2635,34
33767,34
35540,33
19551,31
214455,31
31936,24
63293,24
7979,23
133795,22
2018,21
37611,19
53824,16
22612,15
12258,14
26496,14
14853,13
327979,12
141995,12
47846,12
12178,11
36982,10
55293,10
329184,10
139144,9
199524,9
36943,8
60781,8
58294,8
37963,8
40021,8
30148,8
40824,8
14441,7
38369,7
46606,7
12322,7
37501,6
26666,6
14907,6
328037,6
36420,6
23352,5
200325,5
28753,5
44907,5
60068,5
24600,5
328064,4
25695,4
27589,4
37394,4
213232,4
50989,4
6185,4
15317,4
202425,4
139341,4
5761,4
20264,4
37251,4
10753,4
9129,4
10480,3
14466,3
7941,3
37642,3
214124,3
328513,3
397849,3
54994,3
37028,3
6496,3
398256,3
198993,3
53667,3
3223,3
202492,3
31586,3
200449,3
8094,3
210250,3
200019,3
56696,3
8195,3
6698,3
205072,2
198032,2
14315,2
36459,2
60144,2
51852,2
328723,2
328633,2
56898,2
54641,2
30961,2
57344,2
198610,2
3920,2
37130,2
9009,2
37311,2
13442,2
35425,2
329206,2
59692,2
37604,2
52130,2
23470,2
33387,2
328170,2
27647,2
46864,2
29066,2
4258,2
63410,2
53755,2
328832,2
136557,2
328174,2
44534,2
49714,2
60897,2
26347,2
15149,2
33191,2
14555,2
133210,2
135360,2
22720,2
17668,2
393689,1
61976,1
62856,1
400797,1
44160,1
32338,1
3768,1
133050,1
32298,1
34888,1
53332,1
33873,1
34119,1
44009,1
400940,1
61144,1
394432,1
142592,1
399250,1
40539,1
17363,1
60230,1
37542,1
12678,1
39239,1
4872,1
141518,1
200514,1
50980,1
4738,1
207970,1
398743,1
131429,1
18905,1
328882,1
395092,1
55470,1
207809,1
134691,1
48669,1
37520,1
207208,1
44477,1
31617,1
329301,1
202656,1
60114,1
62243,1
47002,1
329166,1
55688,1
397273,1
199218,1
51433,1
58182,1
14115,1
49025,1
137409,1
24482,1
64437,1
18522,1
37179,1
14340,1
397423,1
38185,1
62082,1
215300,1
12641,1
204800,1
22653,1
15699,1
37441,1
58487,1
49287,1
40509,1
28810,1
59939,1
39134,1
36850,1
11281,1
133096,1
25709,1
37100,1
32632,1
18945,1
202368,1
62248,1
34342,1
18742,1
36874,1
37532,1
33182,1
26277,1
46981,1
9752,1
10798,1
214390,1
37515,1
24961,1
7859,1
4764,1
58153,1
33781,1
208561,1
43641,1
329523,1
136165,1
399358,1
15318,1
200000,1
62068,1
9930,1
46475,1
328350,1
63362,1
24971,1
400513,1
53850,1
215740,1
51468,1
11105,1
328417,1
216154,1
49612,1
328172,1
57,1
45420,1
394695,1
58061,1
132856,1
35387,1
202961,1
52148,1
14988,1
61969,1
202521,1
203639,1
13830,1
9760,1
203976,1
38719,1
393874,1
147168,1
7040,1
205585,1
16839,1
148000,1
36352,1
200195,1
213438,1
150078,1
3457,1
138341,1
214677,1
41690,1
42400,1
34222,1
12640,1
32780,1
197540,1
206264,1
208488,1
393299,1
32494,1
3844,1
201106,1
14117,1
49665,1
13030,1
28398,1
1273,1
61049,1
61573,1
18881,1
12956,1
8231,1
48571,1
263945,1
8529,1
64126,1
6057,1
62768,1
17025,1
395458,1
132337,1
19653,1
1000,1
6762,1
131073,1
328137,1
41722,1
28320,1
18377,1
37662,1
6427,1
262427,1
15605,1
19422,1
329356,1
1916,1
132602,1
50482,1
9730,1
48729,1
24611,1
329042,1
