asn,nb_hostnames
395747,3571
212531,1619
204915,574
21664,508
213120,369
42657,222
215859,198
394507,187
394192,174
16276,142
61272,130
42979,124
51172,106
8075,83
6769,82
61976,69
62567,67
201201,52
39572,51
49604,48
57724,45
58061,41
51107,34
59467,32
31936,30
207728,28
207970,25
14907,25
49352,25
6697,24
60781,23
59692,23
49981,21
19551,21
204601,21
214455,19
199527,19
29182,18
205688,17
63293,16
201959,16
64407,15
49665,14
9123,14
204770,14
13238,13
49714,13
141995,13
12929,13
5545,13
14853,13
2635,12
12993,12
61053,12
40824,12
21412,11
210656,11
12578,11
44696,10
42849,10
210756,9
200019,9
44310,9
47352,9
48040,9
48760,9
39134,8
60330,8
52130,8
198610,8
33837,8
42774,8
30818,8
12322,8
395458,8
204450,8
19905,7
44477,7
211381,7
39651,7
51852,7
15419,7
34857,7
211612,7
26496,7
42656,7
43108,6
133795,6
41722,6
6496,6
26666,6
56413,6
34222,6
202425,6
8560,6
201706,6
12525,6
7979,6
31080,6
204039,6
5381,6
50482,5
10753,5
52167,5
24482,5
328832,5
25190,5
44901,5
200325,5
207785,5
47341,5
47195,5
24645,5
29066,5
206980,5
24961,5
6698,5
62243,5
25106,5
210079,5
56694,4
17025,4
63240,4
52468,4
45352,4
136373,4
6327,4
37662,4
52320,4
62768,4
12956,4
17984,4
8919,4
49287,4
396390,4
328137,4
61568,4
29169,4
45517,4
20764,4
137409,4
2027,4
19653,4
13786,4
51530,4
196753,4
24600,4
28320,4
64475,4
6762,4
207841,4
270014,4
136620,4
18881,4
23520,4
56696,4
48641,4
35360,4
8708,4
7589,4
17668,4
132337,4
15958,4
2614,4
14016,4
15605,4
28398,4
35600,4
19422,4
38726,4
1031,4
3844,4
29049,4
36678,4
35598,4
1916,4
264409,4
52025,4
50628,4
14537,4
8195,4
205920,4
6057,4
263945,4
15802,4
202521,4
32338,4
27647,4
203446,4
43298,4
42181,4
56682,4
44907,4
212136,4
24607,4
205312,4
200449,4
199524,4
204487,4
51605,4
59821,4
34342,4
53667,4
205696,4
34120,4
46606,4
20546,4
42179,4
211336,4
42240,4
205865,3
64437,3
14441,3
202090,3
8535,3
8856,3
211642,3
50065,3
200088,3
15685,3
61189,3
50448,3
42848,3
62260,3
213232,3
62160,3
25393,3
42532,3
199867,3
198547,3
27589,3
43948,3
48282,3
59939,3
50256,3
29345,3
14956,3
205820,3
34702,3
8920,3
7203,3
24852,3
210644,3
202816,2
44521,2
57352,2
60602,2
31586,2
201012,2
214308,2
12824,2
34735,2
25234,2
28753,2
199218,2
51013,2
213737,2
64999,2
32632,2
211187,2
61306,2
6793,2
30961,2
206264,2
47890,2
211922,2
61400,2
201906,2
29600,2
210976,2
23576,2
203444,2
56898,2
60144,2
207208,2
44112,2
200651,2
200000,2
7941,2
16262,2
197540,2
214813,2
215740,2
201737,2
54994,2
196752,2
46475,2
215300,2
48348,2
51278,2
60114,2
25532,2
42567,2
200195,2
198627,2
44880,2
53824,2
3320,2
64421,2
43682,2
61091,2
216071,2
48314,2
47544,2
12743,2
207325,2
16279,2
57108,2
47577,2
34309,2
31345,2
36420,2
3457,2
14824,2
44386,2
57058,2
61210,2
39007,2
42194,2
15967,2
48729,2
214744,2
37963,2
19969,2
62082,2
33993,2
30148,2
201512,2
212422,2
10480,2
48425,2
201499,2
24971,2
5761,2
60922,2
48287,2
50979,2
12178,2
202696,1
31114,1
59796,1
44128,1
5386,1
22720,1
16282,1
43896,1
7859,1
33083,1
21051,1
39020,1
60550,1
6185,1
131659,1
34989,1
21211,1
35787,1
21581,1
202635,1
7393,1
51468,1
395162,1
42380,1
35680,1
30109,1
201744,1
8739,1
205948,1
12997,1
207304,1
197616,1
205686,1
43247,1
62428,1
205216,1
57580,1
62068,1
49127,1
204343,1
5528,1
44066,1
35634,1
399647,1
205193,1
41690,1
12555,1
38369,1
56341,1
35704,1
59504,1
23421,1
200979,1
48428,1
14466,1
208795,1
15688,1
48559,1
43028,1
205125,1
8312,1
59524,1
56828,1
20846,1
29091,1
45090,1
209847,1
42649,1
51802,1
42775,1
200532,1
399566,1
202448,1
215402,1
42422,1
48018,1
3209,1
197553,1
43627,1
61098,1
211768,1
205585,1
29208,1
205373,1
44932,1
51954,1
51577,1
212490,1
214822,1
3330,1
207707,1
15396,1
206728,1
53332,1
33922,1
57530,1
8193,1
6656,1
208119,1
216475,1
393689,1
199800,1
27267,1
134963,1
41701,1
26347,1
47609,1
55293,1
9371,1
36459,1
200904,1
51936,1
393874,1
203417,1
56864,1
58010,1
35337,1
42681,1
24909,1
205544,1
197816,1
213220,1
43091,1
53755,1
14744,1
42632,1
399358,1
196724,1
12437,1
50313,1
16182,1
213438,1
12543,1
8440,1
207362,1
44433,1
14315,1
212853,1
12678,1
50980,1
51586,1
59601,1
208712,1
51497,1
