asn,nb_hostnames
395747,3120
21664,1216
213120,1216
35540,423
394192,353
394507,340
215859,265
8075,218
25094,89
39572,78
2602,71
50474,65
12322,62
26496,61
19551,58
62567,58
8560,57
6661,54
205585,48
14907,47
30961,46
2635,44
29222,44
9008,43
31936,37
34788,33
60068,31
204800,31
51433,30
60781,29
14853,29
24600,29
15317,28
59692,26
2611,24
204915,23
24611,23
40824,22
6656,20
214455,20
47447,19
28753,18
30148,18
58061,18
13088,18
8657,18
20546,17
31586,17
49612,17
5577,17
1897,16
200325,16
15817,16
63293,16
25117,15
207970,15
197692,15
7979,15
59467,14
34432,14
34309,13
44534,13
49714,13
12640,13
31080,13
61976,13
28604,12
202368,12
198095,11
35280,11
8839,11
200129,11
200386,11
6496,11
8195,11
27589,10
141995,10
8535,9
24768,9
2780,9
57633,9
133795,9
56682,9
34683,9
49981,9
10753,9
197664,9
395458,9
34993,8
52580,8
8708,8
43037,8
6696,8
57205,8
29169,8
33956,8
197540,8
47422,8
206504,7
28704,7
12353,7
33157,7
49676,7
44880,7
50989,7
3457,7
24898,7
207728,6
64437,6
14466,6
60248,6
62297,6
8304,6
42567,6
25273,6
15703,6
41722,6
328832,6
37963,6
17668,6
203412,5
12306,5
34624,5
31577,5
16326,5
60976,5
34369,5
215300,5
8937,5
3347,5
44066,5
48434,5
45666,5
215667,5
139341,5
24482,5
25184,5
17025,5
50482,5
37662,5
62768,5
12956,5
328137,5
137409,5
19653,5
28320,5
6762,5
18881,5
56696,5
132337,5
15605,5
28398,5
19422,5
3844,5
1916,5
14537,5
6057,5
263945,5
44907,5
212216,5
38365,5
2057,5
49287,5
209349,5
8481,4
202242,4
30818,4
8400,4
48314,4
6724,4
8899,4
59943,4
401200,4
49609,4
41233,4
210403,4
29066,4
211505,4
205762,4
26666,4
32338,4
44696,4
63199,4
12178,4
5761,4
6848,4
8228,4
1152,4
41887,4
59787,4
210728,4
60855,4
215740,4
59587,4
62416,4
42848,4
51577,4
63240,4
52468,4
45352,4
136373,4
6327,4
52320,4
17984,4
9015,4
19782,4
61568,4
200039,4
132045,4
20764,4
2027,4
13786,4
51530,4
196753,4
64475,4
207841,4
270014,4
44684,4
35589,4
23520,4
48641,4
35360,4
7589,4
15958,4
2614,4
14016,4
35600,4
38726,4
1031,4
29049,4
4134,4
35598,4
264409,4
52025,4
50628,4
205920,4
15802,4
49677,4
200019,4
56898,4
39210,4
202425,4
45090,4
199218,4
42656,4
34699,3
62068,3
206609,3
28707,3
53589,3
34920,3
42371,3
60077,3
42337,3
206775,3
39896,3
14441,3
29014,3
204601,3
48324,3
204403,3
51888,3
200324,3
21413,3
6185,3
8422,3
201085,3
60550,3
204544,3
199636,3
48744,3
206264,3
206002,3
208128,3
43358,3
34222,3
7941,3
12678,3
55293,3
210274,3
24961,3
197216,3
52130,3
207208,3
207697,3
199524,3
8632,3
44932,3
12931,3
33876,3
56655,3
62243,3
13442,3
15966,3
35744,3
213232,3
42699,2
43887,2
52030,2
25472,2
7859,2
42160,2
34947,2
205948,2
36459,2
19969,2
43955,2
29182,2
12833,2
20523,2
36420,2
33191,2
25504,2
210756,2
