asn,nb_hostnames
395747,3266
21664,575
213120,442
215859,397
12993,270
42179,244
12578,243
60781,194
394507,193
394192,187
43108,169
47352,168
62567,168
16276,154
42849,145
61976,138
49604,115
8075,107
29345,95
57724,93
212531,91
59467,72
204915,63
39572,55
58061,54
49352,53
207728,51
29182,51
12443,37
9123,34
207970,34
59692,33
204601,31
201547,30
198610,29
49981,29
210656,29
49714,28
13238,28
214455,27
49665,27
31936,26
42979,25
14907,25
5528,23
19551,23
48870,23
141995,22
34073,22
201706,22
6697,22
44310,21
199168,21
8605,21
29600,21
43298,21
48040,21
40824,21
213934,20
61053,19
12322,18
63293,18
12929,18
205696,17
44696,16
61272,16
5545,16
210756,13
58269,13
51852,13
199867,12
200019,12
44477,12
30818,12
204039,12
43188,11
55293,11
57058,11
203866,11
133795,11
211381,11
205312,11
210079,10
2635,10
199558,10
12525,10
48282,10
43028,10
8560,10
214744,10
21325,10
14853,10
64407,9
56694,9
29066,9
39134,9
211612,9
204770,9
26496,9
60330,8
10753,8
56341,8
41722,8
50482,8
50731,8
19905,8
208906,8
52130,8
17668,8
206980,7
207208,7
22612,7
33837,7
200325,7
24961,7
44128,7
41898,7
44112,7
44907,7
8920,7
42532,7
395458,7
24600,7
24921,7
50979,7
42657,7
26666,6
51025,6
197616,6
60144,6
61189,6
328832,6
202425,6
208284,6
21051,6
32338,6
53667,6
13242,6
210644,6
5381,6
48729,6
201595,5
62160,5
20546,5
401200,5
3844,5
28398,5
18881,5
12956,5
263945,5
8195,5
6057,5
62768,5
17025,5
132337,5
19653,5
6762,5
328137,5
28320,5
6496,5
37662,5
15605,5
19422,5
56696,5
1916,5
64437,5
7979,5
59939,5
28753,5
14956,5
199663,5
205865,5
25241,5
34702,5
44901,5
212136,5
6698,5
62243,5
200449,5
12178,5
211642,5
27589,4
42745,4
27647,4
201499,4
61400,4
202816,4
6769,4
215740,4
199524,4
47577,4
60602,4
62082,4
202053,4
201512,4
202090,4
15685,4
34222,4
25532,4
24620,4
50448,4
214881,4
41424,4
201201,4
42656,4
204450,4
42240,4
48287,4
206407,3
6832,3
44386,3
47195,3
199029,3
201959,3
393299,3
32494,3
201106,3
14117,3
13030,3
1273,3
61049,3
61573,3
8231,3
48571,3
8529,3
64126,3
1000,3
131073,3
18377,3
6939,3
262427,3
37251,3
327788,3
132602,3
9730,3
16279,3
211838,3
41563,3
200088,3
39651,3
41376,3
16062,3
58112,3
42632,3
206264,3
50893,3
31586,3
25393,3
47890,3
24971,3
56803,3
43948,3
48254,3
15827,3
52167,3
24482,3
42774,3
12976,3
20848,3
215300,3
60922,3
31080,3
35373,3
210976,3
42848,3
44575,3
59796,3
8856,3
25106,3
57304,3
199218,3
7203,3
47478,2
51248,2
14824,2
56454,2
200000,2
25234,2
199669,2
43958,2
201906,2
209030,2
14576,2
37963,2
208795,2
198627,2
6185,2
205544,2
42772,2
5761,2
44880,2
7941,2
47284,2
59601,2
33993,2
30961,2
205762,2
34417,2
42194,2
201012,2
207362,2
42567,2
200904,2
34309,2
63240,2
52468,2
45352,2
136373,2
6327,2
52320,2
17984,2
8919,2
49287,2
396390,2
61568,2
29169,2
45517,2
20764,2
137409,2
2027,2
13786,2
51530,2
196753,2
64475,2
207841,2
270014,2
136620,2
23520,2
