asn,nb_hostnames
395747,5105
21664,683
213120,481
394507,419
394192,364
35540,308
215859,244
204915,173
39572,156
62567,112
8075,73
7979,69
329263,64
15317,59
30148,57
31936,52
214455,44
22612,42
32338,40
40824,37
21003,33
26496,33
27589,32
328200,32
141995,28
60781,27
36420,26
49981,26
63293,26
37963,26
19551,25
14907,23
47846,22
133795,21
38369,20
29066,20
60068,20
139341,17
37284,16
59692,16
2635,14
49612,14
26666,14
3457,13
46606,13
44907,12
14441,12
200325,12
58061,12
12178,11
62068,11
6496,11
14853,11
328539,10
58521,10
214124,10
12322,10
54641,10
6698,10
56898,9
55293,9
207208,9
64437,9
200019,9
42567,9
216014,9
395458,9
204800,9
24961,8
10753,8
202425,8
215300,8
52148,8
47422,8
207728,7
13442,7
37728,7
53667,7
50989,7
49714,7
44534,7
45090,7
207970,6
53824,6
54994,6
8560,6
150078,6
200651,6
328832,6
24600,6
17668,6
49352,5
202053,5
206264,5
62243,5
3920,5
17025,5
50482,5
37662,5
41722,5
62768,5
12956,5
328137,5
137409,5
19653,5
24482,5
28320,5
6762,5
18881,5
56696,5
132337,5
15605,5
28398,5
19422,5
3844,5
1916,5
8195,5
6057,5
263945,5
14576,5
398256,5
8705,5
61976,5
9121,5
8069,5
49287,5
6185,5
49610,4
48040,4
60144,4
50980,4
58294,4
63240,4
52468,4
45352,4
136373,4
6327,4
52320,4
17984,4
9015,4
19782,4
61568,4
29169,4
200039,4
132045,4
20764,4
2027,4
13786,4
51530,4
196753,4
64475,4
207841,4
270014,4
44684,4
35589,4
23520,4
48641,4
35360,4
8708,4
7589,4
15958,4
2614,4
14016,4
35600,4
38726,4
1031,4
29049,4
4134,4
35598,4
264409,4
52025,4
50628,4
14537,4
205920,4
15802,4
44128,4
702,4
48729,4
151373,4
46844,4
7203,4
199524,4
42532,3
46475,3
199729,3
53850,3
21245,3
212792,3
10480,3
139057,3
15699,3
24971,3
31586,3
50474,3
211922,3
42910,3
9009,3
329129,3
15706,3
17561,3
138341,3
327712,3
7941,3
36080,3
400754,3
200107,3
204601,3
29222,3
206672,3
215845,2
61102,2
57633,2
29256,2
51468,2
34699,2
397849,2
200449,2
36459,2
327921,2
47524,2
18047,2
54290,2
34788,2
35425,2
213438,2
48254,2
28753,2
35280,2
14824,2
6427,2
13830,2
48434,2
397273,2
27223,2
43641,2
22169,2
56655,2
328733,2
6724,2
51852,2
8517,2
59467,2
201744,2
30058,2
44932,2
14472,2
57352,2
5761,2
50517,2
63760,2
14315,2
205762,2
65115,2
199218,2
34222,2
61969,2
197540,2
8739,2
133719,2
140688,2
37107,2
216154,2
50979,2
212490,2
23576,2
24611,2
26277,2
150436,2
34388,2
51433,2
33157,2
36352,2
201768,2
34360,2
20756,2
30995,2
19905,1
60232,1
7678,1
139880,1
32097,1
30340,1
40476,1
33191,1
56341,1
60945,1
205335,1
33664,1
58212,1
205373,1
12640,1
210079,1
152216,1
36850,1
199527,1
208488,1
198913,1
1625,1
60342,1
3387,1
12678,1
42868,1
206648,1
202242,1
34619,1
46130,1
53038,1
396356,1
47577,1
46562,1
206972,1
200514,1
34275,1
213232,1
2514,1
44386,1
52130,1
13886,1
19973,1
141892,1
51905,1
44136,1
51894,1
51304,1
38955,1
202024,1
214390,1
15149,1
33387,1
397373,1
48763,1
9180,1
20641,1
328619,1
203417,1
35179,1
393299,1
32494,1
201106,1
14117,1
49665,1
13030,1
1273,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
37251,1
329356,1
132602,1
9730,1
51375,1
53332,1
393874,1
47195,1
198792,1
329297,1
131965,1
41528,1
201684,1
28885,1
196763,1
60330,1
13627,1
328853,1
200195,1
57088,1
25234,1
400797,1
57344,1
62563,1
205435,1
59441,1
62744,1
28977,1
200428,1
51975,1
198610,1
210275,1
216047,1
41441,1
216139,1
204846,1
207809,1
35744,1
37936,1
24863,1
328654,1
13601,1
47447,1
13041,1
29302,1
40021,1
34432,1
201233,1
209445,1
15479,1
41683,1
394437,1
51577,1
60362,1
56872,1
6879,1
205585,1
3768,1
51888,1
399566,1
198983,1
204544,1
29182,1
22991,1
328073,1
35258,1
328611,1
135905,1
202368,1
204039,1
64999,1
32632,1
14415,1
57152,1
23011,1
34655,1
147303,1
27264,1
4150,1
30600,1
138650,1
211871,1
198993,1
23352,1
18229,1
63199,1
202492,1
15967,1
206407,1
3633,1
48614,1
139884,1
199193,1
9760,1
139144,1
199867,1
211522,1
210644,1
44477,1
22720,1
2665,1
36884,1
395409,1
397032,1
59253,1
200000,1
52012,1
215206,1
39239,1
63362,1
11281,1
31471,1
61306,1
197450,1
29091,1
59886,1
399358,1
49127,1
152880,1
11019,1
135377,1
3208,1
57687,1
32780,1
207304,1
61098,1
205193,1
42745,1
39686,1
200904,1
56038,1
42216,1
6713,1
48314,1
4835,1
4258,1
197720,1
9752,1
142592,1
6848,1
215402,1
48896,1
786,1
198032,1
212531,1
37492,1
41690,1
30818,1
63210,1
196645,1
61144,1
43378,1
395092,1
60527,1
399250,1
393689,1
401200,1
207569,1
200532,1
329472,1
328553,1
201012,1
7684,1
37637,1
36483,1
11807,1
49474,1
208520,1
50090,1
42848,1
10578,1
9123,1
