asn,nb_hostnames
395747,4486
21664,788
213120,608
394507,520
35540,443
394192,242
204915,227
30983,215
215859,166
6713,166
36420,113
8075,112
36884,89
36925,89
39572,82
62567,72
22612,58
214455,42
12322,40
141995,37
31936,37
36666,37
15317,33
40824,29
63293,27
50474,27
19551,25
26496,24
328709,23
328541,21
60068,20
48254,19
14907,19
24600,19
7979,18
49612,18
59692,18
60781,18
328066,16
133795,16
14853,16
53589,15
6496,15
37963,15
216014,13
62068,13
8560,12
202492,12
139341,12
2057,12
213232,11
38369,11
58061,11
200325,11
200356,11
204800,11
58521,10
26666,10
30148,10
210403,9
200019,9
4200000021,9
8839,9
200521,8
29222,8
49981,8
27589,8
14441,8
207208,8
12640,8
12178,8
6698,8
2635,7
25117,7
34993,7
3352,7
54994,7
55293,6
42567,6
202425,6
40699,6
3457,6
10753,6
8228,6
399250,6
44907,6
50989,6
46606,6
8195,6
48729,6
395458,6
17668,6
199524,6
215300,5
33157,5
32338,5
24961,5
36891,5
328577,5
64437,5
29066,5
328832,5
57633,5
7203,5
215740,5
35280,5
3920,5
54641,5
49287,5
61976,5
398256,4
36941,4
17025,4
50482,4
37662,4
41722,4
62768,4
12956,4
328137,4
200039,4
19653,4
28320,4
6762,4
18881,4
56696,4
132337,4
15605,4
28398,4
19422,4
3844,4
1916,4
6057,4
263945,4
28753,4
206264,4
13442,4
53824,4
6427,4
150078,4
210770,4
45090,4
197540,4
48744,4
47422,4
52148,3
34222,3
2611,3
211922,3
10480,3
11807,3
44976,3
60855,3
5761,3
56898,3
327989,3
137409,3
24482,3
14537,3
52130,3
39241,3
7941,3
49714,3
44534,3
397849,3
36066,3
42848,3
14576,3
14555,3
53667,3
6185,3
204601,3
62243,3
36080,3
328867,3
198610,3
23352,3
41233,3
216154,3
200449,3
29169,3
197369,2
21409,2
199777,2
46844,2
208128,2
24730,2
49677,2
206980,2
54643,2
34699,2
26347,2
27647,2
63240,2
52468,2
45352,2
136373,2
6327,2
52320,2
17984,2
9015,2
19782,2
61568,2
132045,2
20764,2
2027,2
13786,2
51530,2
196753,2
64475,2
207841,2
270014,2
44684,2
35589,2
23520,2
48641,2
35360,2
8708,2
7589,2
15958,2
2614,2
14016,2
35600,2
38726,2
1031,2
29049,2
4134,2
35598,2
264409,2
52025,2
50628,2
205920,2
15802,2
205762,2
35344,2
36459,2
200195,2
4258,2
28704,2
205544,2
199758,2
61047,2
207728,2
35744,2
205461,2
60362,2
61098,2
48703,2
139057,2
24971,2
51433,2
41653,2
8705,2
34863,2
199729,2
51888,2
199218,2
35425,2
42745,2
137,2
23576,2
30722,2
393299,2
32494,2
201106,2
14117,2
49665,2
13030,2
1273,2
61049,2
61573,2
8231,2
48571,2
8529,2
64126,2
1000,2
131073,2
18377,2
262427,2
37251,2
329356,2
132602,2
9730,2
329337,2
213737,2
53850,2
44880,2
33191,2
29182,2
34119,2
61102,2
37738,2
6738,2
207970,2
202242,2
14824,2
24898,2
15685,2
139144,2
12874,2
215845,2
20989,2
400754,2
6724,2
201744,2
20546,2
23470,2
2665,2
8069,2
48140,2
39072,2
46475,2
216353,2
40021,2
209349,2
3387,2
25354,2
63068,2
35369,2
56655,2
12357,2
140224,2
42240,2
35258,1
57809,1
20900,1
12386,1
52012,1
201188,1
22033,1
37936,1
34619,1
12696,1
49352,1
201768,1
197562,1
57344,1
56837,1
16839,1
1625,1
207713,1
57088,1
399358,1
13571,1
142592,1
207280,1
56872,1
30109,1
44066,1
197019,1
50980,1
34285,1
53292,1
49835,1
36850,1
9123,1
57352,1
201085,1
43424,1
10929,1
8528,1
61210,1
203976,1
205876,1
44386,1
49474,1
201896,1
200487,1
208353,1
200102,1
40728,1
57542,1
202115,1
9760,1
34920,1
15817,1
16326,1
702,1
62563,1
39134,1
13627,1
29264,1
133409,1
21002,1
5576,1
51605,1
60550,1
31178,1
48669,1
215402,1
33387,1
151373,1
34309,1
216139,1
9159,1
19973,1
212815,1
48763,1
327917,1
208488,1
207809,1
31080,1
58212,1
394432,1
54288,1
208096,1
34235,1
43311,1
41690,1
63362,1
202448,1
25516,1
44477,1
213051,1
8960,1
7658,1
47794,1
41191,1
29003,1
34895,1
198792,1
133719,1
214308,1
29423,1
1897,1
55235,1
9752,1
214390,1
35179,1
49127,1
42656,1
18229,1
196763,1
55569,1
212792,1
397273,1
207569,1
32097,1
6656,1
51269,1
328997,1
11281,1
39263,1
64999,1
32632,1
53332,1
44932,1
56958,1
2780,1
199636,1
197696,1
62416,1
34282,1
400797,1
8692,1
24611,1
139880,1
214197,1
39020,1
12678,1
39506,1
29608,1
31577,1
42532,1
5410,1
47293,1
198913,1
135377,1
56798,1
2514,1
150436,1
34931,1
393874,1
200651,1
393689,1
8203,1
65115,1
44332,1
58233,1
199167,1
15699,1
28836,1
39104,1
36352,1
138650,1
200320,1
14472,1
20847,1
13193,1
62390,1
202054,1
47195,1
216071,1
50517,1
43532,1
3208,1
47836,1
45666,1
58294,1
29302,1
214744,1
51970,1
9121,1
13830,1
58487,1
48040,1
395299,1
61144,1
400104,1
51852,1
22169,1
12565,1
213212,1
39444,1
213438,1
198983,1
43641,1
39686,1
210275,1
51430,1
207697,1
15703,1
13601,1
214618,1
398840,1
8304,1
205193,1
15149,1
138341,1
60922,1
205373,1
50090,1
205860,1
17561,1
211381,1
28683,1
65001,1
26277,1
401739,1
138415,1
16128,1
43581,1
211409,1
