asn,nb_hostnames
395747,297
213120,253
21664,148
394192,70
394507,60
16276,38
6758,28
8075,21
12322,18
24600,16
45666,13
50474,10
14853,10
25117,9
8839,9
19551,8
63293,8
14907,8
8554,7
62567,6
31936,5
57633,5
215859,4
29222,4
197664,4
2635,3
48703,3
202242,3
30148,3
216353,2
199802,2
51888,2
44907,2
34993,2
8304,2
60855,2
39572,2
52030,2
21409,2
201085,2
6656,2
214455,2
204915,2
8228,2
200356,2
35280,1
8968,1
205373,1
41653,1
208128,1
12779,1
212815,1
211316,1
20546,1
20522,1
393874,1
133795,1
61098,1
39444,1
44527,1
6496,1
44932,1
33157,1
207697,1
64437,1
210770,1
205461,1
36459,1
8560,1
41191,1
52130,1
8660,1
41690,1
197696,1
24611,1
6185,1
58061,1
56798,1
12565,1
60550,1
197788,1
198792,1
208353,1
47242,1
213232,1
48996,1
399358,1
211349,1
62856,1
41405,1
6,1
9159,1
205762,1
211612,1
200325,1
11281,1
48744,1
12696,1
7941,1
60781,1
207970,1
33191,1
