asn,nb_hostnames
395747,3017
21664,462
215859,410
213120,405
25319,291
60602,275
44388,241
61976,212
35540,209
394507,193
394192,185
49612,177
62567,114
49352,107
198610,94
59467,93
207728,90
43588,85
39572,81
1547,77
29182,73
58061,71
204915,67
205275,65
31252,65
204601,62
9123,62
200904,55
60781,52
209482,51
8075,49
31580,49
9152,48
207970,44
44534,43
49714,43
59692,42
48040,41
49981,40
201706,34
31936,34
210656,34
15317,33
43298,32
39798,32
19551,31
58153,31
14907,30
40824,30
200019,28
44477,28
214455,27
49665,27
210079,26
205585,25
200000,24
141995,23
6697,21
51433,21
44696,21
44310,21
210756,20
8708,19
63293,18
9199,18
12322,18
51954,17
199867,16
32338,15
43927,15
210976,14
60144,14
56694,14
205312,14
211381,14
20616,14
29066,13
7979,12
206980,12
15836,12
59939,12
60068,12
2635,11
51295,11
50482,11
30818,11
208096,11
51852,11
39134,11
8920,11
204039,11
395458,11
211642,11
214744,10
44112,10
44907,10
37963,10
17668,10
48729,10
42240,10
42745,9
44128,9
29616,9
41722,9
24961,9
205606,9
24600,9
25393,9
5537,9
14853,9
44094,8
328832,8
6496,8
2614,8
204770,8
54994,8
56341,8
200449,8
9009,8
49676,8
200325,8
17025,8
50979,8
47422,8
43925,7
201499,7
27589,7
3844,7
28398,7
18881,7
12956,7
263945,7
8195,7
10753,7
6057,7
62768,7
132337,7
19653,7
6762,7
328137,7
28320,7
37662,7
15605,7
19422,7
56696,7
1916,7
202368,7
60922,7
62082,7
216137,7
62243,7
208671,7
210644,7
26496,7
52130,6
35425,6
215300,6
61400,6
28753,6
60330,6
60248,6
3223,6
3457,6
62232,6
36420,6
204343,6
62160,6
64437,6
203053,6
202696,6
14956,6
62071,6
200189,6
21051,6
199524,6
47111,6
137409,5
50448,5
14576,5
57352,5
43896,5
133795,5
206407,5
25455,5
42632,5
48282,5
205954,5
205865,5
45090,5
26666,5
60405,5
216154,5
200039,5
24482,5
139341,5
201512,5
202376,5
202966,5
52097,5
44901,5
212136,5
50989,5
30968,5
49287,5
7203,4
6427,4
202492,4
206264,4
48434,4
6185,4
20546,4
212216,4
13442,4
47577,4
34702,4
57098,4
8856,4
63240,4
52468,4
45352,4
136373,4
6327,4
52320,4
17984,4
9015,4
19782,4
61568,4
29169,4
132045,4
20764,4
2027,4
13786,4
51530,4
196753,4
64475,4
207841,4
270014,4
44684,4
35589,4
23520,4
48641,4
35360,4
7589,4
15958,4
14016,4
35600,4
38726,4
1031,4
29049,4
4134,4
35598,4
264409,4
52025,4
50628,4
14537,4
205920,4
15802,4
204544,4
33972,4
65003,4
202822,4
216475,4
60526,4
34222,4
6698,4
202425,4
6877,4
200532,4
43358,3
211611,3
8312,3
35449,3
57713,3
393299,3
32494,3
201106,3
14117,3
13030,3
1273,3
61049,3
61573,3
8231,3
48571,3
8529,3
64126,3
1000,3
131073,3
18377,3
262427,3
37251,3
329356,3
132602,3
9730,3
212531,3
42848,3
38369,3
41879,3
50968,3
33925,3
212490,3
41441,3
59796,3
60077,3
35775,3
201186,3
212792,3
34360,3
56898,3
44812,3
55293,3
209030,3
205634,3
20848,3
62013,3
44880,3
44386,3
12178,3
214881,3
42800,3
53667,3
34369,3
39392,3
51248,3
51141,3
205696,3
12678,3
215840,3
15699,3
46606,3
196645,3
43773,3
197540,3
34198,3
216139,3
214653,3
214685,3
207362,3
202090,3
216071,3
44932,3
56792,3
207208,3
201012,3
47890,3
203087,3
29208,3
214822,3
204800,3
42179,3
61424,3
48506,2
47524,2
199669,2
8560,2
24572,2
3920,2
49527,2
211505,2
36459,2
14824,2
206871,2
5761,2
214798,2
61251,2
200487,2
23576,2
200324,2
25184,2
49367,2
42657,2
138650,2
35744,2
204421,2
50853,2
200044,2
42567,2
48018,2
8069,2
48684,2
12993,2
8751,2
213438,2
43870,2
63410,2
29222,2
209361,2
216303,2
59587,2
9760,2
22612,2
12675,2
62563,2
14441,2
34119,2
58112,2
208161,2
206678,2
48835,2
34147,2
199218,2
34551,2
215402,2
30058,2
43818,2
34735,2
26347,2
211807,2
47478,2
43037,2
60047,2
213737,2
211522,2
12555,2
50976,2
61306,2
213166,2
59601,2
12525,2
30148,2
56771,2
39337,2
29389,2
702,2
60127,2
33993,2
44256,2
63199,2
34529,2
41537,2
44600,2
61334,2
214890,2
16262,2
208795,2
10480,2
57344,2
7941,2
212872,2
202015,2
34619,2
24745,2
57304,2
42656,2
42849,2
42532,2
204424,2
39032,1
48324,1
26752,1
60357,1
23352,1
9121,1
34989,1
4837,1
52030,1
21096,1
61356,1
21497,1
57633,1
25069,1
42422,1
20852,1
35646,1
41635,1
201744,1
49693,1
59684,1
8901,1
212422,1
200554,1
202798,1
42337,1
51468,1
51056,1
210390,1
31080,1
15149,1
25234,1
29003,1
200784,1
21245,1
8441,1
210403,1
35511,1
206977,1
8930,1
40728,1
50113,1
207809,1
200386,1
36352,1
207986,1
201200,1
12530,1
208488,1
204548,1
211922,1
48067,1
56803,1
49392,1
23816,1
204159,1
8705,1
62048,1
53332,1
18310,1
213877,1
7859,1
20847,1
204949,1
50722,1
55106,1
2780,1
34665,1
34918,1
49675,1
50264,1
21294,1
34594,1
41018,1
44670,1
52201,1
53410,1
199968,1
52012,1
41233,1
34342,1
31083,1
59840,1
31193,1
33028,1
6693,1
31586,1
27647,1
51936,1
49127,1
204838,1
196752,1
57687,1
198032,1
200702,1
29015,1
43007,1
61969,1
31244,1
48254,1
210927,1
48314,1
215845,1
20929,1
214813,1
41976,1
43899,1
201848,1
202656,1
204436,1
133777,1
43043,1
198913,1
57363,1
56851,1
42216,1
34798,1
3387,1
198348,1
48669,1
212552,1
200107,1
49099,1
21419,1
25106,1
13830,1
214390,1
6663,1
207056,1
214927,1
44803,1
151373,1
209863,1
46844,1
5523,1
48757,1
30475,1
62068,1
20661,1
51894,1
203417,1
34947,1
60090,1
34304,1
49025,1
205762,1
65115,1
205544,1
35680,1
207992,1
29479,1
43362,1
30209,1
197431,1
205701,1
206566,1
41151,1
21121,1
57580,1
43278,1
210512,1
57088,1
202053,1
16182,1
399358,1
20545,1
60089,1
39383,1
206728,1
51011,1
59441,1
206817,1
57152,1
6205,1
197482,1
56655,1
57629,1
205193,1
42121,1
31520,1
43267,1
401200,1
212221,1
213051,1
44014,1
59524,1
64422,1
41690,1
202302,1
43247,1
60580,1
201119,1
33191,1
26978,1
42165,1
397341,1
12824,1
24611,1
215730,1
198770,1
52184,1
30961,1
203444,1
198203,1
205125,1
213220,1
209847,1
44704,1
29226,1
44903,1
58031,1
51177,1
50313,1
59504,1
43211,1
207304,1
56864,1
58010,1
197248,1
49535,1
44244,1
42775,1
47220,1
201589,1
48753,1
203755,1
16793,1
205567,1
205216,1
47169,1
11281,1
32632,1
64999,1
31200,1
197553,1
12997,1
210024,1
61210,1
51025,1
199577,1
16282,1
58212,1
43955,1
44807,1
38365,1
24971,1
51765,1
31278,1
63362,1
211180,1
208450,1
39745,1
35594,1
22720,1
20649,1
51541,1
202242,1
216127,1
39737,1
207640,1
20988,1
12578,1
393874,1
197357,1
42094,1
215540,1
3164,1
207104,1
5531,1
58143,1
31557,1
50980,1
208656,1
201498,1
57530,1
48061,1
40975,1
51497,1
35293,1
12874,1
401605,1
200651,1
41075,1
35673,1
29628,1
207697,1
205373,1
215014,1
8515,1
24675,1
5386,1
8440,1
212247,1
50053,1
48965,1
50214,1
200195,1
